x,y
376.0045938, 9.3378029
378.3824154, 10.0957710
380.7524178, 10.8799690
383.1147682, 11.6892419
385.4696338, 12.5224348
387.8171815, 13.3783926
390.1575785, 14.2559604
392.4909920, 15.1539832
394.8175889, 16.0713060
397.1375364, 17.0067738
399.4510017, 17.9592317
401.7581517, 18.9275246
404.0591536, 19.9104975
406.3541735, 20.9069984
408.6431658, 21.9164548
410.9256145, 22.9395827
413.2009404, 23.9772715
415.4685644, 25.0304105
417.7279071, 26.0998891
419.9783894, 27.1865966
422.2194321, 28.2914224
424.4504559, 29.4152559
426.6708816, 30.5589863
428.8801300, 31.7235030
431.0776219, 32.9096955
433.2627781, 34.1184530
435.4350237, 35.3506523
437.5939524, 36.6066887
439.7393748, 37.8863371
441.8711158, 39.1893314
443.9890005, 40.5154058
446.0928538, 41.8642943
448.1825006, 43.2357308
450.2577658, 44.6294493
452.3184745, 46.0451840
454.3644516, 47.4826687
456.3955220, 48.9416375
458.4115108, 50.4218244
460.4122427, 51.9229634
462.3975429, 53.4447886
464.3672362, 54.9870339
466.3211476, 56.5494334
468.2591020, 58.1317210
470.1809245, 59.7336308
472.0864400, 61.3548968
473.9754733, 62.9952530
475.8478496, 64.6544335
477.7033936, 66.3321721
479.5419304, 68.0282030
481.3632850, 69.7422601
483.1672822, 71.4740775
484.9537471, 73.2233892
486.7225185, 74.9899328
488.4735358, 76.7734719
490.2067830, 78.5737819
491.9222439, 80.3906379
493.6199027, 82.2238152
495.2997433, 84.0730890
496.9617496, 85.9382347
498.6059058, 87.8190274
500.2321959, 89.7152424
501.8406037, 91.6266549
503.4311134, 93.5530403
505.0037090, 95.4941736
506.5583744, 97.4498303
508.0950936, 99.4197856
509.6138507, 101.4038146
511.1146296, 103.4016927
512.5974144, 105.4131950
514.0621891, 107.4380969
515.5089376, 109.4761737
516.9376440, 111.5272004
518.3482923, 113.5909525
519.7408665, 115.6672051
521.1153506, 117.7557335
522.4717286, 119.8563129
523.8099844, 121.9687186
525.1301018, 124.0927261
526.4319839, 126.2281440
527.7153595, 128.3748531
528.9799347, 130.5327440
530.2254153, 132.7017069
531.4515072, 134.8816324
532.6579164, 137.0724107
533.8443488, 139.2739322
535.0105103, 141.4860874
536.1561069, 143.7087666
537.2808444, 145.9418603
538.3844288, 148.1852588
539.4665661, 150.4388524
540.5269621, 152.7025317
541.5653227, 154.9761870
542.5813540, 157.2597086
543.5747618, 159.5529870
544.5452520, 161.8559125
545.4925306, 164.1683756
546.4163035, 166.4902666
547.3162766, 168.8214759
548.1921559, 171.1618939
549.0436473, 173.5114111
