x,y
-1.15995,-2.96683
-1.50526,-2.96683
-1.85056,-2.96683
-2.19587,-2.96683
-2.54006,-2.96683
-2.88537,-2.96683
-3.22956,-2.96683
-3.57487,-2.96683
-3.91906,-2.96683
-4.26436,-2.96683
-4.60856,-2.96683
-4.95275,-2.96683
-5.29695,-2.96683
-5.64114,-2.96683
-5.98645,-2.96683
-6.33064,-2.96683
-6.67483,-2.96683
-7.01903,-2.96683
-7.36433,-2.96683
-7.70853,-2.98738
-8.05272,-3.00793
-8.39581,-3.0302
-8.74111,-3.04818
-9.08531,-3.06188
-9.43061,-3.07558
-9.77591,-3.08842
-10.1201,-3.10041
-10.4654,-3.11154
-10.8107,-3.12353
-11.1571,-3.13381
-11.5024,-3.14408
-11.8489,-3.1535
-12.1942,-3.16292
-12.5406,-3.17234
-12.887,-3.1809
-13.2334,-3.19032
-13.5809,-3.19803
-13.9273,-3.20659
-14.2749,-3.21515
-14.6224,-3.22286
-14.9699,-3.23142
-15.3174,-3.23913
-15.6661,-3.24683
-16.0136,-3.2554
-16.3622,-3.2631
-16.7109,-3.27167
-17.0606,-3.28023
-17.4093,-3.28879
-17.759,-3.29821
-18.1087,-3.30677
-18.4585,-3.31619
-18.8082,-3.32561
-19.1591,-3.33589
-19.5088,-3.34531
-19.8597,-3.35558
-20.2106,-3.36671
-20.5625,-3.37785
-20.9134,-3.38898
-21.2653,-3.40011
-21.6173,-3.4121
-21.9693,-3.42409
-22.3224,-3.43693
-22.6754,-3.44977
-23.0274,-3.46262
-23.3816,-3.47632
-23.7347,-3.49002
-24.0888,-3.50372
-24.443,-3.51742
-24.7972,-3.53198
-25.1525,-3.54653
-25.5078,-3.56195
-25.8631,-3.5765
-26.2184,-3.59192
-26.5748,-3.60733
-26.9312,-3.6236
-27.2876,-3.63901
-27.6452,-3.65443
-28.0027,-3.67069
-28.3613,-3.68696
-28.7188,-3.70323
-29.0774,-3.7195
-29.4372,-3.73577
-29.7969,-3.75204
-30.1567,-3.76831
-30.5175,-3.78458
-30.8784,-3.80085
-31.2403,-3.81626
-31.6023,-3.83253
-31.9653,-3.8488
-32.3284,-3.86421
-32.6915,-3.87963
-33.0557,-3.89504
-33.421,-3.91045
-33.7862,-3.92587
-34.1526,-3.94042
-34.519,-3.95498
-34.8866,-3.96954
-35.2541,-3.98409
-35.6227,-3.99779
-35.9924,-4.01149
-36.3621,-4.02434
-36.733,-4.03718
-37.1038,-4.05003
-37.4769,-4.06202
-37.85,-4.074
-38.223,-4.08514
-38.5983,-4.09627
-38.9736,-4.1074
-39.3489,-4.11767
-39.7264,-4.12795
-40.1039,-4.13737
-40.4836,-4.14593
-40.8633,-4.15449
-41.243,-4.16306
-41.625,-4.17076
-42.0069,-4.17761
-42.3911,-4.18447
-42.7753,-4.19132
-43.1605,-4.19731
-43.5469,-4.20245
-43.9344,-4.20759
-44.3219,-4.21272
-44.7116,-4.21615
-45.1025,-4.22043
-45.4944,-4.22386
-45.8863,-4.22642
-46.2805,-4.22899
-46.6747,-4.23071
-47.071,-4.23242
-47.4685,-4.23328
-47.866,-4.23328
-48.2657,-4.23413
-48.6665,-4.23328
-49.0685,-4.23328
-49.4715,-4.23156
-49.8757,-4.23071
-50.2809,-4.229
-50.6873,-4.22643
-51.0959,-4.22386
-51.5045,-4.22129
-51.9153,-4.21787
-52.3272,-4.21444
-52.7402,-4.21016
-53.1544,-4.20588
-53.5696,-4.2016
-53.9871,-4.19646
-54.4057,-4.19132
-54.8243,-4.18618
-55.2462,-4.18019
-55.6681,-4.17505
-56.0923,-4.16906
-56.5164,-4.16221
-56.9439,-4.15622
-57.3713,-4.14937
-57.801,-4.14252
-58.2307,-4.13567
-58.6637,-4.12882
-59.0967,-4.12111
-59.532,-4.11426
-59.9683,-4.10655
-60.4058,-4.0997
-60.8455,-4.092
-61.2863,-4.08429
-61.7282,-4.07744
-62.1712,-4.06974
-62.6164,-4.06203
-63.0639,-4.05518
-63.5113,-4.04747
-63.961,-4.03977
-64.4118,-4.03292
-64.8648,-4.02607
-65.3189,-4.01922
-65.7741,-4.01237
-66.2316,-4.00552
-66.6901,-3.99952
-67.1498,-3.99267
-67.6117,-3.98668
-68.0747,-3.98154
-68.5388,-3.97555
-69.0051,-3.97041
-69.4736,-3.96613
-69.9422,-3.96099
-70.413,-3.95671
-70.8848,-3.95329
-71.3589,-3.94986
-71.8341,-3.94644
-72.3116,-3.94387
-72.7901,-3.9413
-73.2698,-3.93959
-73.7516,-3.93873
-74.2346,-3.93788
-74.7187,-3.93788
-75.205,-3.93788
-75.6925,-3.93873
-76.1821,-3.94044
-76.6729,-3.94301
-77.1647,-3.94558
-77.6588,-3.94901
-78.154,-3.95243
-78.6503,-3.95757
-79.1488,-3.96271
-79.6485,-3.96956
-80.1503,-3.97641
-80.6533,-3.98412
-81.1574,-3.99268
-81.6637,-4.0021
-82.1711,-4.01238
-82.6796,-4.02351
-83.1903,-4.0355
-83.7022,-4.04834
-84.2152,-4.06204
-84.7303,-4.0766
-85.2466,-4.09287
-85.764,-4.10914
-86.2836,-4.12712
-86.8033,-4.14596
-87.3262,-4.16565
-87.8492,-4.18706
-88.3743,-4.20932
-88.9006,-4.23244
-89.428,-4.25727
-89.9576,-4.28296
