x,y
-73.7563,-10.2517
-102.301,-10.8381
-123.219,-13.0321
-146.02,-21.7267
-173.878,-43.7147
-193.958,-75.5058
-198.767,-94.9774
-199.083,-106.957
-198.408,-125.27
-196.345,-136.274
-188.534,-153.841
-180.744,-166.098
-171.382,-176.478
-158.682,-186.496
-140.843,-196.549
-115.355,-204.305
95.3563,-201.622
120.652,-196.334
142.245,-184.737
159.889,-171.691
174.621,-153.025
182.372,-136.721
187.47,-113.572
187.397,-95.2345
181.72,-71.4865
171.971,-53.9647
159.758,-37.8323
144.501,-25.0668
123.921,-13.6488
100.154,-8.72473
88.3325,-8.22624
-73.7563,-10.2517
