x,y
-74.0525,7.76448
-103.42,7.16124
-127.408,4.64528
-154.957,-5.85953
-187.388,-31.4572
-210.676,-68.3272
-216.657,-92.5414
-217.039,-107.051
-216.294,-127.28
-213.593,-141.686
-204.38,-162.406
-195.061,-177.068
-183.665,-189.703
-168.677,-201.526
-147.921,-213.223
-117.903,-222.357
97.3186,-219.617
126.84,-213.445
151.849,-200.014
172.465,-184.77
189.945,-162.622
199.452,-142.623
205.424,-115.506
205.335,-93.0684
198.594,-64.8682
187.023,-44.0718
172.813,-25.301
154.677,-10.1269
130.216,3.44453
102.357,9.21627
88.5966,9.79658
-74.0525,7.76448
