x,y,z,idx
-1805.3855839236173,-9539.93269730802,0.0,111
-1669.5629236630105,-9536.919450000047,0.0,1
-1529.3301237219507,-9534.848105388222,0.0,2
-1444.620516784843,-9532.74129228787,0.0,3
-1417.7867491035695,-9530.924327522225,0.0,4
-1396.6971717416204,-9528.109298736425,0.0,5
-1381.1889099916166,-9525.107121512858,0.0,6
-1364.4264584182283,-9520.786864726304,0.0,7
-1342.886468035692,-9513.506780957361,0.0,8
-1322.9567078046061,-9504.129147862011,0.0,9
-1303.4541723891264,-9493.25656924333,0.0,10
-1283.7056751218402,-9479.287826465956,0.0,11
-1265.988644208763,-9465.077246979294,0.0,12
-1250.8479669389621,-9450.65552554742,0.0,13
-1237.0428221284876,-9434.733874019612,0.0,14
-1221.525769587766,-9413.890083895712,0.0,15
-1204.9393010854114,-9384.973569242331,0.0,16
-1194.3065024422187,-9359.366881948661,0.0,17
-1186.5442550723371,-9334.130780460933,0.0,18
-1183.1514069497493,-9317.106830856912,0.0,19
-1181.7822485757329,-9306.702354536135,0.0,20
-1180.1986865472109,-9291.728446630617,0.0,21
-1180.0316254721706,-9257.637121451236,0.0,22
-1180.0190632308745,-9224.593738626663,0.0,23
-1180.2878528183587,-9175.33863816693,0.0,24
-1180.9205797872528,-9128.295437797615,0.0,25
-1181.9276615716772,-9075.31847804032,0.0,26
-1183.2184973832495,-9045.309660444298,0.0,27
-1185.6651876027356,-9025.268505900924,0.0,28
-1190.3846938959148,-9003.844493566137,0.0,29
-1197.4903919975084,-8981.45222068293,0.0,30
-1204.294047903849,-8963.174607497633,0.0,31
-1215.1457731592134,-8944.027621156292,0.0,32
-1226.0926090195544,-8927.090625103921,0.0,33
-1237.9403653663067,-8910.34825551085,0.0,34
-1253.5694352405103,-8892.733998513884,0.0,35
-1271.3488724693734,-8876.01527078662,0.0,36
-1283.9396901016714,-8865.434226480624,0.0,37
-1297.779584129292,-8855.87892879166,0.0,38
-1312.585716142588,-8846.226833565654,0.0,39
-1324.9953513995422,-8839.479856427602,0.0,40
-1339.4585733768977,-8832.500415074031,0.0,41
-1355.8666490176506,-8826.381590164498,0.0,42
-1371.6848996527342,-8821.46892254584,0.0,43
-1388.9366071976247,-8817.075609461388,0.0,44
-1407.5610983383744,-8814.011814332089,0.0,45
-1438.350191969964,-8811.11370398651,0.0,46
-1486.4388458613398,-8808.958629231045,0.0,47
-1535.0509367984405,-8808.592009257767,0.0,48
-1561.921131733011,-8809.024667834228,0.0,49
-1586.4167917616933,-8809.1778013616,0.0,50
-1613.8877913129263,-8809.698196360358,0.0,51
-1638.953821516323,-8810.340818079207,0.0,52
-1664.834880317525,-8811.18898657937,0.0,53
-1691.7350396564084,-8811.833520222082,0.0,54
-1718.22881028953,-8811.8641765389,0.0,55
-1745.7407514884003,-8812.50962421026,0.0,56
-1773.6608587488154,-8812.746326258488,0.0,57
-1798.5241102880234,-8812.774701302984,0.0,58
-1826.2405759724638,-8813.215987160907,0.0,59
-1852.3262971619768,-8813.859806806677,0.0,60
-1877.8009389735994,-8814.298316915083,0.0,61
-1903.071626509723,-8814.9412076763,0.0,62
-1930.5849315112105,-8814.972840156444,0.0,63
-1956.8752786424052,-8815.207680423582,0.0,64
-1983.980695964181,-8815.648074649207,0.0,65
-2010.0676873236762,-8815.473248793322,0.0,66
-2426.591294090711,-8821.57488122891,0.0,67
-2442.50719313843,-8822.223979716298,0.0,68
-2462.583961952371,-8822.719512776921,0.0,69
-2484.5674412901058,-8825.000831177706,0.0,70
-2498.7493977330178,-8827.157373303286,0.0,71
-2512.455617811397,-8830.254729457865,0.0,72
-2527.658035707917,-8834.20360021363,0.0,73
-2551.5247086782774,-8843.36597695683,0.0,74
-2573.527821546603,-8854.590077712515,0.0,75
-2595.0204802406397,-8868.449955259797,0.0,76
-2615.192891786284,-8883.572945217586,0.0,77
-2635.3741809783282,-8902.099930930315,0.0,78
-2650.37252691754,-8919.21093614428,0.0,79
-2662.279670699546,-8934.600584777458,0.0,80
-2674.936166720676,-8953.683889111353,0.0,81
-2686.0471327577084,-8975.271073179898,0.0,82
-2694.4339945488737,-8995.25757755065,0.0,83
-2700.5562002136785,-9015.539436906596,0.0,84
-2705.1847939278305,-9033.843874019798,0.0,85
-2708.3686722675156,-9053.219979610229,0.0,86
-2710.1661214680503,-9079.006888971406,0.0,87
-2710.7728517157625,-9098.436956198995,0.0,88
-2711.0997543452227,-9132.527347898722,0.0,89
-2707.8106660523754,-9296.205152012644,0.0,90
-2704.6142415021495,-9327.165075482953,0.0,91
-2701.8169336102173,-9344.28411467135,0.0,92
-2696.1386552438335,-9366.652918297466,0.0,93
-2688.3384216362447,-9386.679154622607,0.0,94
-2680.7793725510933,-9401.868670530068,0.0,95
-2670.639862396837,-9420.946030053568,0.0,96
-2658.8142026331243,-9438.605561402215,0.0,97
-2646.1364089781127,-9455.061161957841,0.0,98
-2634.8629755094435,-9467.794120170574,0.0,99
-2620.586937121172,-9481.641362858052,0.0,100
-2604.6380480471016,-9494.851045351417,0.0,101
-2589.071675139694,-9505.689432693485,0.0,102
-2573.076049587302,-9514.518240893663,0.0,103
-2554.420976663444,-9523.853908303698,0.0,104
-2538.1084194304567,-9530.56434063996,0.0,105
-2520.0381201535774,-9536.313869300426,0.0,106
-2503.8041835636213,-9540.592491482284,0.0,107
-2483.505551828838,-9543.909998506491,0.0,108
-2454.8356611545228,-9546.323195895066,0.0,109
-1898.3392762160472,-9540.575787962136,0.0,110
-1805.3855839236173,-9539.93269730802,0.0,111
