x,y,z,idx
-1805.2770860052747,-9547.441927498287,0.0,115
-1737.4735791700064,-9545.937570072869,0.0,1
-1669.4251861846642,-9544.427898423515,0.0,2
-1599.7768140618434,-9543.399191312337,0.0,3
-1529.219258324119,-9542.356813927272,0.0,4
-1487.1953761253599,-9541.721499499716,0.0,5
-1444.1629450017895,-9541.091960239843,0.0,6
-1415.3041260145706,-9540.423873960966,0.0,7
-1394.5280296051371,-9538.185434738398,0.0,8
-1378.5799058928042,-9535.531570111772,0.0,9
-1360.2200877332916,-9531.294309073675,0.0,10
-1341.757594614767,-9525.265813450955,0.0,11
-1320.6758948794889,-9515.757213864214,0.0,12
-1304.0005098683587,-9507.307727873156,0.0,13
-1277.1586974755473,-9488.415095634207,0.0,14
-1259.1274464777657,-9473.326515638348,0.0,15
-1242.4612524232355,-9457.502072842584,0.0,16
-1228.7340670917931,-9441.15452452644,0.0,17
-1213.0195961960317,-9419.431305417722,0.0,18
-1196.108465551119,-9389.436130352668,0.0,19
-1185.1220395968935,-9362.977768889263,0.0,20
-1177.6518806774964,-9335.838937871647,0.0,21
-1174.891793283617,-9318.71489428106,0.0,22
-1173.8031054607152,-9307.861693858622,0.0,23
-1172.7204718271646,-9292.003998439914,0.0,24
-1172.5521585702104,-9257.657083344026,0.0,25
-1172.5395812759846,-9224.57465350591,0.0,26
-1172.8086541613566,-9175.267426996337,0.0,27
-1173.4420678083568,-9128.173149690567,0.0,28
-1174.4494730962367,-9075.179257864771,0.0,29
-1175.0100477788344,-9044.836805580015,0.0,30
-1176.6612805588077,-9023.92517778352,0.0,31
-1180.3602229202847,-9001.80432835007,0.0,32
-1187.31325218082,-8978.844403618943,0.0,33
-1195.8363913936887,-8959.257738844566,0.0,34
-1205.671559326937,-8939.409164328283,0.0,35
-1216.816244273998,-8921.458517067675,0.0,36
-1229.167299440119,-8903.87797529756,0.0,37
-1243.6695734833718,-8886.35254916131,0.0,38
-1263.1056805500934,-8867.463095724981,0.0,39
-1277.9167360076167,-8855.15317338809,0.0,40
-1291.0978540120386,-8845.738712409273,0.0,41
-1306.69320165801,-8835.852882972766,0.0,42
-1319.8718563236816,-8828.598231460526,0.0,43
-1334.677200147828,-8821.292746870693,0.0,44
-1352.1580032467382,-8814.517112047815,0.0,45
-1368.2737927462153,-8808.424722258247,0.0,46
-1387.6402536932035,-8804.601300997092,0.0,47
-1407.1626644863913,-8802.095053787907,0.0,48
-1440.273930655805,-8800.868732486284,0.0,49
-1484.141320939097,-8800.392283429275,0.0,50
-1535.1439171239597,-8801.083009980819,0.0,51
-1586.5142815579827,-8801.66880405762,0.0,52
-1637.3077610068758,-8802.576626732967,0.0,53
-1690.0033286794546,-8803.047254965963,0.0,54
-1742.702127401234,-8803.973078324429,0.0,55
-1795.3945997602784,-8804.808783717133,0.0,56
-1901.0943799370289,-8806.309962387391,0.0,57
-1954.218428694685,-8807.094375927309,0.0,58
-2006.6927783339843,-8807.871308506397,0.0,59
-2111.768308807704,-8809.418561791324,0.0,60
-2216.8356282501436,-8810.967783212092,0.0,61
-2322.1195972021465,-8812.521793140993,0.0,62
-2374.984825003066,-8813.302024013172,0.0,63
-2426.7981637151943,-8814.066674693617,0.0,64
-2442.751001566801,-8814.717263903402,0.0,65
-2462.902374691176,-8815.214618144335,0.0,66
-2486.7262520752342,-8816.664581426658,0.0,67
-2500.15990458237,-8817.575724850742,0.0,68
-2513.5924282010965,-8819.487946183477,0.0,69
-2529.174814265536,-8822.983297103525,0.0,70
-2555.927801078857,-8833.077582084983,0.0,71
-2580.00275508406,-8844.591443751686,0.0,72
-2598.2531608686827,-8855.519074053762,0.0,73
