x,y,z,idx
-1805.392789916301,-9539.433091013465,0.0,125
-1737.6498993396224,-9537.930149090245,0.0,1
-1669.5720602332276,-9536.419895209912,0.0,2
-1599.894267748915,-9535.390826852197,0.0,3
-1529.3394477937536,-9534.348564249454,0.0,4
-1487.3116833712102,-9533.713235788256,0.0,5
-1444.313087637207,-9533.084236602826,0.0,6
-1415.822657781106,-9532.424707804807,0.0,7
-1395.606794636366,-9530.24665029411,0.0,8
-1380.1272425919192,-9527.67077486848,0.0,9
-1362.351539287378,-9523.568341343374,0.0,10
-1344.634147161889,-9517.783160380655,0.0,11
-1324.1093417581765,-9508.525762813157,0.0,12
-1308.1085962291945,-9500.41813822578,0.0,13
-1282.010505982943,-9482.049009792885,0.0,14
-1264.4270092201782,-9467.335134151333,0.0,15
-1248.2698475221687,-9451.994037406595,0.0,16
-1235.0190030056128,-9436.213780500926,0.0,17
-1219.7393540132025,-9415.09167360815,0.0,18
-1203.286830507414,-9385.909961962352,0.0,19
-1192.677567596325,-9360.359942346335,0.0,20
-1185.4568746160883,-9334.127440373937,0.0,21
-1182.804703055555,-9317.672943542553,0.0,22
-1181.7527894087862,-9307.18636254581,0.0,23
-1180.6961961036636,-9291.7100949867,0.0,24
-1180.5292176611347,-9257.635774957764,0.0,25
-1180.5166566334974,-9224.595066241343,0.0,26
-1180.6515530028153,-9199.968347413182,0.0,27
-1180.7854154169336,-9175.345297067173,0.0,28
-1181.11450888817,-9151.75978931612,0.0,29
-1181.4181183036897,-9128.303701936004,0.0,30
-1181.9388401410704,-9101.672407197442,0.0,31
-1182.4251690033093,-9075.3277209955,0.0,32
-1182.9812643269054,-9045.227809160346,0.0,33
-1184.5858929057972,-9024.906411030373,0.0,34
-1188.1420159352394,-9003.639685115764,0.0,35
-1194.809783019126,-8981.621764776779,0.0,36
-1203.066875875458,-8962.646508533677,0.0,37
-1212.6434164251725,-8943.319899468235,0.0,38
-1223.4658148637895,-8925.888377262323,0.0,39
-1235.50444732932,-8908.75256201946,0.0,40
-1249.5288393362441,-8891.804660516022,0.0,41
-1268.4312865160468,-8873.433884342574,0.0,42
-1282.7787750165194,-8861.509265867822,0.0,43
-1295.542729972508,-8852.39277535512,0.0,44
-1310.7440424145823,-8842.756741976873,0.0,45
-1323.550592761902,-8835.706943237228,0.0,46
-1337.8792521547564,-8828.636689238067,0.0,47
-1355.0000721931426,-8822.000604217963,0.0,48
-1370.4639105814056,-8816.154694573142,0.0,49
-1388.917115683928,-8812.511592226145,0.0,50
-1407.8168671174049,-8810.0853004956,0.0,51
-1440.4640713152774,-8808.876200725848,0.0,52
-1484.1305881199742,-8808.40197924255,0.0,53
-1535.0447355741517,-8809.091561204143,0.0,54
-1586.3979020628244,-8809.677212749328,0.0,55
-1637.2012010467965,-8810.585263342993,0.0,56
-1689.897977349804,-8811.055957427732,0.0,57
-1742.5692555738096,-8811.981352840463,0.0,58
-1795.2750938232762,-8812.817324758164,0.0,59
-1900.9769820019783,-8814.318642798436,0.0,60
-1954.1007090735102,-8815.103107167666,0.0,61
-2006.5757007683135,-8815.88010385293,0.0,62
-2111.651070872079,-8817.427464977449,0.0,63
-2216.718268803127,-8818.976794273733,0.0,64
-2322.002246142346,-8820.530914163359,0.0,65
-2374.8674809096037,-8821.311200251548,0.0,66
-2426.5775054290098,-8822.07438060074,0.0,67
-2442.4909574341164,-8822.723379661606,0.0,68
-2462.5627621756485,-8823.218791827894,0.0,69
-2486.21589484785,-8824.65838795725,0.0,70
-2499.329779758132,-8825.547856116884,0.0,71
-2512.160229754042,-8827.374381333564,0.0,72
-2526.8903790655568,-8830.67857933555,0.0,73
-2552.8030962047196,-8840.45584763279,0.0,74
-2576.2355743499293,-8851.662471697204,0.0,75
-2593.6942879123594,-8862.116088704955,0.0,76
-2616.1400279846057,-8880.16626461975,0.0,77
-2634.6170976217454,-8895.927547101704,0.0,78
-2652.727052147134,-8915.534160055806,0.0,79
-2665.022980712148,-8931.306585505703,0.0,80
-2678.2802316468205,-8953.088043300717,0.0,81
-2689.3737325318707,-8975.274047324714,0.0,82
-2697.7475590986764,-8995.229487541037,0.0,83
