x,y,z,idx
-1499.8809879975638,-412.49435853941276,0.0,125
-1432.075735412147,-411.0707885030649,0.0,1
-1364.0255905496388,-409.6421970623797,0.0,2
-1294.3760409679267,-408.6964778348752,0.0,3
-1223.8172921515984,-407.73817276183445,0.0,4
-1181.792682121435,-407.15293209338375,0.0,5
-1138.7595307698812,-406.57466875387615,0.0,6
-1109.8999356969516,-405.94096975533375,0.0,7
-1089.1211858352453,-403.7272860974046,0.0,8
-1073.1699101437866,-401.0924239996037,0.0,9
-1054.8050544404177,-396.87703867387006,0.0,10
-1036.3353888727422,-390.8705404739355,0.0,11
-1015.2423705773124,-381.38705806296656,0.0,12
-998.5569262819486,-372.9574391901365,0.0,13
-971.6926145113611,-354.0967844795283,0.0,14
-953.6433920265733,-339.0296849066515,0.0,15
-936.9583484538502,-323.22509574450334,0.0,16
-923.2116880542313,-306.8938987875807,0.0,17
-907.4713362085649,-285.18939721790855,0.0,18
-890.5244660889481,-255.21436276577174,0.0,19
-879.5065120473237,-228.7690833847067,0.0,20
-872.0040115240578,-201.63914428096683,0.0,21
-869.2235158753657,-184.51838361973228,0.0,22
-868.1218928597474,-173.66647669174165,0.0,23
-867.0203591605325,-157.81006583698064,0.0,24
-866.8111078563354,-123.4633394997632,0.0,25
-866.7590995570158,-90.38091352416573,0.0,26
-866.8647421856155,-65.73079162727527,0.0,27
-866.9694028879037,-41.07335025115964,0.0,28
-867.2707685589663,-17.457266410313494,0.0,29
-867.546684360093,6.021696747690317,0.0,30
-868.036070938406,32.675788678547775,0.0,31
-868.4909254730239,59.01680520048156,0.0,32
-869.0153345755537,89.35993445947234,0.0,33
-870.6416416188604,110.2735359881001,0.0,34
-874.3142155376966,132.39879951925823,0.0,35
-881.2398739807264,155.3670161471117,0.0,36
-889.7396618659745,174.9638427612686,0.0,37
-899.5511653839416,194.82414253706486,0.0,38
-910.6744471388615,212.78807490048555,0.0,39
-923.0045393981271,230.38333911628533,0.0,40
-937.4859147208058,247.926051017351,0.0,41
-956.8994938265197,266.83866968441265,0.0,42
-971.6958667092493,279.1662441803075,0.0,43
-984.8657543821394,288.59641426943506,0.0,44
-1000.4493081821337,298.500829684817,0.0,45
-1013.6193067966212,305.77118671979076,0.0,46
-1028.4159328431163,313.09431515683036,0.0,47
-1045.8886478185154,319.890781705501,0.0,48
-1061.9971645125777,326.0023764388002,0.0,49
-1081.359054759346,329.84887549863015,0.0,50
-1100.8784646839852,332.37838593291633,0.0,51
-1133.9882460141303,333.64416224571175,0.0,52
-1177.8550377102315,334.172882537296,0.0,53
-1228.8584214869416,333.54292850537485,0.0,54
