x,y,z,idx
-1257.8056104036266,305.24259615067297,0.0,0
-1333.4077785527193,305.54117915738067,0.0,1
-1384.427305898899,307.1301374681391,0.0,2
-1417.5266683456116,307.7913311992845,0.0,3
-1432.5109202102544,307.10648546839593,0.0,4
-1444.957208757336,305.90210946423247,0.0,5
-1453.222711315676,305.3447670718876,0.0,6
-1456.4552545116417,304.5300394967279,0.0,7
-1462.2957082370262,302.5670871757423,0.0,8
-1468.6836474371198,301.19297207837366,0.0,9
-1472.6652141203192,300.89658593477037,0.0,10
-1479.3201443220787,300.76305645447445,0.0,11
-1508.3660593301765,300.55402286617294,0.0,12
-1617.6332191755414,299.36078662579126,0.0,13
-1729.2590621349,298.56738961299334,0.0,14
-1826.2213301696715,296.3458308150981,0.0,15
-2006.808220065748,294.2435941486821,0.0,16
-2080.9318654648305,293.2128319054041,0.0,17
-2095.6196076497554,293.33246078935764,0.0,18
-2107.593482227695,293.2618423803836,0.0,19
-2111.033911328099,293.19760332596684,0.0,20
-2116.5927484273598,292.8550123874961,0.0,21
-2122.5112047280763,292.1335157533722,0.0,22
-2131.152071580227,291.11471744916423,0.0,23
-2146.5375675323558,289.98147745089955,0.0,24
-2167.8734530247784,292.5827691804038,0.0,25
-2176.899378652157,292.8247076313134,0.0,26
-2187.1924242722735,292.24920687160443,0.0,27
-2200.946982101903,290.6971440424732,0.0,28
-2223.581743044439,285.1295474961812,0.0,29
-2251.1349613028233,273.4221808395865,0.0,30
-2268.6054172326185,264.1009833964781,0.0,31
-2292.130559396571,249.351106563908,0.0,32
-2304.933534592931,240.46634160698986,0.0,33
-2322.063170956953,222.96037580018634,0.0,34
-2341.0536456759087,199.91768369944745,0.0,35
-2356.3668747877227,176.39414063366428,0.0,36
-2367.56340673506,153.75661459501424,0.0,37
-2377.213794530512,129.14849276982886,0.0,38
-2383.496265059612,104.56547108736619,0.0,39
-2388.188646204418,80.04946626539314,0.0,40
-2390.142503499582,50.041755247139946,0.0,41
-2390.4723375628887,16.027591679800196,0.0,42
-2390.6844960075114,-45.37664189151269,0.0,43
-2391.075119967758,-89.6672804781371,0.0,44
