Time;Architect frame position - Earth-fixed/X;Architect frame position - Earth-fixed/Y;Architect frame position - Earth-fixed/Z;Architect frame position - Earth-fixed/Roll;Architect frame position - Earth-fixed/Pitch;Architect frame position - Earth-fixed/Yaw;CoG position/X;CoG position/Y;CoG position/Z;CoG position/Roll;CoG position/Pitch;CoG position/Yaw;Speed/X;Speed/Y;Speed/Z;Roll speed;Pitch speed;Yaw speed;CoG Acceleration/X;CoG Acceleration/Y;CoG Acceleration/Z;Roll acceleration;Pitch acceleration;Yaw acceleration;Tangential speed;Engine speed;Gas pedal
s;m;m;m;rad;rad;rad;m;m;m;rad;rad;rad;m/s;m/s;m/s;rad/s;rad/s;rad/s;m/s²;m/s²;m/s²;rad/s²;rad/s²;rad/s²;m/s;rad/s;
0;-303.23;-1447.34;0.0104566;-0.000252236;-0.00682804;1.58825;-303.23;-1445.6;0.258316;0.000252236;0.00682804;-1.55334;-0.00894357;-0.000837278;-0.0725487;0.00340775;0.00860198;-9.51449e-005;-0.179302;-0.0165166;-1.45092;0.068155;0.17204;-0.0019029;-0.00894357;156.717;0
0.0100008;-303.23;-1447.34;0.0104566;-0.000252236;-0.00682804;1.58825;-303.23;-1445.6;0.258316;0.000252236;0.00682804;-1.55334;-0.00894357;-0.000837278;-0.0725487;0.00340775;0.00860198;-9.51449e-005;-0.179302;-0.0165166;-1.45092;0.068155;0.17204;-0.0019029;-0.00894357;156.717;0
0.0200017;-303.23;-1447.34;0.0104566;-0.000252236;-0.00682804;1.58825;-303.23;-1445.6;0.258316;0.000252236;0.00682804;-1.55334;-0.00894357;-0.000837278;-0.0725487;0.00340775;0.00860198;-9.51449e-005;-0.179302;-0.0165166;-1.45092;0.068155;0.17204;-0.0019029;-0.00894357;156.717;0
0.0300025;-303.23;-1447.34;0.0104566;-0.000252236;-0.00682804;1.58825;-303.23;-1445.6;0.258316;0.000252236;0.00682804;-1.55334;-0.00894357;-0.000837278;-0.0725487;0.00340775;0.00860198;-9.51449e-005;-0.179302;-0.0165166;-1.45092;0.068155;0.17204;-0.0019029;-0.00894357;156.717;0
0.0400033;-303.23;-1447.34;0.0104566;-0.000252236;-0.00682804;1.58825;-303.23;-1445.6;0.258316;0.000252236;0.00682804;-1.55334;-0.00894357;-0.000837278;-0.0725487;0.00340775;0.00860198;-9.51449e-005;-0.179302;-0.0165166;-1.45092;0.068155;0.17204;-0.0019029;-0.00894357;156.717;0
0.0500041;-303.23;-1447.34;0.0104566;-0.000252236;-0.00682804;1.58825;-303.23;-1445.6;0.258316;0.000252236;0.00682804;-1.55334;-0.00894357;-0.000837278;-0.0725487;0.00340775;0.00860198;-9.51449e-005;-0.179302;-0.0165166;-1.45092;0.068155;0.17204;-0.0019029;-0.00894357;156.717;0
0.060005;-303.23;-1447.34;0.0101936;-0.000254692;-0.00682219;1.58825;-303.23;-1445.6;0.258043;0.000254692;0.00682219;-1.55334;-0.00889246;-0.000785949;-0.0728507;0.00316334;0.00735341;-8.86348e-005;-0.166045;-0.0143601;-1.35804;0.05862;0.135339;-0.00164296;-0.00889246;156.708;0.000618929
0.0700058;-303.23;-1447.34;0.00940644;-0.000262044;-0.00680469;1.58825;-303.23;-1445.6;0.257226;0.000262044;0.00680469;-1.55334;-0.00873947;-0.0006323;-0.0737548;0.00243174;0.00361596;-6.91473e-005;-0.126362;-0.00790482;-1.08;0.0300782;0.0254779;-0.000864843;-0.00873947;156.684;0.00247164
0.0800066;-303.23;-1447.34;0.00861926;-0.000269396;-0.00678719;1.58825;-303.23;-1445.6;0.256408;0.000269396;0.00678719;-1.55335;-0.00858649;-0.00047865;-0.074659;0.00170013;-0.000121499;-4.96597e-005;-0.0866791;-0.00144955;-0.801971;0.00153629;-0.0843828;-8.67294e-005;-0.00858649;156.659;0.00432434
0.0900074;-303.23;-1447.34;0.00783207;-0.000276748;-0.00676969;1.58825;-303.23;-1445.6;0.255591;0.000276748;0.00676969;-1.55335;-0.00843351;-0.000325001;-0.0755631;0.000968524;-0.00385896;-3.01722e-005;-0.046996;0.00500571;-0.523938;-0.0270056;-0.194243;0.000691384;-0.00843351;156.635;0.00617705
0.100008;-303.23;-1447.34;0.00704488;-0.0002841;-0.00675219;1.58825;-303.23;-1445.6;0.254773;0.0002841;0.00675219;-1.55335;-0.00828052;-0.000171351;-0.0764672;0.000236918;-0.00759641;-1.06847e-005;-0.00731294;0.011461;-0.245906;-0.0555475;-0.304104;0.0014695;-0.00828052;156.61;0.00802976
0.110009;-303.23;-1447.34;0.00642823;-0.000290266;-0.00669347;1.58825;-303.23;-1445.6;0.254055;0.000290266;0.00669347;-1.55335;-0.00817956;-8.15459e-005;-0.0736176;-0.000145722;-0.00976107;1.06191e-006;0.0141687;0.0138604;-0.0137047;-0.0648434;-0.335455;0.0017583;-0.00817956;156.665;0.0119335
0.12001;-303.23;-1447.34;0.00603372;-0.000294887;-0.00658105;1.58825;-303.23;-1445.6;0.253465;0.000294887;0.00658105;-1.55335;-0.00814639;-7.49104e-005;-0.0658779;-7.37613e-005;-0.00987684;2.72431e-006;0.0119393;0.0109764;0.15879;-0.0490676;-0.264531;0.00140967;-0.00814639;156.823;0.0185091
