Time;Architect frame position - Earth-fixed/X;Architect frame position - Earth-fixed/Y;Architect frame position - Earth-fixed/Z;Architect frame position - Earth-fixed/Roll;Architect frame position - Earth-fixed/Pitch;Architect frame position - Earth-fixed/Yaw;CoG position/X;CoG position/Y;CoG position/Z;CoG position/Roll;CoG position/Pitch;CoG position/Yaw;Speed/X;Speed/Y;Speed/Z;Roll speed;Pitch speed;Yaw speed;CoG Acceleration/X;CoG Acceleration/Y;CoG Acceleration/Z;Roll acceleration;Pitch acceleration;Yaw acceleration;Tangential speed;Engine speed;Gas pedal
s;m;m;m;rad;rad;rad;m;m;m;rad;rad;rad;m/s;m/s;m/s;rad/s;rad/s;rad/s;m/s²;m/s²;m/s²;rad/s²;rad/s²;rad/s²;m/s;rad/s;
0;289.773;-917.036;0.28315;0.164269;-0.00795314;-0.564665;291.204;-918.024;0.524844;-0.164269;0.00795314;2.57693;-0.0131863;0.0487056;-0.14851;-0.0388263;-0.0139878;-0.00178226;-0.262342;0.973403;-2.9705;-0.776527;-0.279756;-0.0356451;-0.0131863;156.714;0
0.0100001;289.773;-917.036;0.28315;0.164269;-0.00795314;-0.564665;291.204;-918.024;0.524844;-0.164269;0.00795314;2.57693;-0.0131863;0.0487056;-0.14851;-0.0388263;-0.0139878;-0.00178226;-0.262342;0.973403;-2.9705;-0.776527;-0.279756;-0.0356451;-0.0131863;156.714;0
0.0200003;289.773;-917.036;0.28315;0.164269;-0.00795314;-0.564665;291.204;-918.024;0.524844;-0.164269;0.00795314;2.57693;-0.0131863;0.0487056;-0.14851;-0.0388263;-0.0139878;-0.00178226;-0.262342;0.973403;-2.9705;-0.776527;-0.279756;-0.0356451;-0.0131863;156.714;0
0.0300004;289.773;-917.036;0.28315;0.164269;-0.00795314;-0.564665;291.204;-918.024;0.524844;-0.164269;0.00795314;2.57693;-0.0131863;0.0487056;-0.14851;-0.0388263;-0.0139878;-0.00178226;-0.262342;0.973403;-2.9705;-0.776527;-0.279756;-0.0356451;-0.0131863;156.714;0
0.0400005;289.773;-917.036;0.28315;0.164269;-0.00795314;-0.564665;291.204;-918.024;0.524844;-0.164269;0.00795314;2.57693;-0.0131863;0.0487056;-0.14851;-0.0388263;-0.0139878;-0.00178226;-0.262342;0.973403;-2.9705;-0.776527;-0.279756;-0.0356451;-0.0131863;156.714;0
0.0500006;289.773;-917.036;0.282684;0.164359;-0.00792186;-0.564659;291.204;-918.024;0.524317;-0.164359;0.00792186;2.57693;-0.0129949;0.0479629;-0.146482;-0.0358214;-0.0135431;-0.00164027;-0.239835;0.889314;-2.71957;-0.66141;-0.25104;-0.0302799;-0.0129949;156.71;0.000813659
0.0600008;289.773;-917.036;0.281389;0.164607;-0.00783502;-0.564643;291.204;-918.024;0.522855;-0.164607;0.00783502;2.57695;-0.0124635;0.045901;-0.14085;-0.0274782;-0.0123083;-0.00124604;-0.177344;0.655838;-2.02284;-0.341783;-0.171309;-0.015383;-0.0124635;156.7;0.00307283
0.0700009;289.773;-917.037;0.280095;0.164856;-0.00774818;-0.564627;291.204;-918.024;0.521392;-0.164856;0.00774818;2.57697;-0.0119321;0.0438391;-0.135219;-0.0191349;-0.0110735;-0.000851808;-0.114852;0.422362;-1.32611;-0.0221557;-0.091578;-0.000486034;-0.0119321;156.689;0.00533199
0.080001;289.773;-917.037;0.2788;0.165105;-0.00766135;-0.564611;291.204;-918.025;0.51993;-0.165105;0.00766135;2.57698;-0.0114008;0.0417772;-0.129588;-0.0107917;-0.00983867;-0.000457577;-0.0523601;0.188886;-0.629376;0.297471;-0.0118468;0.0144109;-0.0114008;156.679;0.00759116
