pos_x,pos_y,pos_z
-3.562,-4.838,0.455
-25.134,19.57,0.456
-43.499,37.696,0.422
-64.355,56.551,0.446
-88.207,75.456,0.456
-117.622,95.394,0.442
-150.27,114.127,0.44
-182.632,129.654,0.452
-225.528,147.412,0.459
-266.188,164.031,0.442
-312.433,182.994,0.336
-323.784,187.22,0.274
-336.935,191.754,0.216
-351.988,195.705,0.122
-376.318,199.853,0.027
-399.484,201.25,0.014
-419.255,200.477,-0.002
-444.745,196.884,0.012
-471.874,189.48,-0.01
-496.271,179.411,-0.006
-527.465,161.312,0.05
-556.919,136.283,0.038
-583.761,103.116,0.009
-598.637,77.298,0.051
-613.11,37.234,0.006
-619.469,0.289,0.033
-620.178,-24.093,0.053
-615.877,-61.22,0.044
-609.004,-87.284,0.056
-601.512,-106.182,0.036
-581.886,-142.167,0.098
-558.042,-176.743,0.094
-525.994,-218.187,0.14
-464.25,-292.821,0.128
-408.03,-360.694,0.137
-361.475,-417.176,0.131
-299.449,-491.679,0.132
-252.171,-541.476,0.081
-226.317,-564.114,0.072
-206.487,-577.77,0.011
-177.696,-592.624,0.043
-155.714,-600.467,0.026
-138.347,-604.841,-0.003
-121.79,-607.736,0.001
-103.634,-609.468,0.028
-66.922,-608.216,0.021
-32.396,-601.161,-0.016
-11.745,-594.344,0.043
8.495,-585.156,0.063
30.2,-572.014,-0.004
51.166,-556.046,0.039
64.59,-543.242,0.025
78.186,-527.705,-0.013
94.134,-505.122,0.014
104.83,-485.487,0.012
115.764,-458.079,0
122.182,-433.791,0.021
125.718,-406.17,-0.02
126.106,-380.228,-0.005
123.2,-353.188,0.111
119.452,-332.193,0.268
108.06,-276.542,0.446
95.189,-214.478,0.412
86.538,-177.36,0.454
73.184,-137.43,0.429
55.896,-97.443,0.437
31.367,-53.327,0.45
19.33,-35.492,0.422
2.44,-12.336,0.458
-2.752,-5.766,0.457
-3.168,-6.412,0.379
