pos_x,pos_y,pos_z
5.995,5.318,2.502
-5.423,18.607,2.502
-18.564,32.836,2.507
-40.1,53.688,2.492
-66.757,76.48,3.816
-89.537,93.042,2.446
-108.101,105.818,3.801
-127.849,117.37,2.445
-147.628,128.484,3.815
-170.121,139.292,3.821
-195.188,149.844,3.811
-235.727,166.989,2.557
-276.046,183.628,2.571
-320.718,201.166,3.412
-347.224,209.3,4.256
-366.775,213.178,4.752
-389.597,215.434,4.993
-400.946,215.674,4.977
-423.298,214.144,6.263
-451.53,209.689,6.265
-474.909,203.208,6.26
-516.654,184.832,4.899
-548.163,162.9,4.795
-591.413,116.947,4.873
-607.597,90.598,4.886
-623.557,52.081,4.872
-630.995,20.116,6.266
-634.106,-14.356,4.823
-631.902,-49.794,4.817
-623.593,-87.017,6.113
-609.73,-120.997,5.363
-596.811,-144.07,4.577
-573.995,-178.3,1.952
-553.31,-205.988,1.177
-536.941,-228.025,0.935
-503.307,-268.774,0.915
-308.905,-502.736,1.011
-287.028,-525.785,1.653
-262.48,-550.89,2.937
-237.513,-572.816,4.094
-222.274,-584.034,4.513
-196.603,-599.009,4.76
-162.487,-613.099,4.867
-126.367,-621.143,6.253
-106.554,-623.454,4.887
-74.584,-623.247,4.914
-47.146,-619.137,6.253
-23.324,-613.129,6.268
12.474,-598.678,6.282
33.974,-586.335,4.828
66.343,-560.942,6.251
92.81,-531.626,6.251
106.545,-511.31,4.757
120.145,-485.49,6.253
127.265,-467.803,6.272
136.74,-432.568,4.87
139.966,-406.02,4.847
139.986,-375.185,4.747
138.132,-351.693,4.445
110.7,-213.402,2.699
103.274,-180.504,2.719
92.893,-146.564,2.712
77.926,-108.354,2.714
57.496,-68.837,2.608
40.298,-41.376,2.513
21.617,-14.615,3.818
8.398,2.385,3.821
7.917,2.616,2.468
