pos_x,pos_y,pos_z
-167.42,-101.269,-6.937
-161.504,-44.018,-6.629
-150.605,68.499,-6.015
-143.415,154.404,-5.582
-137.765,242.291,-5.201
-133.87,286.836,-4.967
-130.49,324.354,-4.762
-125.862,378.599,-4.469
-121.596,428.271,-4.203
-115.221,501.564,-3.754
-114.687,506.43,-3.726
-104.811,514.594,-3.586
-93.309,513.499,-3.474
-86.164,513.481,-3.44
-83.141,514.168,-3.42
-78.945,515.785,-3.382
-75.397,518.867,-3.333
-71.905,523.419,-3.289
-70.016,527.872,-3.267
-69.325,531.93,-3.266
-70.277,537.786,-3.285
-94.326,629.277,-2.787
-99.57,662.875,-2.599
-100.965,682.19,-2.509
-100.79,703.032,-2.405
-100.073,714.873,-2.361
-97.926,743.881,-2.255
-95.04,781.156,-2.159
-92.539,812.881,-2.155
-89.432,843.081,-2.127
-86.573,861.141,-2.053
-82.653,878.793,-1.995
-76.922,896.15,-2.031
-70.261,914.133,-1.999
-55.334,944.588,-1.99
-37.693,972.182,-1.983
-14.217,1000.398,-1.955
13.423,1026.404,-1.894
34.153,1041.749,-1.854
60.245,1058.672,-1.742
97.284,1077.454,-1.523
132.331,1091.364,-1.266
170.29,1102.181,-0.931
209.798,1109.18,-0.539
262.959,1114.281,0.057
441.95,1129.403,1.279
612.151,1139.777,0.993
620.863,1141.477,0.98
626,1146.787,0.932
630.01,1154.725,0.854
634.696,1171.783,0.673
646.509,1184.043,0.574
663.055,1186.271,0.459
693.767,1193.227,0.264
726.405,1202.909,0.044
744.79,1209.437,0.014
857.845,1247.512,-0.664
929.952,1271.308,-1.348
944.18,1273.912,-1.454
962.867,1272.71,-1.568
984.767,1264.362,-1.754
998.225,1253.553,-1.894
1013.239,1233.67,-1.99
1017.594,1216.061,-2.141
1027.948,1110.094,-2.299
1040.825,971.712,-2.705
1022.485,944.434,-2.866
842.14,842.802,-2.983
766.585,800.93,-2.831
730.471,780.32,-2.651
706.817,765.312,-2.536
676.183,743.631,-2.522
653.599,725.591,-2.647
557.936,641.744,-5.454
446.52,544.008,-7.916
407.003,508.848,-7.446
290.513,406.385,-4.997
199.569,326.357,-4.503
193.214,320.281,-4.503
188.829,313.44,-4.514
186.608,306.067,-4.543
186.62,297.048,-4.577
187.742,284.717,-4.674
190.136,266.991,-4.859
191.406,252.869,-4.986
187.061,222.507,-5.23
175.28,196.289,-5.414
155.51,173.51,-5.562
133.991,157.835,-5.496
125.964,147.796,-5.542
118.797,129.336,-5.643
115.196,104.553,-5.801
106.28,20.073,-6.293
94.582,-85.814,-6.949
85.022,-180.828,-7.627
73.881,-289.156,-8.249
65.963,-366.883,-8.667
58.43,-440.29,-9.09
52.41,-501.297,-9.429
46.249,-561.654,-9.752
41.706,-606.921,-10.004
32.695,-697.538,-10.525
27.165,-752.26,-10.755
21.96,-803.491,-11.015
18.944,-825.996,-11.164
16.468,-836.205,-11.234
12.562,-845.179,-11.317
5.782,-855.555,-11.4
-2.618,-864.563,-11.48
-12.952,-872.934,-11.542
-20.008,-877.091,-11.582
-34.509,-882.875,-11.629
-43.816,-884.988,-11.634
-55.334,-885.839,-11.636
-64.916,-885.114,-11.644
-73.659,-883.502,-11.658
-85.531,-879.959,-11.671
-96.052,-875.969,-11.643
-108.82,-870.077,-11.619
-123.149,-861.092,-11.582
-136.672,-849.851,-11.502
-146.878,-839.585,-11.469
-156.418,-828.21,-11.39
-166.083,-814.147,-11.293
-176.287,-795.442,-11.191
-183.09,-779.526,-11.096
-189.469,-760.811,-10.986
-195.074,-737.865,-10.86
-198.069,-719.774,-10.747
-200.554,-694.554,-10.577
-201.923,-658.345,-10.298
-202.531,-618.234,-10.017
-203.045,-575.53,-9.669
-203.752,-543.708,-9.407
-203.715,-508.195,-9.145
-201.809,-463.476,-8.857
-199.707,-434.798,-8.707
-194.66,-381.149,-8.436
-185.891,-295.155,-7.999
-180.336,-234.301,-7.678
-172.329,-155.609,-7.243
-167.337,-103.446,-6.946
-167.42,-101.269,-6.937
