pos_x,pos_y,pos_z
-178.684,-100.308,-7.073
-153.49,170.697,-5.637
-138.28,345.215,-4.647
-124.871,501.86,-3.723
-124.218,509.573,-3.673
-123.34,513.381,-3.647
-121.816,516.887,-3.623
-119.429,519.739,-3.601
-115.939,522.635,-3.59
-112.303,524.071,-3.592
-106.742,524.829,-3.572
-95.77,523.568,-3.541
-79.984,536.366,-3.31
-83.677,551.046,-3.206
-89.406,572.559,-3.01
-96.437,598.577,-2.819
-100.297,613.399,-2.695
-104.671,632.383,-2.642
-107.532,647.591,-2.568
-110.844,681.024,-2.364
-110.755,697.55,-2.237
-110.453,706.932,-2.191
-103.642,793.316,-1.795
-101.972,814.318,-1.682
-99.906,836.944,-1.571
-97.787,853.153,-1.561
-96.091,862.662,-1.53
-94.384,870.501,-1.509
-91.844,880.245,-1.499
-85.24,901.211,-1.481
-79.297,916.848,-1.472
-70.913,935.405,-1.442
-61.032,953.75,-1.429
-50.499,970.565,-1.414
-39.9,984.86,-1.4
-27.025,1000.468,-1.393
-10.613,1017.158,-1.392
-0.735,1026.321,-1.371
12.166,1037.049,-1.348
25.806,1047.198,-1.304
40.956,1057.423,-1.234
57.199,1067.238,-1.182
82.927,1081.261,-1.027
105.153,1091.204,-0.88
133.318,1101.505,-0.688
157.402,1108.537,-0.478
181.236,1113.92,-0.262
207.238,1118.026,-0.066
245.353,1121.976,0.174
413.029,1136.816,1.24
477.036,1141.245,1.201
608.54,1148.802,0.847
621.23,1158.727,0.802
627.237,1179.127,0.739
629.312,1183.798,0.734
634.268,1189.41,0.73
643.939,1193.351,0.705
665.86,1197.282,0.569
724.288,1212.246,0.255
759.501,1224.293,0.101
918.71,1277.775,-0.732
934.083,1282.357,-0.79
945.344,1283.621,-0.84
958.658,1283.103,-0.94
971.156,1280.322,-1.035
983.857,1275.317,-1.126
994.681,1268.85,-1.241
1003.952,1261.016,-1.317
1011.323,1252.925,-1.383
1017.436,1243.742,-1.452
1021.103,1236.363,-1.497
1024.339,1227.234,-1.601
1027.199,1223.244,-1.609
1029.463,1216.826,-1.626
1036.933,1137.308,-2.033
1035.972,1124.759,-2.108
1049.307,985.617,-2.097
1050.051,973.917,-2.114
1048.834,962.324,-2.126
1045.104,952.96,-2.143
1039.795,945.65,-2.178
1031.698,939.562,-2.269
1027.888,937.038,-2.287
743.064,778.085,-2.984
690.122,743.612,-2.838
674.311,731.629,-2.861
645.404,707.534,-3.147
537.815,613.039,-6.296
349.431,446.449,-6.058
202.8,316.816,-4.702
196.567,291.519,-4.84
199.51,269.997,-4.882
200.721,252.092,-4.892
198.436,229.549,-4.954
190.461,204.212,-5.122
178.648,184.43,-5.301
162.407,166.72,-5.613
141.929,150.771,-5.711
127.859,107.865,-5.922
121.374,59.153,-6.246
114.72,13.902,-6.457
112.681,-5.036,-6.625
100.788,-119.833,-7.242
81.578,-310.425,-8.371
60.15,-521.79,-9.515
43.687,-685.48,-10.429
30.382,-820.025,-10.875
28.826,-831.3,-10.885
26.103,-839.65,-10.903
22.127,-849.884,-10.911
14.935,-862.118,-10.928
9.145,-868.81,-10.959
2.632,-875.145,-10.988
-12.477,-886.102,-11.013
-33.225,-894.352,-11.036
-51.259,-897.2,-11.047
-74.365,-895.076,-11.094
-93.958,-888.86,-11.103
-114.532,-879.121,-11.061
-133.692,-866.953,-11.002
-150.537,-851.508,-10.942
-168.791,-830.002,-10.821
-182.51,-807.856,-10.677
-194.989,-779.049,-10.529
-204.687,-744.998,-10.331
-208.763,-724.372,-10.216
-210.603,-705.743,-10.175
-212.52,-677.474,-10.096
-213.881,-642.84,-9.967
-215.075,-581.566,-9.552
-226.001,-559.03,-9.555
-219.949,-506.155,-9.215
-199.909,-316.934,-8.241
-184.514,-160.002,-7.397
-179.245,-106.767,-7.102
-178.684,-100.308,-7.073
