# 7abf5830-ee56-4170-ba76-63d9e7d53219
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-172.1832811; -92.8349198; 5.6058600; 5.7812158; 0.9954968; -0.0947951; -3.9815468; 0.0000000; -0.0972548; 0.0000877; 57.8706471; 1.1392058
-171.9462706; -90.3468029; 5.6258654; 5.7868986; 0.9954906; -0.0948599; -3.9761090; 2.4996449; -0.0970807; 0.0000865; 57.9099988; 1.1265203
-171.7091021; -87.8587006; 5.6457118; 5.7927326; 0.9954848; -0.0949214; -3.9713687; 4.9992751; -0.0969088; 0.0000854; 57.9488860; 1.1139826
-171.4717841; -85.3706121; 5.6653874; 5.7987201; 0.9954792; -0.0949795; -3.9673083; 7.4988909; -0.0965720; 0.0000831; 58.0252911; 1.0893432
-171.2343250; -82.8825366; 5.6849065; 5.8048403; 0.9954740; -0.0950343; -3.9639107; 9.9984927; -0.0964070; 0.0000819; 58.0628207; 1.0772379
-170.9967331; -80.3944732; 5.7042654; 5.8110954; 0.9954691; -0.0950857; -3.9611583; 12.4980807; -0.0962443; 0.0000808; 58.0999094; 1.0652730
-170.7590168; -77.9064212; 5.7235112; 5.8174716; 0.9954645; -0.0951338; -3.9590337; 14.9976551; -0.0960839; 0.0000796; 58.1365629; 1.0534468
-170.5211845; -75.4183798; 5.7426799; 5.8239765; 0.9954602; -0.0951785; -3.9575197; 17.4972162; -0.0957699; 0.0000773; 58.2085866; 1.0302036
-170.2832445; -72.9303483; 5.7618195; 5.8305981; 0.9954563; -0.0952199; -3.9565988; 19.9967640; -0.0956164; 0.0000762; 58.2439676; 1.0187832
-170.0452054; -70.4423257; 5.7809415; 5.8373380; 0.9954526; -0.0952579; -3.9562537; 22.4962988; -0.0954652; 0.0000751; 58.2789354; 1.0074947
-169.8070753; -67.9543114; 5.7999557; 5.8441621; 0.9954493; -0.0952925; -3.9564669; 24.9958208; -0.0953162; 0.0000739; 58.3134950; 0.9963364
-169.5688627; -65.4663045; 5.8187224; 5.8510447; 0.9954463; -0.0953239; -3.9572212; 27.4953300; -0.0950252; 0.0000716; 58.3814108; 0.9744041
-169.3305761; -62.9783043; 5.8371392; 5.8579512; 0.9954436; -0.0953518; -3.9584990; 29.9948266; -0.0948832; 0.0000705; 58.4147771; 0.9636269
-169.0922236; -60.4903099; 5.8551644; 5.8648714; 0.9954413; -0.0953764; -3.9602831; 32.4943106; -0.0947434; 0.0000693; 58.4477555; 0.9529735
-168.8538139; -58.0023206; 5.8732186; 5.8718485; 0.9954392; -0.0953977; -3.9625561; 34.9937821; -0.0946059; 0.0000682; 58.4803511; 0.9424425
-168.6153551; -55.5143356; 5.8918040; 5.8789982; 0.9954375; -0.0954156; -3.9653005; 37.4932413; -0.0943379; 0.0000659; 58.5444129; 0.9217416
-168.3768557; -53.0263541; 5.9113965; 5.8863573; 0.9954361; -0.0954302; -3.9684990; 39.9926881; -0.0942073; 0.0000647; 58.5758885; 0.9115687
-168.1383241; -50.5383752; 5.9321224; 5.8939678; 0.9954351; -0.0954414; -3.9721343; 42.4921225; -0.0940790; 0.0000636; 58.6070001; 0.9015122
-167.8997687; -48.0503983; 5.9523589; 5.9016147; 0.9954343; -0.0954492; -3.9761889; 44.9915447; -0.0939530; 0.0000624; 58.6377522; 0.8915707
-167.6611978; -45.5624225; 5.9699181; 5.9090227; 0.9954339; -0.0954537; -3.9806455; 47.4909545; -0.0937078; 0.0000601; 58.6981960; 0.8720271
-167.4226198; -43.0744470; 5.9830093; 5.9159565; 0.9954338; -0.0954549; -3.9854866; 49.9903520; -0.0935887; 0.0000590; 58.7278964; 0.8624223
-167.1840430; -40.5864710; 5.9899082; 5.9226475; 0.9954340; -0.0954527; -3.9906950; 52.4897372; -0.0934719; 0.0000579; 58.7572549; 0.8529269
-166.9454760; -38.0984938; 5.9924047; 5.9294642; 0.9954345; -0.0954471; -3.9962533; 54.9891100; -0.0933573; 0.0000567; 58.7862758; 0.8435397
-166.7069270; -35.6105145; 5.9923903; 5.9365061; 0.9954354; -0.0954382; -4.0021439; 57.4884704; -0.0931351; 0.0000544; 58.8433211; 0.8250844
-166.4684044; -33.1225324; 5.9921222; 5.9438365; 0.9954365; -0.0954259; -4.0083497; 59.9878183; -0.0930275; 0.0000533; 58.8713538; 0.8160139
-166.2299166; -30.6345467; 5.9933159; 5.9512494; 0.9954380; -0.0954103; -4.0148532; 62.4871536; -0.0929221; 0.0000521; 58.8990652; 0.8070463
-165.9914720; -28.1465566; 5.9957835; 5.9585353; 0.9954398; -0.0953914; -4.0216370; 64.9864764; -0.0928191; 0.0000510; 58.9264593; 0.7981804
-165.7530789; -25.6585612; 5.9990186; 5.9656665; 0.9954420; -0.0953690; -4.0286837; 67.4857864; -0.0926198; 0.0000487; 58.9803108; 0.7807491
-165.5147458; -23.1705599; 6.0024039; 5.9726388; 0.9954444; -0.0953434; -4.0359760; 69.9850837; -0.0925236; 0.0000475; 59.0067760; 0.7721813
-165.2764810; -20.6825517; 6.0054827; 5.9795040; 0.9954472; -0.0953144; -4.0434966; 72.4843681; -0.0924297; 0.0000464; 59.0329390; 0.7637103
-165.0382929; -18.1945360; 6.0083062; 5.9863170; 0.9954503; -0.0952820; -4.0512279; 74.9836396; -0.0923381; 0.0000452; 59.0588036; 0.7553352
-164.8001899; -15.7065119; 6.0110286; 5.9930668; 0.9954537; -0.0952463; -4.0591527; 77.4828979; -0.0921618; 0.0000429; 59.1096521; 0.7388676
-164.5621803; -13.2184787; 6.0138045; 5.9997614; 0.9954575; -0.0952072; -4.0672535; 79.9821431; -0.0920771; 0.0000418; 59.1346431; 0.7307730
-164.3242725; -10.7304355; 6.0167987; 6.0063516; 0.9954615; -0.0951648; -4.0755131; 82.4813749; -0.0919947; 0.0000406; 59.1593499; 0.7227696
-164.0864750; -8.2423815; 6.0199917; 6.0128258; 0.9954659; -0.0951190; -4.0839139; 84.9805934; -0.0919146; 0.0000395; 59.1837760; 0.7148564
-163.8487960; -5.7543161; 6.0233701; 6.0191590; 0.9954706; -0.0950699; -4.0924387; 87.4797983; -0.0917612; 0.0000372; 59.2317995; 0.6992963
-163.6112440; -3.2662383; 6.0268357; 6.0254072; 0.9954756; -0.0950174; -4.1010701; 89.9789896; -0.0916880; 0.0000361; 59.2554036; 0.6916473
-163.3738273; -0.7781474; 6.0304062; 6.0315187; 0.9954809; -0.0949616; -4.1097906; 92.4781671; -0.0916170; 0.0000349; 59.2787402; 0.6840843
-163.1365544; 1.7099574; 6.0341403; 6.0374455; 0.9954866; -0.0949024; -4.1185829; 94.9773306; -0.0915484; 0.0000338; 59.3018127; 0.6766062
-162.8994335; 4.1980769; 6.0379771; 6.0432534; 0.9954925; -0.0948398; -4.1274297; 97.4764802; -0.0914180; 0.0000315; 59.3471775; 0.6619010
-162.6624732; 6.6862119; 6.0419999; 6.0488754; 0.9954988; -0.0947739; -4.1363135; 99.9756156; -0.0913562; 0.0000303; 59.3694761; 0.6546718
-162.4256817; 9.1743632; 6.0461992; 6.0543268; 0.9955054; -0.0947047; -4.1452170; 102.4747368; -0.0912968; 0.0000292; 59.3915230; 0.6475236
-162.1890674; 11.6625315; 6.0505753; 6.0596085; 0.9955123; -0.0946321; -4.1541229; 104.9738435; -0.0912396; 0.0000280; 59.4133211; 0.6404555
-161.9526387; 14.1507177; 6.0551520; 6.0646979; 0.9955195; -0.0945562; -4.1630136; 107.4729358; -0.0911321; 0.0000257; 59.4561828; 0.6265558
-161.7164040; 16.6389225; 6.0599247; 6.0695995; 0.9955271; -0.0944769; -4.1718719; 109.9720135; -0.0910818; 0.0000246; 59.4772522; 0.6197222
-161.4803717; 19.1271467; 6.0649151; 6.0742892; 0.9955349; -0.0943942; -4.1806804; 112.4710764; -0.0910339; 0.0000234; 59.4980845; 0.6129651
-161.2445501; 21.6153912; 6.0701046; 6.0787739; 0.9955430; -0.0943082; -4.1894217; 114.9701246; -0.0909882; 0.0000223; 59.5186825; 0.6062834
-161.0089477; 24.1036567; 6.0755006; 6.0830321; 0.9955515; -0.0942188; -4.1980784; 117.4691578; -0.0909037; 0.0000200; 59.5591866; 0.5931429
-160.7735728; 26.5919440; 6.0811085; 6.0870501; 0.9955603; -0.0941261; -4.2066331; 119.9681761; -0.0908649; 0.0000188; 59.5790982; 0.5866824
-160.5384337; 29.0802539; 6.0868990; 6.0908542; 0.9955694; -0.0940301; -4.2150686; 122.4671792; -0.0908283; 0.0000177; 59.5987863; 0.5802939
-160.3035389; 31.5685872; 6.0929087; 6.0944554; 0.9955787; -0.0939307; -4.2233673; 124.9661672; -0.0907941; 0.0000165; 59.6182536; 0.5739765
-160.0688968; 34.0569447; 6.0993558; 6.0976902; 0.9955884; -0.0938279; -4.2315120; 127.4651400; -0.0907326; 0.0000142; 59.6565363; 0.5615520
-159.8345156; 36.5453271; 6.1060969; 6.1007487; 0.9955984; -0.0937218; -4.2394852; 129.9640975; -0.0907053; 0.0000131; 59.6753568; 0.5554432
-159.6004039; 39.0337353; 6.1132619; 6.1034897; 0.9956087; -0.0936123; -4.2472696; 132.4630397; -0.0906802; 0.0000119; 59.6939667; 0.5494023
-159.3665699; 41.5221700; 6.1206673; 6.1059301; 0.9956193; -0.0934995; -4.2548479; 134.9619665; -0.0906575; 0.0000108; 59.7123685; 0.5434285
-159.1330221; 44.0106321; 6.1281102; 6.1080691; 0.9956302; -0.0933833; -4.2622025; 137.4608779; -0.0906189; 0.0000085; 59.7485575; 0.5316793
-158.8997688; 46.4991223; 6.1353949; 6.1099320; 0.9956414; -0.0932637; -4.2693162; 139.9597739; -0.0906031; 0.0000073; 59.7663495; 0.5259023
-158.6668185; 48.9876414; 6.1424781; 6.1115906; 0.9956529; -0.0931408; -4.2761716; 142.4586546; -0.0905896; 0.0000062; 59.7839430; 0.5201894
-158.4341794; 51.4761903; 6.1499728; 6.1130600; 0.9956647; -0.0930146; -4.2827513; 144.9575198; -0.0905783; 0.0000050; 59.8013402; 0.5145398
