x,y,z,
-208.685,-122.457,-0.213555,
-208.621,-124.552,-0.190086,
-206.034,-124.462,-0.469072,
-187.008,-130.556,-1.18842,
-194.793,-161.681,-0.294989,
-193.151,-164.597,-0.293963,
-172.681,-169.878,-0.82722,
-210.155,-123.901,-0.0160956,
-188.415,-133.613,-1.11742,
-185.837,-134.004,-1.1809,
-210.309,-121.267,-0.0452766,
-202.693,-123.629,-0.305818,
-174.55,-193.628,0.470053,
-210.713,-97.3781,-0.0818361,
-210.128,-86.407,-0.0214119,
-192.837,-168.888,-0.0717756,
-195.641,-163.605,-0.120248,
-172.854,-172.747,-0.761589,
-198.281,-160.047,-0.0446058,
-150.289,-179.204,-0.703371,
-199.053,-157.31,-0.110086,
-190.578,-134.662,-1.03269,
-174.879,-196.334,1.44527,
-173.04,-197.089,1.05992,
-191.196,-131.453,-0.983221,
-197.233,-128.816,-0.861463,
-169.332,-196.337,0.228287,
-155.066,-203.785,0.0422614,
-198.521,-125.23,-0.889863,
-202.321,-121.415,-0.793474,
-210.692,-116.059,-0.0777631,
-208.619,-116.084,-0.30494,
-210.717,-106.265,-0.0829706,
-210.758,-100.345,-0.0914727,
-191.863,-105.762,-0.737595,
-210.493,-94.4431,-0.0770398,
-210.428,-91.6105,-0.0804908,
-210.31,-88.4487,-0.0301545,
-191.637,-93.2232,-0.863144,
-195.204,-161.533,-0.267861,
-130.8,-188.643,-0.744404,
-174.963,-172.675,-0.800155,
-151.596,-180.805,-0.997653,
-190.896,-163.465,-0.525741,
-191.651,-114.974,-0.836652,
-171.169,-177.87,-0.845569,
-195.396,-165.521,-0.0256158,
-193.057,-166.658,-0.19029,
-154.968,-182.317,-0.871478,
-187.645,-166.42,-0.583844,
-130.165,-191.267,-0.979893,
-177.649,-169.767,-0.806123,
-169.185,-173.63,-0.848745,
-175.778,-169.883,-0.76332,
-186.898,-163.753,-0.291268,
-109.251,-197.767,-1.02143,
-178.824,-167.006,-0.756686,
-205.309,-131.673,-0.413414,
-203.483,-131.949,-0.56542,
-208.51,-127.846,-0.153037,
-177.485,-195.594,2.45656,
-197.699,-131.796,-0.848444,
-154.517,-205.46,0.191392,
-198.706,-128.291,-0.861669,
-151.096,-206.061,0.0655772,
-178.349,-193.196,1.37633,
-183.342,-190.813,2.45591,
-149.595,-206.279,0.0188574,
-133.773,-212.435,0.0640433,
-186.342,-186.9,2.25381,
-210.494,-118.336,-0.0775814,
-197.326,-125.656,-0.810264,
-189.351,-183.792,2.17408,
-205.519,-118.879,-0.582502,
-190.961,-125.488,-0.78933,
-195.061,-177.068,2.06133,
-200.649,-113.83,-0.866832,
-210.893,-107.917,-0.0721961,
-210.725,-103.454,-0.0900756,
-209.657,-103.83,-0.2217,
-191.86,-108.774,-0.768778,
-210.706,-97.7127,-0.0973783,
-191.866,-102.772,-0.821259,
-191.926,-99.1246,-0.83779,
-191.817,-96.0103,-0.986017,
-210.035,-84.8532,-0.00127756,
-166.211,-173.656,-0.941287,
-183.549,-163.778,-0.792904,
-207.832,-131.261,-0.152057,
-183.251,-179.11,-0.158062,
-178.762,-178.986,-0.499556,
-175.562,-178.243,-0.708683,
-151.546,-188.085,-0.809684,
-174.137,-174.945,-0.826996,
-181.409,-172.528,-0.675503,
-187.496,-169.569,-0.446584,
-172.107,-175.65,-0.802797,
-178.105,-172.371,-0.810258,
-184.303,-169.701,-0.632417,
-190.314,-166.415,-0.421193,
-133.358,-190.693,-1.02519,
-166.257,-176.752,-0.897714,
-109.4,-199.766,-0.951463,
-157.711,-179.032,-0.922354,
-184.452,-166.47,-0.294948,
-149.027,-182.644,-1.0481,
-153.289,-177.257,-0.833928,
-146.064,-181.766,-0.778708,
-87.5154,-206.165,-0.753065,
-156.442,-174.82,-0.876413,
-163.049,-173.391,-1.00018,
-190.846,-161.865,-0.591336,
-193.796,-158.61,-0.512676,
-184.118,-160.865,-0.716891,
-190.942,-156.949,-0.296297,
-204.117,-148.435,-0.028002,
-187.509,-139.678,-0.915854,
-184.012,-140.055,-0.952286,
-168.677,-201.526,1.71444,
-187.487,-136.857,-1.04579,
-199.176,-131.16,-0.832368,
-205.444,-127.962,-0.478449,
-156.469,-205.631,0.317714,
-164.017,-203.067,0.822843,
-202.025,-127.52,-0.306277,
-133.508,-214.153,0.259974,
-193.704,-130.973,-0.885928,
-186.077,-189.179,2.52495,
-129.926,-214.315,0.142267,
-156.422,-203.507,0.0826566,
-163.837,-199.392,0.131594,
-127.725,-214.636,0.124972,
-112.583,-221.152,1.05475,
-193.866,-127.93,-0.891445,
-165.465,-197.324,0.0398383,
-206.031,-121.364,-0.509549,
-191.644,-126.253,-1.02275,
