x,y,z,
-73.8056,-7.24903,0,
-102.488,-7.83825,0,
-123.917,-10.0859,0,
-147.51,-19.0822,0,
-176.13,-41.6718,0,
-196.744,-74.3094,0,
-201.749,-94.5714,0,
-202.076,-106.973,0,
-201.389,-125.605,0,
-199.22,-137.176,0,
-191.175,-155.268,0,
-183.13,-167.926,0,
-173.429,-178.682,0,
-160.348,-189.001,0,
-142.023,-199.328,0,
-115.78,-207.313,0,
95.6834,-204.622,0,
121.683,-199.186,0,
143.846,-187.284,0,
161.985,-173.871,0,
177.175,-154.625,0,
185.218,-137.704,0,
190.462,-113.894,0,
190.387,-94.8735,0,
184.532,-70.3834,0,
174.48,-52.3158,0,
161.934,-35.7437,0,
146.197,-22.5768,0,
124.97,-10.7999,0,
100.521,-5.73458,0,
88.3765,-5.22246,0,
