# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1499.9915252; -404.0969318; -1.5597126; -0.0003226; 61.2135892; 0.2569279
1.9998752; -1497.9917664; -404.0754061; -1.5603500; -0.0003149; 61.2219825; 0.2555862
3.9997505; -1495.9919957; -404.0551396; -1.5609719; -0.0003071; 61.2303309; 0.2542515
5.9996257; -1493.9922119; -404.0361013; -1.5615783; -0.0002993; 61.2386346; 0.2529240
7.9995009; -1491.9924159; -404.0182601; -1.5621692; -0.0002916; 61.2468938; 0.2516034
9.9993762; -1489.9926076; -404.0015850; -1.5627445; -0.0002838; 61.2551088; 0.2502899
11.9992514; -1487.9927959; -403.9860450; -1.5633044; -0.0002760; 61.2632798; 0.2489833
13.9991266; -1485.9929751; -403.9716089; -1.5638486; -0.0002683; 61.2714070; 0.2476836
15.9990018; -1483.9931451; -403.9582458; -1.5643773; -0.0002605; 61.2794908; 0.2463908
17.9988771; -1481.9933062; -403.9459244; -1.5648905; -0.0002527; 61.2875313; 0.2451048
19.9987523; -1479.9934587; -403.9346138; -1.5653882; -0.0002450; 61.2955288; 0.2438256
21.9986275; -1477.9936146; -403.9242830; -1.5658703; -0.0002372; 61.3034835; 0.2425532
23.9985028; -1475.9937640; -403.9149008; -1.5663369; -0.0002294; 61.3113957; 0.2412875
25.9983780; -1473.9939070; -403.9064361; -1.5667879; -0.0002217; 61.3192656; 0.2400285
27.9982532; -1471.9940438; -403.8988579; -1.5672235; -0.0002139; 61.3270934; 0.2387761
29.9981285; -1469.9941749; -403.8921352; -1.5676435; -0.0002061; 61.3348794; 0.2375304
31.9980037; -1467.9943131; -403.8862369; -1.5680479; -0.0001984; 61.3426238; 0.2362912
33.9978789; -1465.9944470; -403.8811320; -1.5684369; -0.0001906; 61.3503268; 0.2350586
35.9977542; -1463.9945764; -403.8767894; -1.5688103; -0.0001829; 61.3579887; 0.2338325
37.9976294; -1461.9947019; -403.8731781; -1.5691682; -0.0001751; 61.3656097; 0.2326129
