# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1499.9611712; -406.5938007; -1.5580693; -0.0000058; 61.7502973; 0.1709549
1.9997998; -1497.9615332; -406.5683614; -1.5580809; -0.0000058; 61.7558335; 0.1700662
3.9995995; -1495.9618950; -406.5429454; -1.5580925; -0.0000058; 61.7613404; 0.1691822
5.9993993; -1493.9622564; -406.5175527; -1.5581041; -0.0000058; 61.7668182; 0.1683028
7.9991991; -1491.9626176; -406.4921831; -1.5581158; -0.0000058; 61.7722670; 0.1674280
9.9989988; -1489.9629784; -406.4668368; -1.5581274; -0.0000058; 61.7776870; 0.1665578
11.9987986; -1487.9633390; -406.4415137; -1.5581389; -0.0000058; 61.7830784; 0.1656921
13.9985984; -1485.9636993; -406.4162137; -1.5581505; -0.0000058; 61.7884413; 0.1648310
15.9983981; -1483.9640593; -406.3909368; -1.5581621; -0.0000058; 61.7937759; 0.1639745
17.9981979; -1481.9644190; -406.3656831; -1.5581736; -0.0000058; 61.7990823; 0.1631224
19.9979976; -1479.9647784; -406.3404524; -1.5581852; -0.0000058; 61.8043606; 0.1622747
21.9977974; -1477.9651375; -406.3152448; -1.5581967; -0.0000058; 61.8096111; 0.1614316
23.9975972; -1475.9654963; -406.2900603; -1.5582082; -0.0000058; 61.8148339; 0.1605928
25.9973969; -1473.9658548; -406.2648988; -1.5582197; -0.0000058; 61.8200291; 0.1597584
27.9971967; -1471.9662131; -406.2397603; -1.5582312; -0.0000057; 61.8251969; 0.1589284
29.9969965; -1469.9665710; -406.2146447; -1.5582427; -0.0000057; 61.8303374; 0.1581028
31.9967962; -1467.9669287; -406.1895521; -1.5582542; -0.0000057; 61.8354507; 0.1572814
33.9965960; -1465.9672861; -406.1644825; -1.5582657; -0.0000057; 61.8405371; 0.1564644
35.9963958; -1463.9676432; -406.1394358; -1.5582771; -0.0000057; 61.8455966; 0.1556516
37.9961955; -1461.9680000; -406.1144119; -1.5582885; -0.0000057; 61.8506295; 0.1548431
39.9959953; -1459.9683565; -406.0894109; -1.5583000; -0.0000057; 61.8556358; 0.1540389
41.9957951; -1457.9687127; -406.0644328; -1.5583114; -0.0000057; 61.8606157; 0.1532388
43.9955948; -1455.9690687; -406.0394775; -1.5583228; -0.0000057; 61.8655693; 0.1524430
45.9953946; -1453.9694244; -406.0145450; -1.5583342; -0.0000057; 61.8704968; 0.1516513
47.9951944; -1451.9697797; -405.9896353; -1.5583456; -0.0000057; 61.8753983; 0.1508637
49.9949941; -1449.9701348; -405.9647483; -1.5583570; -0.0000057; 61.8802740; 0.1500803
51.9947939; -1447.9704896; -405.9398841; -1.5583683; -0.0000057; 61.8851240; 0.1493010
53.9945936; -1445.9708442; -405.9150426; -1.5583797; -0.0000057; 61.8899485; 0.1485257
55.9943934; -1443.9711984; -405.8902238; -1.5583910; -0.0000057; 61.8947475; 0.1477545
57.9941932; -1441.9715524; -405.8654276; -1.5584024; -0.0000057; 61.8995212; 0.1469874
59.9939929; -1439.9719061; -405.8406541; -1.5584137; -0.0000057; 61.9042697; 0.1462242
61.9937927; -1437.9722595; -405.8159032; -1.5584250; -0.0000057; 61.9089933; 0.1454651
63.9935925; -1435.9726126; -405.7911750; -1.5584363; -0.0000056; 61.9136920; 0.1447099
65.9933922; -1433.9729655; -405.7664693; -1.5584476; -0.0000056; 61.9183659; 0.1439587
67.9931920; -1431.9733180; -405.7417861; -1.5584588; -0.0000056; 61.9230152; 0.1432114
69.9929918; -1429.9736703; -405.7171255; -1.5584701; -0.0000056; 61.9276400; 0.1424680
71.9927915; -1427.9740224; -405.6924875; -1.5584814; -0.0000056; 61.9322405; 0.1417284
73.9925913; -1425.9743741; -405.6678719; -1.5584926; -0.0000056; 61.9368168; 0.1409928
75.9923911; -1423.9747256; -405.6432788; -1.5585038; -0.0000056; 61.9413689; 0.1402610
77.9921908; -1421.9750767; -405.6187081; -1.5585151; -0.0000056; 61.9458972; 0.1395330
79.9919906; -1419.9754276; -405.5941598; -1.5585263; -0.0000056; 61.9504015; 0.1388089
81.9917904; -1417.9757783; -405.5696340; -1.5585375; -0.0000056; 61.9548822; 0.1380885
83.9915901; -1415.9761286; -405.5451306; -1.5585487; -0.0000056; 61.9593393; 0.1373719
85.9913899; -1413.9764787; -405.5206495; -1.5585598; -0.0000056; 61.9637730; 0.1366590
87.9911896; -1411.9768285; -405.4961907; -1.5585710; -0.0000056; 61.9681833; 0.1359499
89.9909894; -1409.9771781; -405.4717543; -1.5585822; -0.0000056; 61.9725705; 0.1352444
91.9907892; -1407.9775274; -405.4473401; -1.5585933; -0.0000056; 61.9769345; 0.1345427
93.9905889; -1405.9778763; -405.4229483; -1.5586044; -0.0000056; 61.9812756; 0.1338446
95.9903887; -1403.9782251; -405.3985786; -1.5586156; -0.0000056; 61.9855939; 0.1331502
97.9901885; -1401.9785735; -405.3742312; -1.5586267; -0.0000056; 61.9898895; 0.1324594
99.9899882; -1399.9789217; -405.3499061; -1.5586378; -0.0000055; 61.9941625; 0.1317722
101.9897880; -1397.9792696; -405.3256031; -1.5586489; -0.0000055; 61.9984131; 0.1310886
103.9895878; -1395.9796173; -405.3013222; -1.5586599; -0.0000055; 62.0026413; 0.1304085
105.9893875; -1393.9799646; -405.2770635; -1.5586710; -0.0000055; 62.0068472; 0.1297320
