# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 51.3162485; 6.7715970; 1.5747560; 0.0021121; 42.0936599; 3.9402359
1.9969606; 49.3194443; 6.7596302; 1.5787466; 0.0018844; 42.2801750; 3.9257374
3.9939213; 47.3226869; 6.7401337; 1.5823142; 0.0017001; 42.4651891; 3.9113126
5.9908819; 45.3258761; 6.7138555; 1.5855410; 0.0015316; 42.6487252; 3.8969608
7.9878426; 43.3291076; 6.6814692; 1.5884316; 0.0013634; 42.8308056; 3.8826812
9.9848032; 41.3323755; 6.6436448; 1.5909869; 0.0011957; 43.0114524; 3.8684730
11.9817639; 39.3359830; 6.6010579; 1.5932075; 0.0010285; 43.1906866; 3.8543357
13.9787245; 37.3396060; 6.5543691; 1.5950946; 0.0008617; 43.3685292; 3.8402684
15.9756852; 35.3432517; 6.5042435; 1.5966492; 0.0006953; 43.5450003; 3.8262706
17.9726458; 33.3469322; 6.4513451; 1.5978718; 0.0005292; 43.7201198; 3.8123415
19.9696065; 31.3506629; 6.3963367; 1.5987630; 0.0003634; 43.8939070; 3.7984804
21.9665671; 29.3545491; 6.3398829; 1.5993232; 0.0001977; 44.0663806; 3.7797082
23.9635278; 27.3584107; 6.2826394; 1.5995530; 0.0000324; 44.2373344; 3.7531780
25.9604884; 25.3622503; 6.2252659; 1.5994525; -0.0001334; 44.4064371; 3.7268990
27.9574491; 23.3660777; 6.1684243; 1.5990201; -0.0002987; 44.5737209; 3.7008675
29.9544097; 21.3698858; 6.1127722; 1.5982627; -0.0004599; 44.7392174; 3.6750798
31.9513704; 19.3736440; 6.0589663; 1.5971635; -0.0006415; 44.9029570; 3.6495321
33.9483310; 17.3772691; 6.0076930; 1.5957486; -0.0007569; 45.0649697; 3.6242208
35.9452917; 15.3808395; 5.9594275; 1.5941771; -0.0007826; 45.2252844; 3.5991426
37.9422523; 13.3844465; 5.9142708; 1.5926611; -0.0007401; 45.3839293; 3.5742939
39.9392130; 11.3879907; 5.8720733; 1.5912050; -0.0007182; 45.5409320; 3.5496715
41.9361736; 9.3913605; 5.8327326; 1.5897994; -0.0006892; 45.6963193; 3.5252721
43.9331343; 7.3947204; 5.7961413; 1.5884514; -0.0006611; 45.8501173; 3.5010925
45.9300949; 5.3980659; 5.7621865; 1.5871589; -0.0006332; 46.0023515; 3.4771296
47.9270556; 3.4013868; 5.7307566; 1.5859227; -0.0006049; 46.1530468; 3.4533805
49.9240162; 1.4046632; 5.7017386; 1.5847430; -0.0005767; 46.3022273; 3.4298421
51.9209769; -0.5921491; 5.6750191; 1.5836197; -0.0005483; 46.4499169; 3.4065116
53.9179375; -2.5889665; 5.6504863; 1.5825530; -0.0005200; 46.5961384; 3.3833861
55.9148982; -4.5857920; 5.6280273; 1.5815429; -0.0004916; 46.7409145; 3.3604629
57.9118588; -6.5826285; 5.6075288; 1.5805896; -0.0004633; 46.8842673; 3.3377392
59.9088195; -8.5794881; 5.5888779; 1.5796919; -0.0004358; 47.0262181; 3.3152125
61.9057801; -10.5763944; 5.5719626; 1.5788521; -0.0004051; 47.1667879; 3.2928800
63.9027408; -12.5732917; 5.5566657; 1.5780681; -0.0003826; 47.3059974; 3.2707394
65.8997014; -14.5702580; 5.5428920; 1.5773313; -0.0003444; 47.4438664; 3.2487881
67.8966621; -16.5672218; 5.5304861; 1.5767130; -0.0002442; 47.5804147; 3.2270236
69.8936227; -18.5640793; 5.5189862; 1.5764835; 0.0000144; 47.7156614; 3.2054436
71.8905834; -20.5611842; 5.5074381; 1.5767537; 0.0002552; 47.8496252; 3.1840458
73.8875440; -22.5582046; 5.4948713; 1.5775055; 0.0004987; 47.9823245; 3.1628279
75.8845047; -24.5550959; 5.4803156; 1.5787482; 0.0007481; 48.1137771; 3.1389431
77.8814653; -26.5518569; 5.4627764; 1.5804968; 0.0010052; 48.2438829; 3.1148445
79.8784260; -28.5485666; 5.4412251; 1.5827708; 0.0012727; 48.3726440; 3.0909741
81.8753866; -30.5455015; 5.4144377; 1.5858277; 0.0017999; 48.5000803; 3.0673288
83.8723473; -32.5417554; 5.3805937; 1.5897261; 0.0020102; 48.6262117; 3.0439058
85.8693079; -34.5378135; 5.3387980; 1.5936575; 0.0017564; 48.7510572; 3.0207019
