center_x,center_y
-0.23999999999999977,1.2165000000000001
-0.6146482466550043,0.8853826623712817
-1.368537752709058,0.22841863200282786
-2.1224272587631114,-0.42854539836562555
-2.8763167648171653,-1.085509428734079
-3.630206270871219,-1.7424734591025328
-4.384095776925273,-2.3994374894709862
-5.137985282979326,-3.05640151983944
-5.89187478903338,-3.7133655502078935
-6.6457642950874325,-4.370329580576347
-7.399653801141486,-5.0272936109448
-8.153543307195541,-5.684257641313254
-8.907432813249594,-6.341221671681708
-9.661322319303647,-6.998185702050161
-10.415211825357702,-7.655149732418614
-11.169101331411754,-8.312113762787067
-11.922990837465807,-8.969077793155522
-12.67688034351986,-9.626041823523975
-13.430769849573915,-10.28300585389243
-14.180192417896125,-10.944984081897333
-14.920572866883445,-11.617112210375307
-15.662963502291833,-12.28698387758012
-16.40481550987333,-12.957460161759528
-17.14681184234132,-13.627774439313717
-17.888769503090217,-14.298132126394192
-18.630737525829012,-14.968478181994737
-19.372702772327315,-15.638827353988718
-20.114668761797674,-16.309175691888885
-20.856634555620303,-16.97952424977086
-21.598600389061794,-17.64987276181943
-22.340566259675573,-18.320221237219805
-23.082531941981337,-18.99056990504639
-23.824498340346878,-19.66091783981632
-24.55896661662812,-20.339188385816367
-25.274393497329562,-21.03757886240541
-25.993750289233837,-21.73181567824873
-26.71218318811661,-22.427033257384814
-27.430381747882585,-23.12248144409555
-28.49453986609786,-24.17903132531904
-29.19400760885745,-24.89365941692142
-29.892924353984494,-25.608851842426876
-30.591988738481888,-26.323893055119036
-31.291013563130406,-27.038974785161294
-31.9900489878041,-27.754045658616455
-32.689081572225966,-28.469119441069907
-33.388114917629956,-29.1841924441173
-34.08714805935726,-29.899265655790657
-34.7861812548092,-30.614338812366178
-35.48521443903931,-31.329411980707086
-36.184247614432074,-32.04448515708428
-36.883280836396075,-32.75955828955096
-37.582313880912466,-33.47463158962342
-38.28134758864803,-34.189704263183266
-38.98037882095454,-34.90477927518778
-39.679419291758066,-35.61984555992625
-40.378425284002596,-36.3349444152842
-41.07755995198613,-37.04992171543029
-41.77621439557261,-37.76535266580434
-42.47650320885677,-38.47923968761937
-43.16580369589339,-39.203506976258524
-43.84749607120263,-39.934961377242274
-44.5309925041859,-40.66471152086136
-45.21400856343207,-41.394915568698934
-45.897142059952614,-42.12500825702716
-46.58028618111277,-42.85509247917425
-47.26327036644008,-43.58532192555526
-47.946883298801865,-44.31497927940114
-48.95114660271647,-45.428558067487415
-49.611798500395295,-46.179110642513805
-50.27192929801875,-46.93013743273788
-50.93219972398097,-47.681037157382896
-51.592432736643445,-48.431970929146466
-52.252675774166164,-49.18289557801485
-52.91291612554767,-49.93382267134546
-53.573157196633744,-50.68474910972233
-54.233398075042786,-51.435675723451936
-54.89363900445541,-52.186602290724366
-55.55387992253071,-52.93752886847274
-56.21412083495173,-53.688455450774526
-56.874361781327195,-54.4393820043867
-57.53460259753917,-55.19030866820391
-58.19484390045065,-55.94123491989061
-58.85508338672761,-56.692162709894305
-59.51532965284312,-57.44308475876052
-60.175550616238965,-58.19402823385968
-60.83586601067492,-58.944891745164526
-61.49582898367008,-59.69605368541373
-62.14720954270162,-60.45448317650721
-62.77834443246783,-61.23005661234377
-63.415018436091,-62.0009395506422
-64.05020823849627,-62.77307930407309
-64.68579573191612,-63.54488229451219
-65.32127666249553,-64.31677552178604
-65.95678615342209,-65.0886445647127
-66.5922879658006,-65.86052010819337
-67.22779193202408,-66.63239383380515
-67.86329496141573,-67.40426833033845
-68.49879958428973,-68.17614156105458
-69.1342987700662,-68.94801908411793
-69.76981811075045,-69.7198807036095
-70.40526226890108,-70.49180164504097
-71.3325116555481,-71.6698863329577
-71.93764707208612,-72.46572198307517
-72.54210348311123,-73.26209339344376
-73.14674183300296,-74.05832124736807
-73.75133143294121,-74.8545875668184
-74.35593409382679,-75.65084358060896
-74.9605332608764,-76.44710235151248
-75.56513334232264,-77.24336039962395
-76.16973326001829,-78.0396185817907
-76.77433291831976,-78.83587695052832
-77.37893377794848,-79.63213443892724
-77.98353009166237,-80.42839526211006
-78.58814338770833,-81.22464362649598
-79.19269330034084,-82.02093849128568
-79.7974797642951,-82.8170598132571
-80.40138340637586,-83.61382880609779
-81.00568756759645,-84.41030396324149
-81.57862159889685,-85.22979341121862
-82.15361932824285,-86.04776885375239
-82.72806409327097,-86.86614997147305
-83.30265701752512,-87.68442239388952
-83.87721026919309,-88.50272392233593
-84.4517740519797,-89.32101772196668
-85.02633538287789,-90.13931333083013
-85.60089599021113,-90.95760943157849
-86.17546194369257,-91.77590175555449
-86.75000723614615,-92.59420869473502
-87.32462236567605,-93.41246622807304
-87.88995014390039,-94.23729409633857
-88.45359288121273,-95.06331404652548
-89.01768987945053,-95.889012629894
-89.58166515884017,-96.71479732324197
-90.14567305269696,-97.54055894349045
-90.70967220753332,-98.3663267461575
-91.27367370398431,-99.19209289224973
-91.83767457299714,-100.01785948222269
-92.40167561014803,-100.84362595324762
-92.96567660218479,-101.66939245618383
-93.52967760654009,-102.49515895042296
-94.0936786067353,-103.32092544753917
-94.65767961125238,-104.14669194184415
-95.22168060264201,-104.97245844451697
-95.78568164221959,-105.7982249165296
-96.34968250217278,-106.62399150281517
-96.91368403243561,-107.4497576626692
-97.47768306108429,-108.27552541397644
-98.04169142587995,-109.10128722590238
-98.6056649477017,-109.92707120390034
-99.1697685052722,-110.75277245699145
-99.7333867628216,-111.57878244363795
-100.53795025320366,-112.843690540795
-101.07247782411986,-113.68818818023848
-101.59097335874864,-114.54271492601124
-102.08845988978908,-115.41035942116913
-102.5907851093686,-116.27498286027809
-103.09181380626211,-117.14041578891539
-103.59318990536052,-118.00563181548831
-104.09447291832545,-118.87090596079034
-104.59578087361939,-119.73616453324033
-105.0970821457307,-120.60142727836939
-105.59838520824357,-121.46668890563419
-106.09968779233284,-122.33195083167693
-106.60099049971487,-123.1972126804722
-107.1022931923495,-124.06247453947941
-107.60359582068102,-124.92773643488636
-108.1048987209724,-125.79299817448234
-108.60620059772734,-126.65826050092244
-109.1075062966682,-127.52352063579713
-109.60879773040188,-128.38878895008938
-110.1101424027784,-129.25402673827665
-110.61128838579063,-130.1193784514663
-111.11315045819657,-130.984319571536
-111.6110243121208,-131.8515474662516
-112.1039829520692,-132.72159365859855
-112.5979767782728,-133.59104629327177
-113.09169322719268,-134.46065797122463
-113.58548399899215,-135.33022703373263
-114.0792548565571,-136.1998075147406
-114.57303104818044,-137.0693849371934
-115.06680581780475,-137.93896317536695
-115.5605809413668,-138.80854120921276
-116.05435607117695,-139.6781192446486
-116.54813082205685,-140.54769747805204
-117.04190708240972,-141.41727491799526
-117.535677683801,-142.28685533381162
-118.02946941156569,-143.15642463959574
-118.52318229279823,-144.0260354096356
-119.01718943378603,-144.89549143268465
-119.5100983822849,-145.76552497944124
