 x_m, y_m
-8.3050352,3.270038
-9.6126878,4.7828106
-10.9261408,6.2905498
-12.2453589,7.7932472
-13.5703071,9.2908948
-14.9009504,10.7834847
-16.2372539,12.2710092
-17.5791832,13.7534606
-18.9267036,15.2308316
-20.2797809,16.7031149
-21.6383808,18.1703034
-23.0024695,19.6323904
-24.3720131,21.0893691
-25.7469778,22.5412329
-27.1273302,23.9879753
-28.5130369,25.4295901
-29.9040648,26.8660711
-31.3003808,28.2974125
-32.7019519,29.7236084
-34.1087456,31.1446531
-35.5207291,32.5605412
-36.9378701,33.9712673
-38.3601362,35.3768262
-39.7874953,36.7772128
-41.2199153,38.1724222
-42.6573645,39.5624497
-44.0998112,40.9472906
-45.5472237,42.3269405
-46.9995706,43.7013949
-48.4568207,45.0706497
-49.9189429,46.4347009
-51.3859061,47.7935444
-52.8576795,49.1471765
-54.3342324,50.4955934
-55.8155343,51.8387917
-57.3015547,53.1767679
-58.7922633,54.5095187
-60.28763,55.8370409
-61.7876248,57.1593315
-63.2922179,58.4763876
-64.8013794,59.7882063
-66.3150798,61.0947851
-67.8332897,62.3961212
-69.3559798,63.6922123
-70.8831207,64.983056
-72.4146836,66.2686501
-73.9506394,67.5489925
-75.4909595,68.8240812
-77.0356151,70.0939144
-78.5845777,71.3584902
-80.137819,72.6178069
-81.6953106,73.8718631
-83.2570245,75.1206572
-84.8229328,76.364188
-86.3930074,77.602454
-87.9672207,78.8354543
-89.545545,80.0631878
-91.127953,81.2856535
-92.7144172,82.5028505
-94.3049104,83.7147782
-95.8994055,84.9214358
-97.4978755,86.1228229
-99.1002937,87.3189389
-100.7066331,88.5097835
-102.3168674,89.6953564
-103.9309699,90.8756573
-105.5489144,92.0506863
-107.1706745,93.2204433
-108.7962243,94.3849284
-110.4255376,95.5441418
-112.0585886,96.6980836
-113.6953516,97.8467543
-115.335801,98.9901543
-116.9799112,100.128284
-118.6276568,101.2611441
-120.2790125,102.3887352
-121.9339533,103.5110581
-123.592454,104.6281136
-125.2544897,105.7399026
-126.9200357,106.8464261
-128.5890672,107.9476852
-130.2615596,109.0436809
-131.9374885,110.1344146
-133.6168296,111.2198875
-135.2995585,112.3001009
-136.9856512,113.3750563
-138.6750837,114.4447552
-140.3678319,115.5091992
-142.0638722,116.5683899
-143.7631809,117.6223291
-145.4657345,118.6710185
-147.1715093,119.7144599
-148.8804821,120.7526553
-150.5926296,121.7856067
-152.3079288,122.8133161
-154.0263565,123.8357857
-155.7478899,124.8530176
-157.4725061,125.865014
-159.2001825,126.8717773
-160.9308964,127.8733098
-162.6646253,128.8696139
-164.4013468,129.8606922
-166.1410387,130.8465472
-167.8836788,131.8271815
-169.6292449,132.8025978
-171.3777151,133.7727987
-173.1290676,134.7377871
-174.8832804,135.6975658
-176.6403321,136.6521377
-178.4002009,137.6015058
-180.1628655,138.545673
-181.9283044,139.4846424
-183.6964964,140.4184171
