# 22459ddc-8570-443b-a57f-f58551c7829d
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-6.6467231; -4.3658664; 6.9966492; 7.0065987; -0.6498997; 0.7600200; -5.1305787; 0.0000000; 2.2799357; 0.0020620; 59.9966342; 0.4510939
-8.5417370; -5.9952949; 7.0218784; 7.0442668; -0.6540415; 0.7564587; -5.1342917; 2.4711931; 2.2840586; 0.0020628; 60.0116627; 0.4481533
-10.4278811; -7.6350742; 7.0498577; 7.0664623; -0.6581513; 0.7528857; -5.1371252; 4.9425121; 2.2881830; 0.0020636; 60.0265894; 0.4457896
-12.3051276; -9.2851267; 7.0695840; 7.0700327; -0.6622295; 0.7493011; -5.1391264; 7.4139631; 2.2964369; 0.0020653; 60.0561962; 0.4411003
-14.1734483; -10.9453746; 7.0726714; 7.0533740; -0.6662760; 0.7457052; -5.1403428; 9.8855516; 2.3005666; 0.0020663; 60.0708772; 0.4387746
-16.0328151; -12.6157401; 7.0506172; 7.0222259; -0.6702912; 0.7420982; -5.1408215; 12.3572816; 2.3046982; 0.0020672; 60.0854772; 0.4364615
-17.8832002; -14.2961455; 7.0224873; 6.9819147; -0.6742751; 0.7384802; -5.1406101; 14.8291566; 2.3088317; 0.0020682; 60.0999968; 0.4341609
-19.7245753; -15.9865131; 7.0039062; 6.9426557; -0.6782280; 0.7348515; -5.1397558; 17.3011787; 2.3171050; 0.0020703; 60.1287963; 0.4295969
-21.5569125; -17.6867649; 7.0099785; 6.9129167; -0.6821500; 0.7312123; -5.1383057; 19.7733493; 2.3212449; 0.0020714; 60.1430772; 0.4273333
-23.3801838; -19.3968234; 7.0477681; 6.8991255; -0.6860413; 0.7275626; -5.1363069; 22.2456688; 2.3253869; 0.0020726; 60.1572795; 0.4250820
-25.1943611; -21.1166108; 7.0961728; 6.9000789; -0.6899021; 0.7239027; -5.1338065; 24.7181367; 2.3295313; 0.0020737; 60.1714036; 0.4228427
-26.9994163; -22.8460492; 7.1310611; 6.9172050; -0.6937325; 0.7202327; -5.1308511; 27.1907514; 2.3378270; 0.0020761; 60.1994193; 0.4184004
-28.7953215; -24.5850609; 7.1309025; 6.9488332; -0.6975328; 0.7165528; -5.1274874; 29.6635106; 2.3419784; 0.0020773; 60.2133118; 0.4161972
-30.5820485; -26.3335682; 7.0888392; 6.9894723; -0.7013032; 0.7128632; -5.1237616; 32.1364111; 2.3461323; 0.0020785; 60.2271279; 0.4140058
-32.3595694; -28.0914933; 7.0246820; 7.0274417; -0.7050437; 0.7091639; -5.1197199; 34.6094487; 2.3502887; 0.0020798; 60.2408681; 0.4118263
-34.1278561; -29.8587584; 6.9564914; 7.0503682; -0.7087546; 0.7054551; -5.1154081; 37.0826185; 2.3586092; 0.0020824; 60.2681226; 0.4075023
-35.8868806; -31.6352859; 6.9025269; 7.0490739; -0.7124361; 0.7017369; -5.1108717; 39.5559148; 2.3627733; 0.0020837; 60.2816378; 0.4053578
-37.6366149; -33.4209978; 6.8745594; 7.0251584; -0.7160884; 0.6980096; -5.1061559; 42.0293308; 2.3669400; 0.0020850; 60.2950789; 0.4032248
-39.3770308; -35.2158166; 6.8714001; 6.9945491; -0.7197117; 0.6942731; -5.1013055; 44.5028591; 2.3711094; 0.0020863; 60.3084463; 0.4011032
-41.1081003; -37.0196643; 6.8951213; 6.9726970; -0.7233060; 0.6905276; -5.0963649; 46.9764916; 2.3752815; 0.0020877; 60.3217404; 0.3989931
-42.8297955; -38.8324633; 6.9434593; 6.9720329; -0.7268717; 0.6867732; -5.0913783; 49.4502193; 2.3836337; 0.0020904; 60.3481105; 0.3948068
-44.5420883; -40.6541359; 7.0089934; 6.9832845; -0.7304089; 0.6830101; -5.0863892; 51.9240324; 2.3878140; 0.0020918; 60.3611873; 0.3927305
-46.2449506; -42.4846041; 7.0724406; 7.0102567; -0.7339179; 0.6792382; -5.0814408; 54.3979204; 2.3919969; 0.0020931; 60.3741926; 0.3906653
-47.9383544; -44.3237903; 7.1034698; 7.0422169; -0.7373987; 0.6754578; -5.0765759; 56.8718722; 2.3961827; 0.0020945; 60.3871266; 0.3886113
-49.6222717; -46.1716168; 7.0810406; 7.0673259; -0.7408515; 0.6716688; -5.0718366; 59.3458759; 2.4045625; 0.0020973; 60.4127830; 0.3845362
-51.2966744; -48.0280057; 7.0221953; 7.0757122; -0.7442766; 0.6678714; -5.0672646; 61.8199187; 2.4087565; 0.0020987; 60.4255060; 0.3825151
-52.9615345; -49.8928793; 6.9489752; 7.0648609; -0.7476742; 0.6640657; -5.0629011; 64.2939874; 2.4129534; 0.0021001; 60.4381596; 0.3805047
-54.6168240; -51.7661598; 6.8811240; 7.0298290; -0.7510444; 0.6602517; -5.0587867; 66.7680680; 2.4171530; 0.0021015; 60.4507440; 0.3785052
-56.2625148; -53.6477695; 6.8352596; 6.9694937; -0.7543874; 0.6564295; -5.0549614; 69.2421463; 2.4255607; 0.0021043; 60.4757070; 0.3745383
-57.8985788; -55.5376307; 6.8158676; 6.8878972; -0.7577035; 0.6525989; -5.0514646; 71.7162055; 2.4297685; 0.0021056; 60.4880864; 0.3725708
-59.5249881; -57.4356655; 6.8177618; 6.8073397; -0.7609923; 0.6487610; -5.0483352; 74.1902351; 2.4339798; 0.0021077; 60.5003982; 0.3706138
