# b7b17f82-de5c-46eb-9083-1fd6505d6c3c
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.3123616; -8.2652088; 2.2799357; 0.0020620; 59.9966342; 0.4510939
1.9990738; -4.8268107; -9.5700861; 2.2840586; 0.0020628; 60.0116627; 0.4481533
3.9981476; -6.3358649; -10.8811964; 2.2881830; 0.0020636; 60.0265894; 0.4457896
5.9972215; -7.8395046; -12.1985268; 2.2923091; 0.0020644; 60.0414338; 0.4434386
7.9962953; -9.3376972; -13.5220536; 2.2964369; 0.0020653; 60.0561962; 0.4411003
9.9953691; -10.8304172; -14.8517588; 2.3005666; 0.0020663; 60.0708772; 0.4387746
11.9944429; -12.3176203; -16.1876082; 2.3046982; 0.0020672; 60.0854772; 0.4364615
13.9935168; -13.7992893; -17.5295911; 2.3088317; 0.0020682; 60.0999968; 0.4341609
15.9925906; -15.2754010; -18.8776922; 2.3129673; 0.0020693; 60.1144363; 0.4318727
17.9916644; -16.7459276; -20.2318915; 2.3171050; 0.0020703; 60.1287963; 0.4295969
19.9907382; -18.2108409; -21.5921692; 2.3212449; 0.0020714; 60.1430772; 0.4273333
21.9898120; -19.6701016; -22.9584946; 2.3253869; 0.0020726; 60.1572795; 0.4250820
23.9888859; -21.1236833; -24.3308491; 2.3295313; 0.0020737; 60.1714036; 0.4228427
25.9879597; -22.5715676; -25.7092214; 2.3336779; 0.0020749; 60.1854501; 0.4206156
27.9870335; -24.0137260; -27.0935912; 2.3378270; 0.0020761; 60.1994193; 0.4184004
29.9861073; -25.4501303; -28.4839379; 2.3419784; 0.0020773; 60.2133118; 0.4161972
31.9851812; -26.8807458; -29.8802350; 2.3461323; 0.0020785; 60.2271279; 0.4140058
33.9842550; -28.3055382; -31.2824555; 2.3502887; 0.0020798; 60.2408681; 0.4118263
35.9833288; -29.7244921; -32.6905915; 2.3544476; 0.0020811; 60.2545329; 0.4096585
37.9824026; -31.1375792; -34.1046219; 2.3586092; 0.0020824; 60.2681226; 0.4075023
39.9814764; -32.5447707; -35.5245256; 2.3627733; 0.0020837; 60.2816378; 0.4053578
41.9805503; -33.9460363; -36.9502793; 2.3669400; 0.0020850; 60.2950789; 0.4032248
43.9796241; -35.3413367; -38.3818505; 2.3711094; 0.0020863; 60.3084463; 0.4011032
45.9786979; -36.7306576; -39.8192320; 2.3752815; 0.0020877; 60.3217404; 0.3989931
47.9777717; -38.1139705; -41.2624022; 2.3794562; 0.0020890; 60.3349616; 0.3968943
49.9768456; -39.4912466; -42.7113388; 2.3836337; 0.0020904; 60.3481105; 0.3948068
51.9759194; -40.8624571; -44.1660197; 2.3878140; 0.0020918; 60.3611873; 0.3927305
53.9749932; -42.2275658; -45.6264142; 2.3919969; 0.0020931; 60.3741926; 0.3906653
55.9740670; -43.5865533; -47.0925098; 2.3961827; 0.0020945; 60.3871266; 0.3886113
57.9731408; -44.9393921; -48.5642847; 2.4003712; 0.0020959; 60.3999900; 0.3865683
59.9722147; -46.2860534; -50.0417160; 2.4045625; 0.0020973; 60.4127830; 0.3845362
61.9712885; -47.6265086; -51.5247806; 2.4087565; 0.0020987; 60.4255060; 0.3825151
63.9703623; -48.9607280; -53.0134537; 2.4129534; 0.0021001; 60.4381596; 0.3805047
65.9694361; -50.2886863; -54.5077157; 2.4171530; 0.0021015; 60.4507440; 0.3785052
67.9685100; -51.6103564; -56.0075445; 2.4213555; 0.0021029; 60.4632596; 0.3765164
69.9675838; -52.9257091; -57.5129152; 2.4255607; 0.0021043; 60.4757070; 0.3745383
71.9666576; -54.2347168; -59.0238046; 2.4297685; 0.0021056; 60.4880864; 0.3725708
73.9657314; -55.5373536; -60.5401915; 2.4339798; 0.0021077; 60.5003982; 0.3706138
75.9648052; -56.8335977; -62.0620593; 2.4381914; 0.0021053; 60.5126429; 0.3686673
77.9638791; -58.1234241; -63.5893659; 2.4423944; 0.0020980; 60.5248209; 0.3667312
79.9629529; -59.4068274; -65.1220599; 2.4465763; 0.0020826; 60.5369324; 0.3648055
81.9620267; -60.6838375; -66.6600793; 2.4507160; 0.0020585; 60.5489780; 0.3628901
83.9611005; -61.9545109; -68.2033427; 2.4548041; 0.0020314; 60.5609579; 0.3609850
85.9601743; -63.2189133; -69.7517616; 2.4588380; 0.0020044; 60.5728726; 0.3590901
87.9592482; -64.4770976; -71.3052303; 2.4628182; 0.0019776; 60.5847224; 0.3572053
89.9583220; -65.7291286; -72.8636583; 2.4667446; 0.0019508; 60.5965077; 0.3553306
91.9573958; -66.9750721; -74.4269562; 2.4706176; 0.0019240; 60.6082289; 0.3534659
93.9564696; -68.2149947; -75.9950362; 2.4744373; 0.0018974; 60.6198863; 0.3516112
95.9555435; -69.4489616; -77.5678095; 2.4782038; 0.0018709; 60.6314804; 0.3497664
97.9546173; -70.6770359; -79.1451845; 2.4819174; 0.0018444; 60.6430114; 0.3479314
99.9536911; -71.8992856; -80.7270768; 2.4855782; 0.0018181; 60.6544797; 0.3461063
101.9527649; -73.1157796; -82.3134032; 2.4891864; 0.0017918; 60.6658858; 0.3442910
103.9518387; -74.3265875; -83.9040822; 2.4927423; 0.0017656; 60.6772298; 0.3424853
105.9509126; -75.5317660; -85.4990147; 2.4962452; 0.0017389; 60.6885123; 0.3406893
107.9499864; -76.7313914; -87.0981236; 2.4996931; 0.0017101; 60.6997336; 0.3389028
109.9490602; -77.9255455; -88.7013273; 2.5030823; 0.0016808; 60.7108939; 0.3371259
111.9481340; -79.1143140; -90.3085452; 2.5064129; 0.0016505; 60.7219937; 0.3353585
113.9472079; -80.2977783; -91.9196822; 2.5096795; 0.0016172; 60.7330333; 0.3336006
115.9462817; -81.4760208; -93.5346221; 2.5128738; 0.0015786; 60.7440130; 0.3318520
117.9453555; -82.6491588; -95.1532699; 2.5159917; 0.0015410; 60.7549332; 0.3301127
119.9444293; -83.8173069; -96.7755263; 2.5190345; 0.0015032; 60.7657942; 0.3283827
121.9435031; -84.9805775; -98.4012889; 2.5220015; 0.0014652; 60.7765964; 0.3266620
123.9425770; -86.1390828; -100.0304541; 2.5248926; 0.0014272; 60.7873401; 0.3249504
125.9416508; -87.2929332; -101.6629149; 2.5277076; 0.0013891; 60.7980256; 0.3232479
127.9407246; -88.4422406; -103.2985660; 2.5304464; 0.0013509; 60.8086532; 0.3215545
129.9397984; -89.5871281; -104.9373172; 2.5331088; 0.0013127; 60.8192233; 0.3198702
131.9388723; -90.7277135; -106.5790706; 2.5356949; 0.0012745; 60.8297363; 0.3181948
133.9379461; -91.8641165; -108.2237305; 2.5382044; 0.0012362; 60.8401923; 0.3165283
135.9370199; -92.9964531; -109.8711956; 2.5406373; 0.0011978; 60.8505919; 0.3148708
137.9360937; -94.1248268; -111.5213460; 2.5429935; 0.0011595; 60.8609352; 0.3132220
139.9351675; -95.2493753; -113.1741114; 2.5452730; 0.0011212; 60.8712226; 0.3115820
141.9342414; -96.3702207; -114.8293990; 2.5474760; 0.0010827; 60.8814544; 0.3099508
143.9333152; -97.4874893; -116.4871213; 2.5496019; 0.0010445; 60.8916309; 0.3083282
145.9323890; -98.6013051; -118.1471905; 2.5516533; 0.0010079; 60.9017525; 0.3067143
147.9314628; -99.7117455; -119.8094470; 2.5536224; 0.0009622; 60.9118195; 0.3051090
149.9305367; -100.8189293; -121.4737728; 2.5555248; 0.0009489; 60.9218321; 0.3035121
151.9296105; -101.9229251; -123.1401764; 2.5574571; 0.0010210; 60.9317906; 0.3019238
153.9286843; -103.0236211; -124.8090048; 2.5596380; 0.0011556; 60.9416954; 0.3003440
155.9277581; -104.1205439; -126.4804896; 2.5620640; 0.0012716; 60.9515468; 0.2987725
157.9268319; -105.2130252; -128.1544762; 2.5647292; 0.0013949; 60.9613451; 0.2972094
159.9259058; -106.3008512; -129.8315257; 2.5676385; 0.0015155; 60.9710906; 0.2956546
161.9249796; -107.3836554; -131.5119623; 2.5707884; 0.0016363; 60.9807835; 0.2941081
