# x_m, y_m, w_tr_right_m, w_tr_left_m
-172.27058779904797,-92.82686026252378,5.693537889963377,5.6935378899634035
-172.17290626736616,-91.83164253121731,5.698676529418631,5.698677478258764
-172.0752249610653,-90.83642477822652,5.703814942933739,5.703816763552022
-171.9775441055261,-89.8412069818671,5.708952904098817,5.70895544176817
-171.8798639261296,-88.84598912045475,5.7140901865036415,5.714093208832294
-171.78218464825656,-87.85077117230512,5.719226563738132,5.719229760668926
-171.6845064972879,-86.85555311573393,5.724361809391988,5.7243647932024295
-171.58682969860456,-85.86033492905683,5.729495697054827,5.729498002357018
-171.48915447758733,-84.86511659058955,5.734628000316272,5.73462908405635
-171.39148105961712,-83.86989807864774,5.739758492765807,5.739757734224099
-171.2938096700748,-82.8746793715471,5.744886947992843,5.744883648783508
-171.19614030887124,-81.8794604692962,5.750013366085141,5.750006827640348
-171.0984720743937,-80.88424145864087,5.7551386527660355,5.755128486989693
-171.00080383973793,-79.8890224480027,5.760263940078395,5.760250147189996
-170.90313447799943,-78.89380354580328,5.765390360065735,5.765373328600786
-170.80546286227388,-77.89858486046415,5.77051904477183,5.770499551583282
-170.70778786565688,-76.90336650040689,5.775651126240964,5.775630336499932
-170.61010836124407,-75.90814857405309,5.780787736517793,5.780767203714659
-170.512423222131,-74.9129311898243,5.785930007647529,5.785911673592695
-170.4147313214133,-73.91771445614215,5.791079071675583,5.791065266500795
-170.31703153218663,-72.92249848142814,5.796236060647946,5.796229502806903
-170.21932362978347,-71.927283287298,5.801401200258014,5.801404687305323
-170.12161099563,-70.93206854841837,5.806571093654278,5.806586259621275
-170.02389791196285,-69.9368538527873,5.811741439063692,5.81176844236721
-169.9261886610187,-68.9416387884028,5.816907934711651,5.816945458150341
-169.82848752503415,-67.94642294326289,5.822066278822029,5.822111529572514
-169.730798786246,-66.95120590536557,5.82721216961694,5.827260879230633
-169.63312672689077,-65.95598726270887,5.832341305317244,5.83238772971628
-169.53547562920525,-64.96076660329082,5.837449384141994,5.8374863036162
-169.437849775426,-63.96554351510941,5.842532104309003,5.842550823512123
-169.34025344778976,-62.97031758616268,5.84758516403442,5.847575511981044
-169.24268754380668,-61.97508873009949,5.8526076617038525,5.852559148668457
-169.1451394381376,-60.979858161627284,5.857612280257104,5.857518757645479
