# 09f13c6e-af94-4d1a-bab3-16241937e6e3
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -176.1468982; -92.4574888; -0.0972548; 0.0000877; 57.8706471; 1.1392058
1.9997102; -175.9528968; -90.4672109; -0.0970807; 0.0000865; 57.9099988; 1.1265203
3.9994204; -175.7592397; -88.4768982; -0.0969088; 0.0000854; 57.9488860; 1.1139826
5.9991307; -175.5659225; -86.4865547; -0.0967392; 0.0000842; 57.9873148; 1.1015909
7.9988409; -175.3729406; -84.4961786; -0.0965720; 0.0000831; 58.0252911; 1.0893432
9.9985511; -175.1802894; -82.5057711; -0.0964070; 0.0000819; 58.0628207; 1.0772379
11.9982613; -174.9879641; -80.5153299; -0.0962443; 0.0000808; 58.0999094; 1.0652730
13.9979715; -174.7959604; -78.5248582; -0.0960839; 0.0000796; 58.1365629; 1.0534468
15.9976818; -174.6042737; -76.5343564; -0.0959258; 0.0000785; 58.1727868; 1.0417576
17.9973920; -174.4128996; -74.5438252; -0.0957699; 0.0000773; 58.2085866; 1.0302036
19.9971022; -174.2218334; -72.5532648; -0.0956164; 0.0000762; 58.2439676; 1.0187832
21.9968124; -174.0310703; -70.5626733; -0.0954652; 0.0000751; 58.2789354; 1.0074947
23.9965226; -173.8406060; -68.5720537; -0.0953162; 0.0000739; 58.3134950; 0.9963364
25.9962329; -173.6504360; -66.5814066; -0.0951696; 0.0000728; 58.3476518; 0.9853068
27.9959431; -173.4605556; -64.5907322; -0.0950252; 0.0000716; 58.3814108; 0.9744041
29.9956533; -173.2709604; -62.6000312; -0.0948832; 0.0000705; 58.4147771; 0.9636269
31.9953635; -173.0816455; -60.6093015; -0.0947434; 0.0000693; 58.4477555; 0.9529735
33.9950737; -172.8926066; -58.6185460; -0.0946059; 0.0000682; 58.4803511; 0.9424425
35.9947840; -172.7038392; -56.6277653; -0.0944708; 0.0000670; 58.5125687; 0.9320324
37.9944942; -172.5153386; -54.6369598; -0.0943379; 0.0000659; 58.5444129; 0.9217416
39.9942044; -172.3271004; -52.6461300; -0.0942073; 0.0000647; 58.5758885; 0.9115687
41.9939146; -172.1391197; -50.6552739; -0.0940790; 0.0000636; 58.6070001; 0.9015122
43.9936248; -171.9513922; -48.6643943; -0.0939530; 0.0000624; 58.6377522; 0.8915707
45.9933351; -171.7639133; -46.6734919; -0.0938293; 0.0000613; 58.6681494; 0.8817428
47.9930453; -171.5766784; -44.6825669; -0.0937078; 0.0000601; 58.6981960; 0.8720271
49.9927555; -171.3896831; -42.6916200; -0.0935887; 0.0000590; 58.7278964; 0.8624223
51.9924657; -171.2029225; -40.7006490; -0.0934719; 0.0000579; 58.7572549; 0.8529269
53.9921759; -171.0163922; -38.7096569; -0.0933573; 0.0000567; 58.7862758; 0.8435397
55.9918862; -170.8300878; -36.7186442; -0.0932451; 0.0000556; 58.8149631; 0.8342593
57.9915964; -170.6440046; -34.7276113; -0.0931351; 0.0000544; 58.8433211; 0.8250844
59.9913066; -170.4581381; -32.7365587; -0.0930275; 0.0000533; 58.8713538; 0.8160139
61.9910168; -170.2724834; -30.7454843; -0.0929221; 0.0000521; 58.8990652; 0.8070463
63.9907270; -170.0870363; -28.7543910; -0.0928191; 0.0000510; 58.9264593; 0.7981804
