# x_m, y_m, w_tr_right_m, w_tr_left_m
-1499.98714606089,-404.485380958741,6.4956303698773254,8.511533808058864
-1497.487672915049,-404.43422870344,6.5026440856849215,8.511531593612995
-1494.9881999646423,-404.38306564388853,6.50989519650264,8.51152939520665
-1492.4887274051039,-404.33188097583616,6.5174170794518576,8.511527228879245
-1489.9892554318685,-404.2806638950326,6.525243115052309,8.511525110670474
-1487.48978424037,-404.22940359722736,6.5334066874813255,8.511523056619753
-1484.9903140260426,-404.17808927817,6.541941184859329,8.511521082766553
-1482.4908449843208,-404.12671013361006,6.550879999561194,8.511519205150389
-1479.9913773106389,-404.07525535929716,6.560256528552865,8.51151743981074
-1477.4919112004309,-404.0237141509808,6.570104173751685,8.511515802787134
-1474.992446849131,-403.97207570441077,6.580456342407514,8.511514310119205
-1472.492984452174,-403.9203292153365,6.5913464475051455,8.511512977846364
-1469.9935242049935,-403.86846387950754,6.602807908184392,8.511511822008085
-1467.4940663030236,-403.8164688926735,6.614874150176381,8.511510858643959
-1464.9946109416994,-403.764333450584,6.627578606254735,8.511510103793436
-1462.4951583164548,-403.7120467489885,6.640954716698269,8.511509573496053
-1459.9957086227237,-403.6595979836367,6.6550359297636,8.51150928379128
-1457.4962620559409,-403.60697635027816,6.669855702165496,8.511509250718694
-1454.9968188115402,-403.5541710446624,6.685447499561239,8.511509490317719
-1452.4973790849558,-403.501171262539,6.701844797037103,8.51151001862793
-1449.9979430716223,-403.4479661996576,6.719081079594455,8.511510851688852
-1447.498510966974,-403.3945450517677,6.737189842632184,8.511512005539839
-1444.9990829664448,-403.340897014619,6.75620459242175,8.511513496220656
-1442.499659265469,-403.2870112839609,6.776158846573814,8.511515339770591
-1440.000240059481,-403.23287705554316,6.7970861344917335,8.511517552229346
-1437.5008255439152,-403.1784835251152,6.819019997809335,8.511520149636274
-1435.0014159142054,-403.12381988842674,6.841993990809904,8.511523148030957
-1432.5020113657863,-403.06887534122717,6.866041680825008,8.51152656345275
-1430.0026119541456,-403.01364681527934,6.8911889750637645,8.511529726367922
-1427.5032169689382,-402.9581735763343,6.917419797706963,8.511531692445956
-1425.0038254391832,-402.902509297721,6.94470378067673,8.51153248107212
-1422.5044363936813,-402.84670766479803,6.973010540241002,8.511532118552566
-1420.0050488612335,-402.7908223629238,7.002309688065562,8.511530631192944
-1417.505661870641,-402.73490707745657,7.032570830402825,8.511528045299174
-1415.0062744507045,-402.6790154937548,7.06374416966364,8.511524387176841
-1412.5068856302253,-402.6232012971769,7.095686795292399,8.511519683132105
-1410.0074944380037,-402.5675181730813,7.128227857024197,8.511513959470495
-1407.5080999028412,-402.51201980682634,7.161196447627288,8.511507242498043
-1405.0087010535385,-402.45675988377053,7.194421607706568,8.511499558520518
-1402.5092969188968,-402.4017920892722,7.2277323260599005,8.511490933843783
-1400.0098865277175,-402.3471701086898,7.260957540723697,8.511481394773526
