# x_m, y_m, w_tr_right_m, w_tr_left_m
-1.15995,-2.96683,5.71652534271973,2.35231299755295
-3.65995000004969,-2.96682999835058,5.66627627013971,2.40179055461839
-6.1599490451923,-2.9668616939226,5.61436216112739,2.45301406995715
-8.65762038221407,-3.04437263413502,5.63806172498411,2.4284726017622
-11.1560032486558,-3.13377791549332,5.67192399324455,2.39375040493757
-13.6551261868542,-3.19975400574229,5.68090746337159,2.38404601147131
-16.1544327398173,-3.2585476367448,5.68128027563859,2.38304575348365
-18.653640597581,-3.32137817770937,5.6842841688561,2.37947047211509
-21.1525085363836,-3.39646921817914,5.69817916891245,2.36503360572685
-23.6508725404324,-3.48677147949322,5.72597724323368,2.33671667038571
-26.1487823049066,-3.58888375415338,5.76435492497659,2.29785473204357
-28.646313296879,-3.69992963199461,5.81050735904998,2.25126057260057
-31.1437934533782,-3.81212846367242,5.8567280259688,2.20465764347302
-33.6414706597336,-3.91983652200877,5.8974425788572,2.1636315214947
-36.1395905588574,-4.01669121753155,5.92636249111978,2.13448538602931
-38.6382802039145,-4.09747226224536,5.93834774918562,2.12237534545941
-41.1374712633311,-4.16073542895532,5.93203295110305,2.12867677925469
-43.6370960177118,-4.20361444516587,5.90464037665809,2.15618530643203
-46.1369679557356,-4.22812027682357,5.8582529887063,2.2028210760378
-48.6369550745012,-4.23331987902131,5.79202353517166,2.26944733035046
-51.136929999894,-4.22361735213116,5.71040785933558,2.35159910383269
-53.6368232348051,-4.20082305401744,5.61527853765416,2.44740436880398
-56.1366112199467,-4.16835034529587,5.51009510737754,2.55339249989561
-58.6363053176726,-4.1292859778085,5.39798767436432,2.66642001463178
-61.1359434265107,-4.08681059720278,5.28217503571208,2.783249977317
-63.6355973058023,-4.04527424094359,5.16703087595065,2.89947786995526
-66.1353020620202,-4.00688150833157,5.05480086978967,3.01283923884206
-68.6350888858952,-3.97436931060224,4.94825783683924,3.12053710875539
-71.1349818137889,-3.95150919792689,4.85120026156098,3.21874003344792
-73.6349459748481,-3.93893049358931,4.71085686640294,3.30675283418793
-76.1349418351485,-3.94022892446222,4.68585624211261,3.33874419207587
-78.6348783815508,-3.95740962801268,4.67563469878074,3.34884554692158
-81.1346291953557,-3.99227626878167,4.68090357712676,3.34360706397819
-83.6340331272353,-4.0465777299166,4.70232048566254,3.32245104317856
-86.1328939495706,-4.12175532741077,4.74023663893523,3.28510801088304
-88.6309372383619,-4.2204206226228,4.79617530714838,3.23014049154408
-91.1278923650139,-4.34357610231204,4.87005146819327,3.15772153947202
-93.6234145621103,-4.4928920051205,4.96245026201686,3.06736124539938
