# ac65f6c0-fe9d-4141-87ca-5ccdcac69f0a
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-1499.9883884; -404.3703242; 6.6106938; 8.3964704; 0.0114730; -0.9999342; -0.2734104; 0.0000000; -1.5597126; -0.0003226; 61.2135892; 0.2569279
-1497.4899544; -404.3407180; 6.5961835; 8.4179885; 0.0122212; -0.9999253; -0.2705008; 2.4984077; -1.5603500; -0.0003149; 61.2219825; 0.2555862
-1494.9915471; -404.3092725; 6.5837389; 8.4376781; 0.0129452; -0.9999162; -0.2637986; 4.9968285; -1.5609719; -0.0003071; 61.2303309; 0.2542515
-1492.4931657; -404.2760482; 6.5733222; 8.4556102; 0.0136451; -0.9999069; -0.2534246; 7.4952713; -1.5621692; -0.0002916; 61.2468938; 0.2516034
-1489.9948092; -404.2411054; 6.5648957; 8.4718561; 0.0143208; -0.9998975; -0.2394997; 9.9937444; -1.5627445; -0.0002838; 61.2551088; 0.2502899
-1487.4964768; -404.2045045; 6.5584215; 8.4864868; 0.0149724; -0.9998879; -0.2221445; 12.4922548; -1.5633044; -0.0002760; 61.2632798; 0.2489833
-1484.9981675; -404.1663057; 6.5538622; 8.4995732; 0.0155998; -0.9998783; -0.2014799; 14.9908087; -1.5638486; -0.0002683; 61.2714070; 0.2476836
-1482.4998804; -404.1265693; 6.5512214; 8.5111449; 0.0162030; -0.9998687; -0.1776266; 17.4894113; -1.5648905; -0.0002527; 61.2875313; 0.2451048
-1480.0016145; -404.0853559; 6.5503324; 8.5214022; 0.0167821; -0.9998592; -0.1507055; 19.9880670; -1.5653882; -0.0002450; 61.2955288; 0.2438256
-1477.5033690; -404.0427256; 6.5512896; 8.5302838; 0.0173371; -0.9998497; -0.1208372; 22.4867794; -1.5658703; -0.0002372; 61.3034835; 0.2425532
-1475.0051430; -403.9987388; 6.5540100; 8.5379062; 0.0178679; -0.9998404; -0.0881427; 24.9855510; -1.5663369; -0.0002294; 61.3113957; 0.2412875
-1472.5069354; -403.9534559; 6.5584558; 8.5443406; 0.0183745; -0.9998312; -0.0527426; 27.4843840; -1.5672235; -0.0002139; 61.3270934; 0.2387761
-1470.0087454; -403.9069371; 6.5645894; 8.5496580; 0.0188570; -0.9998222; -0.0147577; 29.9832794; -1.5676435; -0.0002061; 61.3348794; 0.2375304
-1467.5105722; -403.8592429; 6.5723730; 8.5539296; 0.0193153; -0.9998134; 0.0256911; 32.4822377; -1.5680479; -0.0001984; 61.3426238; 0.2362912
-1465.0124147; -403.8104336; 6.5817688; 8.5572264; 0.0197495; -0.9998050; 0.0684831; 34.9812588; -1.5684369; -0.0001906; 61.3503268; 0.2350586
-1462.5142720; -403.7605694; 6.5927392; 8.5596196; 0.0201595; -0.9997968; 0.1134974; 37.4803418; -1.5691682; -0.0001751; 61.3656097; 0.2326129
-1460.0161432; -403.7097108; 6.6052464; 8.5611803; 0.0205454; -0.9997889; 0.1606134; 39.9794852; -1.5695107; -0.0001673; 61.3731899; 0.2313997
-1457.5180275; -403.6579180; 6.6192526; 8.5619798; 0.0209071; -0.9997814; 0.2097102; 42.4786870; -1.5698376; -0.0001596; 61.3807298; 0.2301929
-1455.0199238; -403.6052515; 6.6347202; 8.5620891; 0.0212447; -0.9997743; 0.2606670; 44.9779446; -1.5701490; -0.0001518; 61.3882293; 0.2289925
-1452.5218313; -403.5517715; 6.6516114; 8.5615794; 0.0215581; -0.9997676; 0.3133630; 47.4772550; -1.5707254; -0.0001364; 61.4031086; 0.2266107
-1450.0237490; -403.4975384; 6.6698886; 8.5605219; 0.0218474; -0.9997613; 0.3676774; 49.9766146; -1.5709904; -0.0001286; 61.4104888; 0.2254292
-1447.5256761; -403.4426126; 6.6895140; 8.5589877; 0.0221125; -0.9997555; 0.4234894; 52.4760193; -1.5712398; -0.0001209; 61.4178296; 0.2242539
-1445.0276115; -403.3870542; 6.7104499; 8.5570479; 0.0223535; -0.9997501; 0.4806782; 54.9754648; -1.5714738; -0.0001131; 61.4251313; 0.2230848
-1442.5295545; -403.3309238; 6.7326588; 8.5547737; 0.0225704; -0.9997453; 0.5391231; 57.4749463; -1.5718955; -0.0000977; 61.4396181; 0.2207652
-1440.0315040; -403.2742816; 6.7561029; 8.5522362; 0.0227631; -0.9997409; 0.5987031; 59.9744586; -1.5720831; -0.0000899; 61.4468036; 0.2196145
-1437.5334592; -403.2171880; 6.7807446; 8.5495067; 0.0229316; -0.9997370; 0.6592975; 62.4739963; -1.5722552; -0.0000822; 61.4539509; 0.2184699
-1435.0354191; -403.1597033; 6.8065462; 8.5466561; 0.0230760; -0.9997337; 0.7207855; 64.9735536; -1.5724119; -0.0000745; 61.4610601; 0.2173313
-1432.5373828; -403.1018879; 6.8334702; 8.5437558; 0.0231963; -0.9997309; 0.7830462; 67.4731247; -1.5726789; -0.0000590; 61.4751650; 0.2150721
-1430.0393494; -403.0438020; 6.8614791; 8.5408684; 0.0232924; -0.9997287; 0.8459589; 69.9727034; -1.5727893; -0.0000513; 61.4821613; 0.2139515
-1427.5413180; -402.9855061; 6.8905355; 8.5380149; 0.0233644; -0.9997270; 0.9094027; 72.4722833; -1.5728842; -0.0000436; 61.4891202; 0.2128367
-1425.0432877; -402.9270604; 6.9206025; 8.5352021; 0.0234122; -0.9997259; 0.9732568; 74.9718579; -1.5729636; -0.0000359; 61.4960421; 0.2117278
-1422.5452574; -402.8685253; 6.9516429; 8.5324368; 0.0234359; -0.9997253; 1.0374005; 77.4714207; -1.5730762; -0.0000204; 61.5097757; 0.2095275
-1420.0472264; -402.8099611; 6.9836198; 8.5297258; 0.0234355; -0.9997254; 1.1017129; 79.9709650; -1.5731093; -0.0000127; 61.5165877; 0.2084361
-1417.5491937; -402.7514282; 7.0164959; 8.5270759; 0.0234109; -0.9997259; 1.1660731; 82.4704841; -1.5731269; -0.0000050; 61.5233635; 0.2073504
-1415.0511584; -402.6929869; 7.0502152; 8.5244938; 0.0233621; -0.9997271; 1.2303604; 84.9699713; -1.5731291; 0.0000028; 61.5301032; 0.2062704
-1412.5531196; -402.6346976; 7.0846298; 8.5219864; 0.0232892; -0.9997288; 1.2944541; 87.4694199; -1.5730872; 0.0000182; 61.5434754; 0.2041274
-1410.0550762; -402.5766206; 7.1195629; 8.5195603; 0.0231922; -0.9997310; 1.3582331; 89.9688232; -1.5730431; 0.0000259; 61.5501083; 0.2030644
-1407.5570276; -402.5188161; 7.1548369; 8.5172225; 0.0230710; -0.9997338; 1.4215769; 92.4681749; -1.5729835; 0.0000337; 61.5567058; 0.2020070
-1405.0589726; -402.4613446; 7.1902742; 8.5149801; 0.0229257; -0.9997372; 1.4843645; 94.9674684; -1.5729084; 0.0000414; 61.5632684; 0.2009551
-1402.5609104; -402.4042664; 7.2256951; 8.5128419; 0.0227563; -0.9997410; 1.5464752; 97.4666975; -1.5727119; 0.0000569; 61.5762890; 0.1988680
-1400.0628400; -402.3476419; 7.2609438; 8.5107932; 0.0225627; -0.9997454; 1.6077881; 99.9658562; -1.5725904; 0.0000646; 61.5827475; 0.1978326
-1397.5647606; -402.2915313; 7.2958011; 8.5088820; 0.0223449; -0.9997503; 1.6681826; 102.4649387; -1.5724535; 0.0000723; 61.5891717; 0.1968027
-1395.0666713; -402.2359950; 7.3301176; 8.5070871; 0.0221031; -0.9997557; 1.7275377; 104.9639394; -1.5723011; 0.0000801; 61.5955618; 0.1957782
-1392.5685710; -402.1810934; 7.3637107; 8.5054202; 0.0218370; -0.9997615; 1.7857328; 107.4628530; -1.5719498; 0.0000956; 61.6082404; 0.1937454
-1390.0704590; -402.1268867; 7.3964023; 8.5038884; 0.0215468; -0.9997678; 1.8426470; 109.9616747; -1.5717509; 0.0001033; 61.6145293; 0.1927370
-1387.5723342; -402.0734354; 7.4280143; 8.5024988; 0.0212325; -0.9997746; 1.8981596; 112.4603998; -1.5715365; 0.0001111; 61.6207848; 0.1917339
-1385.0741957; -402.0207997; 7.4583691; 8.5012581; 0.0208940; -0.9997817; 1.9521497; 114.9590242; -1.5713066; 0.0001188; 61.6270071; 0.1907361
-1382.5760427; -401.9690400; 7.4872887; 8.5001731; 0.0205314; -0.9997892; 2.0044967; 117.4575442; -1.5708003; 0.0001344; 61.6393529; 0.1887561
-1380.0778743; -401.9182166; 7.5145953; 8.4992505; 0.0201447; -0.9997971; 2.0550798; 119.9559564; -1.5705239; 0.0001421; 61.6454768; 0.1877739
-1377.5796894; -401.8683899; 7.5401118; 8.4984972; 0.0197337; -0.9998053; 2.1037782; 122.4542579; -1.5702318; 0.0001500; 61.6515681; 0.1867969
-1375.0814872; -401.8196202; 7.5637123; 8.4979199; 0.0192989; -0.9998138; 2.1504712; 124.9524474; -1.5699243; 0.0001575; 61.6576272; 0.1858250
-1372.5832667; -401.7719679; 7.5853565; 8.4975253; 0.0188386; -0.9998225; 2.1950379; 127.4505195; -1.5692619; 0.0001716; 61.6696492; 0.1838965
-1370.0850272; -401.7254852; 7.6050229; 8.4973116; 0.0183687; -0.9998313; 2.2373738; 129.9485088; -1.5689212; 0.0001690; 61.6756125; 0.1829399
-1367.5867689; -401.6801620; 7.6227522; 8.4972148; 0.0179122; -0.9998396; 2.2774991; 132.4464697; -1.5685890; 0.0001632; 61.6815442; 0.1819883
-1365.0884924; -401.6359582; 7.6386141; 8.4971421; 0.0174723; -0.9998473; 2.3154938; 134.9444160; -1.5682678; 0.0001581; 61.6874444; 0.1810416
-1362.5901983; -401.5928338; 7.6526789; 8.4970050; 0.0170483; -0.9998547; 2.3514378; 137.4423515; -1.5676558; 0.0001479; 61.6991513; 0.1791633
-1360.0918873; -401.5507487; 7.6650168; 8.4967760; 0.0166404; -0.9998615; 2.3854112; 139.9402818; -1.5673651; 0.0001428; 61.7049583; 0.1782315
-1357.5935601; -401.5096627; 7.6756976; 8.4964674; 0.0162486; -0.9998680; 2.4174941; 142.4382117; -1.5670847; 0.0001376; 61.7107346; 0.1773046
-1355.0952173; -401.4695359; 7.6847912; 8.4960938; 0.0158727; -0.9998740; 2.4477665; 144.9361459; -1.5668146; 0.0001325; 61.7164803; 0.1763825
-1352.5968595; -401.4303281; 7.6923674; 8.4956693; 0.0155130; -0.9998797; 2.4763086; 147.4340885; -1.5663050; 0.0001223; 61.7278806; 0.1745529
-1350.0984875; -401.3919991; 7.6984962; 8.4952084; 0.0151692; -0.9998849; 2.5032003; 149.9320434; -1.5660657; 0.0001171; 61.7335355; 0.1736453
