# 8ce3b8e4-054d-4c52-87bf-35383c2da4a8
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1499.9778513; -405.2886889; -1.5605897; -0.0003045; 61.1807700; 0.2621734
1.9996151; -1497.9783338; -405.2688834; -1.5611908; -0.0002967; 61.1893382; 0.2608040
3.9992301; -1495.9788049; -405.2502641; -1.5617761; -0.0002888; 61.1978605; 0.2594420
5.9988452; -1493.9792674; -405.2327993; -1.5623456; -0.0002809; 61.2063371; 0.2580871
7.9984603; -1491.9797195; -405.2164577; -1.5628994; -0.0002730; 61.2147682; 0.2567394
9.9980753; -1489.9801621; -405.2012075; -1.5634374; -0.0002651; 61.2231542; 0.2553989
11.9976904; -1487.9805986; -405.1870173; -1.5639596; -0.0002572; 61.2314952; 0.2540654
13.9973055; -1485.9810280; -405.1738556; -1.5644660; -0.0002493; 61.2397916; 0.2527390
15.9969206; -1483.9814504; -405.1616907; -1.5649567; -0.0002414; 61.2480435; 0.2514196
17.9965356; -1481.9818661; -405.1504910; -1.5654315; -0.0002335; 61.2562513; 0.2501072
19.9961507; -1479.9822752; -405.1402252; -1.5658906; -0.0002256; 61.2644151; 0.2488017
21.9957658; -1477.9826845; -405.1308614; -1.5663339; -0.0002177; 61.2725352; 0.2475032
23.9953808; -1475.9830889; -405.1223683; -1.5667614; -0.0002098; 61.2806119; 0.2462115
25.9949959; -1473.9834886; -405.1147143; -1.5671731; -0.0002020; 61.2886453; 0.2449266
27.9946110; -1471.9838840; -405.1078677; -1.5675690; -0.0001941; 61.2966358; 0.2436485
29.9942260; -1469.9842755; -405.1017970; -1.5679492; -0.0001862; 61.3045836; 0.2423772
31.9938411; -1467.9846701; -405.0964707; -1.5683136; -0.0001783; 61.3124889; 0.2411126
33.9934562; -1465.9850616; -405.0918573; -1.5686622; -0.0001704; 61.3203519; 0.2398547
35.9930712; -1463.9854503; -405.0879252; -1.5689950; -0.0001625; 61.3281729; 0.2386034
37.9926863; -1461.9858365; -405.0846429; -1.5693121; -0.0001546; 61.3359521; 0.2373588
39.9923014; -1459.9862210; -405.0819788; -1.5696134; -0.0001467; 61.3436898; 0.2361207
41.9919164; -1457.9866090; -405.0799015; -1.5698989; -0.0001389; 61.3513861; 0.2348891
43.9915315; -1455.9869952; -405.0783794; -1.5701687; -0.0001310; 61.3590413; 0.2336641
45.9911466; -1453.9873800; -405.0773810; -1.5704228; -0.0001231; 61.3666557; 0.2324455
47.9907617; -1451.9877639; -405.0768748; -1.5706610; -0.0001152; 61.3742294; 0.2312334
49.9903767; -1449.9881476; -405.0768294; -1.5708836; -0.0001074; 61.3817627; 0.2300276
51.9899918; -1447.9885334; -405.0772133; -1.5710904; -0.0000995; 61.3892557; 0.2288282
53.9896069; -1445.9889183; -405.0779950; -1.5712814; -0.0000916; 61.3967089; 0.2276352
55.9892219; -1443.9893030; -405.0791429; -1.5714568; -0.0000837; 61.4041222; 0.2264484
57.9888370; -1441.9896881; -405.0806258; -1.5716164; -0.0000759; 61.4114960; 0.2252679
59.9884521; -1439.9900741; -405.0824120; -1.5717602; -0.0000680; 61.4188305; 0.2240937
61.9880671; -1437.9904593; -405.0844701; -1.5718883; -0.0000601; 61.4261259; 0.2229256
63.9876822; -1435.9908444; -405.0867687; -1.5720007; -0.0000523; 61.4333824; 0.2217637
65.9872973; -1433.9912302; -405.0892763; -1.5720974; -0.0000444; 61.4406002; 0.2206079
67.9869123; -1431.9916174; -405.0919615; -1.5721783; -0.0000365; 61.4477796; 0.2194582
69.9865274; -1429.9920066; -405.0947929; -1.5722436; -0.0000287; 61.4549207; 0.2183146
71.9861425; -1427.9923908; -405.0977389; -1.5722930; -0.0000208; 61.4620238; 0.2171769
73.9857576; -1425.9927759; -405.1007681; -1.5723268; -0.0000129; 61.4690891; 0.2160453
75.9853726; -1423.9931625; -405.1038491; -1.5723448; -0.0000051; 61.4761167; 0.2149197
77.9849877; -1421.9935512; -405.1069504; -1.5723471; 0.0000028; 61.4831070; 0.2138000
79.9846028; -1419.9939428; -405.1100406; -1.5723337; 0.0000107; 61.4900600; 0.2126862
81.9842178; -1417.9943252; -405.1130882; -1.5723045; 0.0000185; 61.4969760; 0.2115782
83.9838329; -1415.9947091; -405.1160617; -1.5722596; 0.0000264; 61.5038552; 0.2104761
85.9834480; -1413.9950954; -405.1189298; -1.5721990; 0.0000343; 61.5106979; 0.2093798
87.9830630; -1411.9954847; -405.1216608; -1.5721226; 0.0000421; 61.5175041; 0.2082893
89.9826781; -1409.9958776; -405.1242233; -1.5720305; 0.0000500; 61.5242741; 0.2072045
91.9822932; -1407.9962570; -405.1265859; -1.5719226; 0.0000579; 61.5310082; 0.2061254
93.9819082; -1405.9966389; -405.1287170; -1.5717989; 0.0000658; 61.5377064; 0.2050520
95.9815233; -1403.9970240; -405.1305851; -1.5716596; 0.0000737; 61.5443690; 0.2039842
97.9811384; -1401.9974131; -405.1321587; -1.5715044; 0.0000815; 61.5509962; 0.2029221
99.9807535; -1399.9978066; -405.1334063; -1.5713335; 0.0000894; 61.5575882; 0.2018656
101.9803685; -1397.9981831; -405.1342963; -1.5711468; 0.0000973; 61.5641452; 0.2008146
103.9799836; -1395.9985631; -405.1347972; -1.5709443; 0.0001052; 61.5706674; 0.1997691
105.9795987; -1393.9989475; -405.1348774; -1.5707260; 0.0001131; 61.5771549; 0.1987292
107.9792137; -1391.9993368; -405.1345054; -1.5704919; 0.0001210; 61.5836079; 0.1976947
109.9788288; -1389.9997317; -405.1336495; -1.5702420; 0.0001289; 61.5900267; 0.1966657
111.9784439; -1388.0001072; -405.1322781; -1.5699764; 0.0001368; 61.5964115; 0.1956420
113.9780589; -1386.0004875; -405.1303597; -1.5696949; 0.0001447; 61.6027623; 0.1946238
115.9776740; -1384.0008736; -405.1278626; -1.5693975; 0.0001526; 61.6090794; 0.1936109
117.9772891; -1382.0012659; -405.1247551; -1.5690844; 0.0001606; 61.6153630; 0.1926033
119.9769041; -1380.0016651; -405.1210056; -1.5687554; 0.0001685; 61.6216133; 0.1916010
121.9765192; -1378.0020447; -405.1165824; -1.5684105; 0.0001765; 61.6278304; 0.1906040
123.9761343; -1376.0024294; -405.1114536; -1.5680499; 0.0001842; 61.6340146; 0.1896123
125.9757493; -1374.0028247; -405.1055884; -1.5676736; 0.0001926; 61.6401659; 0.1886257
127.9753644; -1372.0032318; -405.0989532; -1.5672801; 0.0001988; 61.6462847; 0.1876444
129.9749795; -1370.0036350; -405.0915262; -1.5668850; 0.0001964; 61.6523710; 0.1866681
131.9745946; -1368.0040374; -405.0833162; -1.5664979; 0.0001908; 61.6584250; 0.1856971
133.9742096; -1366.0044430; -405.0743433; -1.5661216; 0.0001857; 61.6644470; 0.1847311
135.9738247; -1364.0048521; -405.0646276; -1.5657551; 0.0001808; 61.6704370; 0.1837702
137.9734398; -1362.0052642; -405.0541891; -1.5653986; 0.0001758; 61.6763953; 0.1828143
139.9730548; -1360.0056787; -405.0430476; -1.5650520; 0.0001708; 61.6823221; 0.1818635
141.9726699; -1358.0061004; -405.0312231; -1.5647155; 0.0001658; 61.6882174; 0.1809176
143.9722850; -1356.0065259; -405.0187357; -1.5643889; 0.0001608; 61.6940816; 0.1799767
145.9719000; -1354.0069544; -405.0056051; -1.5640723; 0.0001558; 61.6999147; 0.1790408
147.9715151; -1352.0073857; -404.9918515; -1.5637657; 0.0001508; 61.7057169; 0.1781097
149.9711302; -1350.0078195; -404.9774947; -1.5634690; 0.0001458; 61.7114884; 0.1771836
151.9707452; -1348.0082629; -404.9625548; -1.5631824; 0.0001409; 61.7172293; 0.1762623
153.9703603; -1346.0087100; -404.9470518; -1.5629057; 0.0001359; 61.7229399; 0.1753459
155.9699754; -1344.0091598; -404.9310055; -1.5626390; 0.0001309; 61.7286203; 0.1744342
157.9695905; -1342.0096119; -404.9144359; -1.5623824; 0.0001259; 61.7342706; 0.1735274
159.9692055; -1340.0100661; -404.8973631; -1.5621357; 0.0001209; 61.7398910; 0.1726253
161.9688206; -1338.0105314; -404.8798070; -1.5618989; 0.0001159; 61.7454817; 0.1717279
