# ced77218-eb07-4b1b-ae11-02deda9f0335
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 374.6032727; 13.8210709; -1.2765706; 0.0028030; 40.4414532; 4.0667692
1.9995318; 376.5150811; 14.4063690; -1.2707869; 0.0029781; 40.6420275; 4.0515903
3.9990636; 378.4231966; 15.0029755; -1.2646797; 0.0031303; 40.8408738; 4.0364925
5.9985954; 380.3278854; 15.6116253; -1.2582651; 0.0032868; 41.0380209; 4.0214750
7.9981272; 382.2285491; 16.2327845; -1.2515362; 0.0034429; 41.2334972; 4.0065368
9.9976590; 384.1250366; 16.8670622; -1.2444969; 0.0035973; 41.4273302; 3.9916769
11.9971908; 386.0166831; 17.5148863; -1.2371502; 0.0037512; 41.6195466; 3.9768947
13.9967226; 387.9032759; 18.1768295; -1.2294977; 0.0039037; 41.8101724; 3.9621891
15.9962544; 389.7847654; 18.8535206; -1.2215404; 0.0040553; 41.9992329; 3.7442505
17.9957862; 391.6608109; 19.5454844; -1.2132805; 0.0042059; 42.1771153; 3.4062643
19.9953180; 393.5310544; 20.2532334; -1.2047202; 0.0043556; 42.3382915; 3.0721724
21.9948498; 395.3950164; 20.9772258; -1.1958624; 0.0045039; 42.4831347; 2.7432064
23.9943816; 397.2521433; 21.7178787; -1.1867096; 0.0046518; 42.6120522; 2.4183918
25.9939135; 399.1023981; 22.4758110; -1.1772629; 0.0047960; 42.7253824; 2.1041495
27.9934453; 400.9453598; 23.2514780; -1.1675274; 0.0049449; 42.8237425; 1.7854514
29.9929771; 402.7807034; 24.0453921; -1.1574866; 0.0050864; 42.9070281; 1.4851734
31.9925089; 404.6077867; 24.8578760; -1.1472141; 0.0051909; 42.9761837; 1.2583126
33.9920407; 406.4264947; 25.6891644; -1.1369831; 0.0050412; 43.0346887; 1.5063108
35.9915725; 408.2367012; 26.5387407; -1.1270345; 0.0049133; 43.1046200; 1.7098082
37.9911043; 410.0383543; 27.4060015; -1.1173359; 0.0047860; 43.1838615; 1.9093566
39.9906361; 411.8315742; 28.2904381; -1.1078956; 0.0046570; 43.2721797; 2.1095960
41.9901679; 413.6163667; 29.1914754; -1.0987133; 0.0045283; 43.3695509; 2.3069808
43.9896997; 415.3932169; 30.1087846; -1.0897873; 0.0043993; 43.4757830; 2.5034263
45.9892315; 417.1619457; 31.0416982; -1.0811192; 0.0042701; 43.5907682; 2.6985397
47.9887633; 418.9225553; 31.9896324; -1.0727099; 0.0041409; 43.7143764; 2.8926292
49.9882951; 420.6751540; 32.9520554; -1.0645595; 0.0040116; 43.8464880; 3.0860822
51.9878269; 422.4198672; 33.9284431; -1.0566685; 0.0038821; 43.9869975; 3.2794175
53.9873587; 424.1571017; 34.9184310; -1.0490350; 0.0037532; 44.1358193; 3.4714582
55.9868905; 425.8870437; 35.9215357; -1.0416601; 0.0036224; 44.2928113; 3.6671917
57.9864223; 427.6095801; 36.9370909; -1.0345449; 0.0034958; 44.4580528; 3.7188707
59.9859541; 429.3248634; 37.9645937; -1.0276828; 0.0033632; 44.6249982; 3.6928811
61.9854859; 431.0330425; 39.0035096; -1.0210998; 0.0032344; 44.7901611; 3.6671348
63.9850177; 432.7344996; 40.0534938; -1.0147095; 0.0031567; 44.9535720; 3.6416280
65.9845495; 434.4294242; 41.1143773; -1.0083491; 0.0032046; 45.1152606; 3.6163572
67.9840813; 436.1174905; 42.1860762; -1.0019054; 0.0032380; 45.2752557; 3.5913189
69.9836131; 437.7985860; 43.2686842; -0.9954002; 0.0032688; 45.4335855; 3.5665098
71.9831449; 439.4725496; 44.3622430; -0.9888354; 0.0032942; 45.5902774; 3.5419264
73.9826767; 441.1392867; 45.4668093; -0.9822330; 0.0033094; 45.7453580; 3.5175656
75.9822086; 442.7986848; 46.5823832; -0.9756034; 0.0033217; 45.8988535; 3.4934242
77.9817404; 444.4506332; 47.7089514; -0.9689491; 0.0033341; 46.0507891; 3.4694991
79.9812722; 446.0950317; 48.8465059; -0.9622699; 0.0033467; 46.2011896; 3.4457873
81.9808040; 447.7317838; 49.9950404; -0.9555656; 0.0033592; 46.3500792; 3.4222859
83.9803358; 449.3607914; 51.1545478; -0.9488361; 0.0033719; 46.4974815; 3.3586850
85.9798676; 450.9819542; 52.3250189; -0.9420812; 0.0033846; 46.6416914; 3.2774328
87.9793994; 452.5951343; 53.5064165; -0.9353010; 0.0033972; 46.7819842; 3.1971145
89.9789312; 454.2002523; 54.6987450; -0.9284955; 0.0034099; 46.9184346; 3.1177965
91.9784630; 455.7972105; 55.9019949; -0.9216647; 0.0034226; 47.0511187; 3.0394996
93.9779948; 457.3859059; 57.1161521; -0.9148085; 0.0034352; 47.1801115; 2.9622431
