# b84e945f-1bec-4a55-9005-f1b342885f5f
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
376.0045938; 9.3378029; 7.1222638; 6.9700007; 0.2983332; -0.9544618; -2.7621230; 0.0000000; -1.2837198; 0.0033656; 38.7568235; 4.2233517
378.3824154; 10.0957710; 7.2566517; 6.9342323; 0.3090003; -0.9510619; -2.7195187; 2.4653946; -1.2768400; 0.0035135; 38.9741007; 4.2019321
380.7524178; 10.8799690; 7.3901107; 6.8958565; 0.3191863; -0.9476920; -2.6713835; 4.9333238; -1.2696847; 0.0036431; 39.1890804; 4.1806810
383.1147682; 11.6892419; 7.5215161; 6.8559008; 0.3288955; -0.9443663; -2.6198681; 7.4038386; -1.2545875; 0.0039077; 39.6123306; 4.1386730
385.4696338; 12.5224348; 7.6499617; 6.8152761; 0.3381324; -0.9410985; -2.5671413; 9.8769171; -1.2466417; 0.0040394; 39.8206889; 4.1179110
387.8171815; 13.3783926; 7.7746761; 6.7749954; 0.3469018; -0.9379014; -2.5153747; 12.3524754; -1.2384339; 0.0041709; 40.0269255; 4.0979801
390.1575785; 14.2559604; 7.8942319; 6.7361343; 0.3552088; -0.9347870; -2.4667428; 14.8303792; -1.2299639; 0.0043017; 40.2311143; 4.0259384
392.4909920; 15.1539832; 8.0076078; 6.6996474; 0.3630586; -0.9317663; -2.4234190; 17.3104556; -1.2122398; 0.0045620; 40.6149308; 3.4437320
394.8175889; 16.0713060; 8.1142820; 6.6665789; 0.3704564; -0.9288498; -2.3875731; 19.7925048; -1.2029881; 0.0046914; 40.7841153; 3.1569592
397.1375364; 17.0067738; 8.2125527; 6.6381268; 0.3774079; -0.9260471; -2.3613689; 22.2763102; -1.1934795; 0.0048198; 40.9385970; 2.8746991
399.4510017; 17.9592317; 8.2779129; 6.6149580; 0.3839170; -0.9233676; -2.3469606; 24.7616544; -1.1837144; 0.0049482; 41.0787612; 2.5954471
401.7581517; 18.9275246; 8.3336326; 6.5983787; 0.3899932; -0.9208178; -2.3464910; 27.2483127; -1.1634234; 0.0052022; 41.3175510; 2.0521315
404.0591536; 19.9104975; 8.3793493; 6.5893803; 0.3956254; -0.9184120; -2.3620887; 29.7361289; -1.1528852; 0.0053315; 41.4167416; 1.7825273
406.3541735; 20.9069984; 8.4140994; 6.5892215; 0.4008802; -0.9161305; -2.3958590; 32.2247742; -1.1421438; 0.0054141; 41.5027083; 1.5977792
408.6431658; 21.9164548; 8.4373757; 6.5986171; 0.4062095; -0.9137800; -2.4486661; 34.7129389; -1.1314339; 0.0052718; 41.5796141; 1.8053072
410.9256145; 22.9395827; 8.4500606; 6.6169526; 0.4119337; -0.9112138; -2.5186412; 37.1996298; -1.1109597; 0.0049727; 41.7635106; 2.2364704
413.2009404; 23.9772715; 8.4538461; 6.6427547; 0.4180185; -0.9084385; -2.6035464; 39.6847463; -1.1011670; 0.0048231; 41.8704484; 2.4487010
415.4685644; 25.0304105; 8.4486108; 6.6767281; 0.4244692; -0.9054424; -2.7011406; 42.1680545; -1.0916718; 0.0046747; 41.9872217; 2.6570047
417.7279071; 26.0998891; 8.4361382; 6.7169048; 0.4312804; -0.9022180; -2.8091844; 44.6493377; -1.0824727; 0.0045261; 42.1135623; 2.8642905
419.9783894; 27.1865966; 8.4170159; 6.7630220; 0.4384487; -0.8987562; -2.9254415; 47.1283687; -1.0649655; 0.0042296; 42.3943812; 3.2748299
422.2194321; 28.2914224; 8.3933367; 6.8134168; 0.4459696; -0.8950481; -3.0476817; 49.6049327; -1.0566567; 0.0040817; 42.5485555; 3.4790752
424.4504559; 29.4152559; 8.3657440; 6.8675222; 0.4538383; -0.8910840; -3.1736829; 52.0788344; -1.0486439; 0.0039337; 42.7117358; 3.6835905
426.6708816; 30.5589863; 8.3353852; 6.9245892; 0.4620489; -0.8868544; -3.3012341; 54.5499128; -1.0409249; 0.0037864; 42.8838318; 3.8785148
428.8801300; 31.7235030; 8.3030689; 6.9838467; 0.4705964; -0.8823486; -3.4281378; 57.0180446; -1.0263753; 0.0034919; 43.2433410; 3.8501749
431.0776219; 32.9096955; 8.2703219; 7.0441303; 0.4794690; -0.8775588; -3.5522118; 59.4831837; -1.0195372; 0.0033448; 43.4210014; 3.8361104
433.2627781; 34.1184530; 8.2380067; 7.1049022; 0.4886760; -0.8724654; -3.6712934; 61.9452634; -1.0130116; 0.0031842; 43.5972929; 3.8221152
435.4350237; 35.3506523; 8.2075034; 7.1649818; 0.4981323; -0.8671010; -3.7832666; 64.4046867; -1.0067374; 0.0030903; 43.7722350; 3.8081888
437.5939524; 36.6066887; 8.1788868; 7.2245111; 0.5075831; -0.8616028; -3.8870160; 66.8626706; -1.0005780; 0.0030912; 43.9458472; 3.7943304
439.7393748; 37.8863371; 8.1522311; 7.2837121; 0.5169062; -0.8560420; -3.9826974; 69.3198921; -0.9881537; 0.0031182; 44.2887559; 3.7451907
441.8711158; 39.1893314; 8.1276375; 7.3427493; 0.5261234; -0.8504082; -4.0705482; 71.7763941; -0.9819057; 0.0031314; 44.4575179; 3.7189539
443.9890005; 40.5154058; 8.1047870; 7.4021989; 0.5352301; -0.8447063; -4.1508061; 74.2323265; -0.9756317; 0.0031441; 44.6244661; 3.6929640
446.0928538; 41.8642943; 8.0837258; 7.4623278; 0.5442288; -0.8389368; -4.2237057; 76.6877957; -0.9693320; 0.0031572; 44.7896317; 3.6672174
448.1825006; 43.2357308; 8.0640971; 7.5233260; 0.5531201; -0.8331015; -4.2894800; 79.1429064; -0.9566541; 0.0031835; 45.1147367; 3.6164392
450.2577658; 44.6294493; 8.0458502; 7.5630389; 0.5619051; -0.8272017; -4.3483590; 81.5977504; -0.9502754; 0.0031968; 45.2747345; 3.5914006
452.3184745; 46.0451840; 8.0288433; 7.6039455; 0.5705850; -0.8212386; -4.4005701; 84.0524103; -0.9438700; 0.0032102; 45.4330669; 3.5665911
454.3644516; 47.4826687; 8.0131049; 7.6475580; 0.5791608; -0.8152133; -4.4463376; 86.5069590; -0.9374377; 0.0032237; 45.5897614; 3.5420074
456.3955220; 48.9416375; 7.9987937; 7.6938463; 0.5876336; -0.8091271; -4.4858825; 88.9614600; -0.9309786; 0.0032371; 45.7448446; 3.5176463
458.4115108; 50.4218244; 7.9846307; 7.7434393; 0.5960047; -0.8029810; -4.5194222; 91.4159679; -0.9179798; 0.0032639; 46.0502808; 3.4695792
460.4122427; 51.9229634; 7.9743321; 7.7911663; 0.6042751; -0.7967758; -4.5471703; 93.8705287; -0.9114403; 0.0032773; 46.2006838; 3.4458671
462.3975429; 53.4447886; 7.9645406; 7.8395043; 0.6124460; -0.7905124; -4.5693363; 96.3251800; -0.9048740; 0.0032906; 46.3495759; 3.4223654
464.3672362; 54.9870339; 7.9558499; 7.8867433; 0.6205187; -0.7841917; -4.5861255; 98.7799518; -0.8982813; 0.0033038; 46.4969806; 3.3990712
466.3211476; 56.5494334; 7.9496740; 7.9300728; 0.6284941; -0.7778143; -4.5977387; 101.2348663; -0.8850170; 0.0033299; 46.7874192; 3.3423846
468.2591020; 58.1317210; 7.9448814; 7.9696211; 0.6363737; -0.7713809; -4.6043721; 103.6899385; -0.8783458; 0.0033429; 46.9300412; 3.2610834
470.1809245; 59.7336308; 7.9419247; 8.0037873; 0.6441584; -0.7648921; -4.6062167; 106.1451765; -0.8716490; 0.0033556; 47.0687776; 3.1810570
472.0864400; 61.3548968; 7.9406382; 8.0315132; 0.6518495; -0.7583483; -4.6034586; 108.6005820; -0.8649269; 0.0033682; 47.2037165; 3.1024031
473.9754733; 62.9952530; 7.9307559; 8.0510970; 0.6594482; -0.7517500; -4.5962786; 111.0561504; -0.8514079; 0.0033929; 47.4625580; 2.9489446
475.8478496; 64.6544335; 7.9104447; 8.0616320; 0.6669556; -0.7450975; -4.5848518; 113.5118710; -0.8446117; 0.0034050; 47.5866286; 2.8741560
477.7033936; 66.3321721; 7.8911857; 8.0619411; 0.6743727; -0.7383911; -4.5693479; 115.9677279; -0.8377915; 0.0034169; 47.7072422; 2.8006881
479.5419304; 68.0282030; 7.8744563; 8.0506634; 0.6817009; -0.7316310; -4.5499304; 118.4236997; -0.8309478; 0.0034286; 47.8244800; 2.7287923
481.3632850; 69.7422601; 7.8607378; 8.0262096; 0.6889411; -0.7248173; -4.5267569; 120.8797598; -0.8240810; 0.0034399; 47.9384325; 2.6583884
483.1672822; 71.4740775; 7.8492088; 7.9883740; 0.6960943; -0.7179504; -4.4999787; 123.3358789; -0.8102795; 0.0034622; 48.1568053; 2.5214750
484.9537471; 73.2233892; 7.8407212; 7.9350974; 0.7031624; -0.7110293; -4.4697410; 125.7920157; -0.8033468; 0.0034730; 48.2613848; 2.4549834
486.7225185; 74.9899328; 7.8353140; 7.8652956; 0.7101368; -0.7040637; -4.4361966; 128.2482045; -0.7963822; 0.0034933; 48.3629892; 2.3674689
488.4735358; 76.7734719; 7.8330289; 7.7778031; 0.7170051; -0.6970680; -4.3995984; 130.7045875; -0.7893754; 0.0035157; 48.4607699; 2.2756727
490.2067830; 78.5737819; 7.8337863; 7.6716497; 0.7237659; -0.6900456; -4.3602485; 133.1612671; -0.7752240; 0.0035621; 48.6444222; 2.0922254
491.9222439; 80.3906379; 7.8380443; 7.5453879; 0.7304204; -0.6829979; -4.3184551; 135.6183231; -0.7680777; 0.0035860; 48.7303458; 2.0003255
493.6199027; 82.2238152; 7.8450790; 7.3981342; 0.7369691; -0.6759264; -4.2745316; 138.0758302; -0.7608830; 0.0036105; 48.8123539; 1.9083919
495.2997433; 84.0730890; 7.8554963; 7.2287952; 0.7434128; -0.6688328; -4.2287952; 140.5338536; -0.7536400; 0.0036345; 48.8904647; 1.8186063
496.9617496; 85.9382347; 7.8693404; 7.4626477; 0.7497522; -0.6617186; -4.1815573; 142.9924508; -0.7390207; 0.0036760; 49.0356397; 1.6583909
498.6059058; 87.8190274; 7.8865904; 8.3933723; 0.7559882; -0.6545853; -4.1331102; 145.4516718; -0.7316507; 0.0036959; 49.1032163; 1.5817364
500.2321959; 89.7152424; 7.9073011; 9.8638913; 0.7621214; -0.6474341; -4.0837395; 147.9115594; -0.7242402; 0.0037163; 49.1675829; 1.5051253
501.8406037; 91.6266549; 7.9315015; 11.6740661; 0.7681528; -0.6402666; -4.0337338; 150.3721493; -0.7167888; 0.0037372; 49.2287537; 1.4283977
503.4311134; 93.5530403; 7.9592659; 11.2677187; 0.7740833; -0.6330838; -3.9833852; 152.8334702; -0.7092952; 0.0037584; 49.2867360; 1.3518233
505.0037090; 95.4941736; 7.9907393; 9.5986740; 0.7799137; -0.6258871; -3.9329892; 155.2955442; -0.6941785; 0.0038021; 49.3932064; 1.1993337
506.5583744; 97.4498303; 8.0257757; 8.0932877; 0.7856449; -0.6186777; -3.8828444; 157.7583866; -0.6865538; 0.0038244; 49.4417330; 1.1234730
508.0950936; 99.4197856; 8.0648642; 7.1429420; 0.7912780; -0.6114566; -3.8332522; 160.2220066; -0.6788843; 0.0038471; 49.4871471; 1.0478524
509.6138507; 101.4038146; 8.1073086; 6.9704557; 0.7968139; -0.6042248; -3.7845167; 162.6864072; -0.6711691; 0.0038702; 49.5294668; 0.9725615
511.1146296; 103.4016927; 8.1539272; 7.0490828; 0.8022535; -0.5969835; -3.7369440; 165.1515857; -0.6555987; 0.0039172; 49.6049106; 0.8232248
512.5974144; 105.4131950; 8.2043292; 7.1334223; 0.8075979; -0.5897335; -3.6908426; 167.6175335; -0.6477422; 0.0039412; 49.6380824; 0.7492204
514.0621891; 107.4380969; 8.2588417; 7.1983831; 0.8128481; -0.5824758; -3.6465224; 170.0842370; -0.6398375; 0.0039654; 49.6682530; 0.6756935
515.5089376; 109.4761737; 8.3174016; 7.2455934; 0.8180050; -0.5752111; -3.6042950; 172.5516770; -0.6318844; 0.0039900; 49.6954470; 0.6027126
516.9376440; 111.5272004; 8.3799351; 7.2767455; 0.8230697; -0.5679403; -3.5644733; 175.0198296; -0.6158292; 0.0040398; 49.7410130; 0.4584716
518.3482923; 113.5909525; 8.4460677; 7.2934345; 0.8280433; -0.5606641; -3.5273709; 177.4886664; -0.6077262; 0.0040651; 49.7594393; 0.3872411
519.7408665; 115.6672051; 8.5151441; 7.2973135; 0.8329268; -0.5533832; -3.4933025; 179.9581540; -0.5995724; 0.0040907; 49.7749975; 0.3167071
521.1153506; 117.7557335; 8.5873589; 7.2894020; 0.8377211; -0.5460983; -3.4625831; 182.4282560; -0.5913675; 0.0041165; 49.7877182; 0.2465972
522.4717286; 119.8563129; 8.6607918; 7.2728503; 0.8424276; -0.5388095; -3.4355278; 184.8989287; -0.5831108; 0.0041422; 49.7976207; 0.1782437
523.8099844; 121.9687186; 8.7360586; 7.2480680; 0.8470461; -0.5315194; -3.4124521; 187.3701356; -0.5664384; 0.0041946; 49.8091150; 0.0427886
525.1301018; 124.0927261; 8.8126452; 7.2167280; 0.8515827; -0.5242203; -3.3936696; 189.8417953; -0.5580315; 0.0042127; 49.8108327; -0.0029298
526.4319839; 126.2281440; 8.8899898; 7.1805327; 0.8560731; -0.5168548; -3.3793241; 192.3136160; -0.5496237; 0.0041974; 49.8107151; 0.0351449
527.7153595; 128.3748531; 8.9678550; 7.1407928; 0.8605411; -0.5093810; -3.3691877; 194.7853488; -0.5412429; 0.0041861; 49.8121258; 0.0624286
528.9799347; 130.5327440; 9.0460664; 7.0988341; 0.8649828; -0.5018015; -3.3629797; 197.2569248; -0.5245480; 0.0041631; 49.8182218; 0.1166296
530.2254153; 132.7017069; 9.1243954; 7.0559249; 0.8693973; -0.4941137; -3.3604148; 199.7282595; -0.5162354; 0.0041517; 49.8229027; 0.1427428
