# 4dd13d53-01ea-4094-b49b-04da7a348578
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 375.1805609; 11.9741438; -1.2837198; 0.0033656; 38.7568235; 4.2233517
1.9994968; 377.0961613; 12.5468095; -1.2768400; 0.0035135; 38.9741007; 4.2019321
3.9989937; 379.0076089; 13.1328840; -1.2696847; 0.0036431; 39.1890804; 4.1806810
5.9984905; 380.9149735; 13.7329419; -1.2622692; 0.0037752; 39.4018088; 4.1595955
7.9979873; 382.8177869; 14.3473909; -1.2545875; 0.0039077; 39.6123306; 4.1386730
9.9974842; 384.7158440; 14.9767235; -1.2466417; 0.0040394; 39.8206889; 4.1179110
11.9969810; 386.6085006; 15.6212786; -1.2384339; 0.0041709; 40.0269255; 4.0979801
13.9964779; 388.4957039; 16.2815897; -1.2299639; 0.0043017; 40.2311143; 4.0259384
15.9959747; 390.3772494; 16.9581408; -1.2212321; 0.0044321; 40.4307094; 3.7335236
17.9954715; 392.2527979; 17.6513663; -1.2122398; 0.0045620; 40.6149308; 3.4437320
19.9949684; 394.1219953; 18.3616908; -1.2029881; 0.0046914; 40.7841153; 3.1569592
21.9944652; 395.9843130; 19.0894650; -1.1934795; 0.0048198; 40.9385970; 2.8746991
23.9939620; 397.8394844; 19.8351332; -1.1837144; 0.0049482; 41.0787612; 2.5954471
25.9934589; 399.6872489; 20.5991439; -1.1736938; 0.0050736; 41.2049002; 2.3246399
27.9929557; 401.5272011; 21.3818748; -1.1634234; 0.0052022; 41.3175510; 2.0521315
29.9924526; 403.3589657; 22.1837285; -1.1528852; 0.0053315; 41.4167416; 1.7825273
31.9919494; 405.1820203; 23.0050111; -1.1421438; 0.0054141; 41.5027083; 1.5977792
33.9914462; 406.9962226; 23.8459182; -1.1314339; 0.0052718; 41.5796141; 1.8053072
35.9909431; 408.8014101; 24.7058853; -1.1210509; 0.0051194; 41.6663380; 2.0272844
37.9904399; 410.5976162; 25.5842445; -1.1109597; 0.0049727; 41.7635106; 2.2364704
39.9899367; 412.3849526; 26.4803947; -1.1011670; 0.0048231; 41.8704484; 2.4487010
41.9894336; 414.1635974; 27.3937569; -1.0916718; 0.0046747; 41.9872217; 2.6570047
43.9889304; 415.9337895; 28.3237894; -1.0824727; 0.0045261; 42.1135623; 2.8642905
45.9884273; 417.6954378; 29.2697757; -1.0735707; 0.0043778; 42.2493362; 3.0700578
47.9879241; 419.4486619; 30.2311045; -1.0649655; 0.0042296; 42.3943812; 3.2748299
49.9874209; 421.1935999; 31.2071733; -1.0566567; 0.0040817; 42.5485555; 3.4790752
51.9869178; 422.9304996; 32.1974412; -1.0486439; 0.0039337; 42.7117358; 3.6835905
53.9864146; 424.6598470; 33.2015091; -1.0409249; 0.0037864; 42.8838318; 3.8785148
55.9859114; 426.3814552; 34.2185899; -1.0335017; 0.0036380; 43.0642914; 3.8643095
57.9854083; 428.0955309; 35.2481143; -1.0263753; 0.0034919; 43.2433410; 3.8501749
59.9849051; 429.8022763; 36.2895201; -1.0195372; 0.0033448; 43.4210014; 3.8361104
61.9844019; 431.5019283; 37.3422533; -1.0130116; 0.0031842; 43.5972929; 3.8221152
63.9838988; 433.1951120; 38.4060066; -1.0067374; 0.0030903; 43.7722350; 3.8081888
65.9833956; 434.8815459; 39.4801571; -1.0005780; 0.0030912; 43.9458472; 3.7943304
67.9828925; 436.5613184; 40.5647144; -0.9943768; 0.0031075; 44.1181480; 3.7716783
69.9823893; 438.2343188; 41.6596865; -0.9881537; 0.0031182; 44.2887559; 3.7451907
71.9818861; 439.9004367; 42.7650534; -0.9819057; 0.0031314; 44.4575179; 3.7189539
73.9813830; 441.5596431; 43.8808584; -0.9756317; 0.0031441; 44.6244661; 3.6929640
75.9808798; 443.2118149; 45.0070810; -0.9693320; 0.0031572; 44.7896317; 3.6672174
77.9803766; 444.8568265; 46.1436987; -0.9630063; 0.0031703; 44.9530454; 3.6417103
79.9798735; 446.4945919; 47.2907153; -0.9566541; 0.0031835; 45.1147367; 3.6164392
81.9793703; 448.1250208; 48.4481321; -0.9502754; 0.0031968; 45.2747345; 3.5914006
83.9788672; 449.7480242; 49.6159512; -0.9438700; 0.0032102; 45.4330669; 3.5665911
85.9783640; 451.3635080; 50.7941712; -0.9374377; 0.0032237; 45.5897614; 3.5420074
87.9778608; 452.9713573; 51.9827748; -0.9309786; 0.0032371; 45.7448446; 3.5176463
89.9773577; 454.5714783; 53.1817592; -0.9244927; 0.0032505; 45.8983426; 3.4935046
