# dbf5ccff-97df-479b-8712-b3d4904bf0d2
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
51.2568860; 4.3265058; 5.4454653; 5.5692881; -0.0143587; 0.9998969; 1.4454653; 0.0000000; 1.5905662; 0.0020332; 41.7920073; 3.9635924
48.7586747; 4.2954544; 5.4872873; 5.5274931; -0.0105986; 0.9999438; 1.4212263; 2.4931331; 1.5943356; 0.0017361; 41.9811844; 3.9489580
46.2641235; 4.2730690; 5.5199606; 5.4948547; -0.0074499; 0.9999722; 1.3779918; 4.9837522; 1.5975509; 0.0014953; 42.1688190; 3.9343987
43.7726582; 4.2577895; 5.5433676; 5.4714983; -0.0049181; 0.9999879; 1.3191351; 7.4725439; 1.6026394; 0.0010491; 42.5395565; 3.9055024
41.2837051; 4.2480556; 5.5588375; 5.4561021; -0.0030070; 0.9999955; 1.2479286; 9.9600795; 1.6045129; 0.0008251; 42.7227055; 3.8911639
38.7966900; 4.2423072; 5.5667359; 5.4483081; -0.0017198; 0.9999985; 1.1676428; 12.4468390; 1.6059384; 0.0006009; 42.9044047; 3.8768974
36.3110390; 4.2389841; 5.5680230; 5.4471637; -0.0010585; 0.9999994; 1.0815472; 14.9332352; 1.6069155; 0.0003767; 43.0846756; 3.8627023
33.8261781; 4.2365261; 5.5633496; 5.4520257; -0.0010245; 0.9999995; 0.9929107; 17.4196378; 1.6075254; -0.0000714; 43.4410168; 3.8345234
31.3415333; 4.2333730; 5.5534692; 5.4621481; -0.0016182; 0.9999987; 0.9050019; 19.9063976; 1.6071590; -0.0002951; 43.6171278; 3.8205382
28.8565307; 4.2279646; 5.5389888; 5.4769302; -0.0028392; 0.9999960; 0.8210889; 22.3938715; 1.6063457; -0.0005185; 43.7918922; 3.8066216
26.3705962; 4.2187407; 5.5211420; 5.4950970; -0.0046853; 0.9999890; 0.7444400; 24.8824452; 1.6050867; -0.0007408; 43.9653291; 3.7927729
