# c3883795-3865-46f2-949a-8281ce22ea1a
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 51.2361310; 5.7718221; 1.5905662; 0.0020332; 41.7920073; 3.9635924
1.9991926; 49.2371635; 5.7284295; 1.5943356; 0.0017361; 41.9811844; 3.9489580
3.9983853; 47.2386112; 5.6780837; 1.5975509; 0.0014953; 42.1688190; 3.9343987
5.9975779; 45.2402638; 5.6217646; 1.6003184; 0.0012729; 42.3549352; 3.9199138
7.9967705; 43.2421189; 5.5603626; 1.6026394; 0.0010491; 42.5395565; 3.9055024
9.9959632; 41.2440848; 5.4947693; 1.6045129; 0.0008251; 42.7227055; 3.8911639
11.9951558; 39.2460456; 5.4258763; 1.6059384; 0.0006009; 42.9044047; 3.8768974
13.9943484; 37.2481446; 5.3545849; 1.6069155; 0.0003767; 43.0846756; 3.8627023
15.9935411; 35.2503176; 5.2817899; 1.6074444; 0.0001525; 43.2635394; 3.8485779
17.9927337; 33.2524962; 5.2083852; 1.6075254; -0.0000714; 43.4410168; 3.8345234
19.9919263; 31.2546107; 5.1352638; 1.6071590; -0.0002951; 43.6171278; 3.8205382
21.9911190; 29.2567629; 5.0633237; 1.6063457; -0.0005185; 43.7918922; 3.8066216
23.9903116; 27.2588812; 4.9934555; 1.6050867; -0.0007408; 43.9653291; 3.7927729
25.9895042; 25.2608742; 4.9265454; 1.6033834; -0.0009638; 44.1374572; 3.7686823
27.9886969; 23.2626722; 4.8634827; 1.6012342; -0.0011838; 44.3078297; 3.7422272
29.9878895; 21.2641867; 4.8051426; 1.5986556; -0.0013976; 44.4763605; 3.7160223
31.9870821; 19.2658217; 4.7524158; 1.5956115; -0.0016475; 44.6430815; 3.6900639
33.9862748; 17.2673514; 4.7062078; 1.5921871; -0.0017518; 44.8080241; 3.6643482
35.9854674; 15.2685411; 4.6669625; 1.5886977; -0.0016744; 44.9712186; 3.6388716
37.9846600; 13.2694824; 4.6343935; 1.5855361; -0.0014992; 45.1326945; 3.6136305
39.9838527; 11.2702686; 4.6078272; 1.5826783; -0.0013589; 45.2924806; 3.5886214
41.9830453; 9.2712784; 4.5866888; 1.5801130; -0.0012077; 45.4506050; 3.5638411
43.9822379; 7.2722023; 4.5703780; 1.5778465; -0.0010606; 45.6070949; 3.5392861
45.9814306; 5.2729911; 4.5583057; 1.5758717; -0.0009148; 45.7619769; 3.5149532
47.9806232; 3.2737236; 4.5498901; 1.5741880; -0.0007697; 45.9152771; 3.4908394
49.9798158; 1.2744909; 4.5445513; 1.5727936; -0.0006254; 46.0670206; 3.4669414
51.9790085; -0.7247220; 4.5417122; 1.5716873; -0.0004814; 46.2172322; 3.4432564
53.9782011; -2.7240110; 4.5407972; 1.5708687; -0.0003375; 46.3659360; 3.4197814
55.9773937; -4.7232934; 4.5412310; 1.5703380; -0.0001932; 46.5131554; 3.3965134
57.9765864; -6.7224816; 4.5424371; 1.5700963; -0.0000484; 46.6589133; 3.3734498
59.9757790; -8.7214897; 4.5438362; 1.5701451; 0.0000974; 46.8032322; 3.3505877
61.9749716; -10.7209098; 4.5448455; 1.5704870; 0.0002447; 46.9461339; 3.3279244
63.9741643; -12.7203251; 4.5448760; 1.5711250; 0.0003939; 47.0876397; 3.3054574
65.9733569; -14.7195897; 4.5433315; 1.5720630; 0.0005446; 47.2277705; 3.2831840
67.9725495; -16.7185917; 4.5396103; 1.5733031; 0.0006952; 47.3665466; 3.2611018
69.9717422; -18.7174414; 4.5331130; 1.5748395; 0.0008422; 47.5039880; 3.2392081
71.9709348; -20.7168080; 4.5232469; 1.5766716; 0.0009904; 47.6401142; 3.2175008
73.9701274; -22.7159749; 4.5094241; 1.5787980; 0.0011364; 47.7749442; 3.1959773
75.9693201; -24.7149561; 4.4910586; 1.5812220; 0.0012952; 47.9084965; 3.1746353
77.9685127; -26.7138785; 4.4675152; 1.5839864; 0.0014827; 48.0407895; 3.1524529
79.9677053; -28.7128370; 4.4380312; 1.5871801; 0.0017168; 48.1717985; 3.1281988
81.9668980; -30.7115954; 4.4016303; 1.5909417; 0.0020457; 48.3014484; 3.1041753
83.9660906; -32.7098891; 4.3571951; 1.5951122; 0.0020677; 48.4297595; 3.0803791
85.9652832; -34.7081615; 4.3045612; 1.5990275; 0.0017228; 48.5567518; 3.0568072
87.9644759; -36.7067288; 4.2450552; 1.6019162; 0.0011914; 48.6824449; 3.0334566
89.9636685; -38.7052887; 4.1807581; 1.6038478; 0.0007399; 48.8068578; 3.0103244
91.9628611; -40.7032197; 4.1135354; 1.6048546; 0.0002680; 48.9300093; 2.9874077
93.9620538; -42.7012221; 4.0452361; 1.6049240; -0.0001976; 49.0519175; 2.9647037
95.9612464; -44.6994005; 3.9777183; 1.6040715; -0.0006506; 49.1726005; 2.9422095
97.9604390; -46.6976760; 3.9127999; 1.6023181; -0.0011219; 49.2920757; -0.7615955
99.9596317; -48.6959679; 3.8523878; 1.5995432; -0.0016310; 49.2611772; -9.4951214
101.9588243; -50.6945169; 3.7982089; 1.5962401; -0.0016736; 48.8743125; -9.4931009
103.9580169; -52.6932361; 3.7506207; 1.5930340; -0.0014864; 48.4844444; -9.9731851
105.9572095; -54.6919390; 3.7089805; 1.5902895; -0.0012761; 48.0714542; -10.4942789
107.9564022; -56.6907135; 3.6724434; 1.5879199; -0.0010904; 47.6330194; -10.9431765
109.9555948; -58.6895800; 3.6402583; 1.5859399; -0.0008906; 47.1714904; -11.4085812
111.9547874; -60.6885901; 3.6116334; 1.5843552; -0.0006947; 46.6854753; -11.8479449
113.9539801; -62.6876065; 3.5857846; 1.5831633; -0.0004973; 46.1753284; -12.2724754
115.9531727; -64.6866360; 3.5619234; 1.5823669; -0.0002995; 45.6408903; -12.6785273
117.9523653; -66.6856890; 3.5392590; 1.5819658; -0.0001017; 45.0821165; -13.0469666
119.9515580; -68.6847655; 3.5170008; 1.5819604; 0.0000963; 44.4997802; -12.6383862
121.9507506; -70.6838179; 3.4943580; 1.5823508; 0.0002942; 43.9283200; -12.2494834
123.9499432; -72.6828564; 3.4705394; 1.5831369; 0.0004923; 43.3672589; -11.8810083
125.9491359; -74.6818834; 3.4447531; 1.5843190; 0.0006899; 42.8160518; -11.5295845
127.9483285; -76.6808818; 3.4162096; 1.5858955; 0.0008882; 42.2742779; -11.1906544
129.9475211; -78.6798309; 3.3841151; 1.5878729; 0.0010895; 41.7417061; -10.8962975
131.9467138; -80.6786830; 3.3476773; 1.5902362; 0.0012747; 41.2165310; -10.5259322
133.9459064; -82.6774838; 3.3061228; 1.5930122; 0.0015148; 40.7027726; -10.0615494
135.9450990; -84.6761826; 3.2585040; 1.5963247; 0.0018242; 40.2055437; -9.5492542
137.9442917; -86.6746235; 3.2035909; 1.6003284; 0.0021778; 39.7278762; -9.0751453
139.9434843; -88.6727067; 3.1399851; 1.6050234; 0.0025218; 39.2685399; -8.4689420
141.9426769; -90.6706454; 3.0662360; 1.6105091; 0.0029663; 38.8349859; -7.4134413
143.9418696; -92.6680726; 2.9805154; 1.6171284; 0.0037271; 38.4514543; -6.1984678
145.9410622; -94.6647453; 2.8799068; 1.6254517; 0.0046158; 38.1278176; -4.9035743
147.9402548; -96.6602630; 2.7608786; 1.6356107; 0.0055733; 37.8698309; -3.5210426
149.9394475; -98.6543273; 2.6195962; 1.6477953; 0.0065959; 37.6834925; -3.1919866
151.9386401; -100.6463083; 2.4524966; 1.6612737; 0.0068839; 37.5137684; -3.1887494
153.9378327; -102.6356069; 2.2581528; 1.6750668; 0.0068507; 37.3434461; -3.3138639
155.9370254; -104.6223990; 2.0365408; 1.6886731; 0.0067901; 37.1656140; -3.4817792
157.9362180; -106.6062788; 1.7879352; 1.7022431; 0.0067814; 36.9778497; -3.5792322
159.9354106; -108.5868154; 1.5124266; 1.7157861; 0.0067652; 36.7838310; -3.6903247
161.9346033; -110.5626721; 1.2102539; 1.7293259; 0.0067832; 36.5827129; -3.7569967
163.9337959; -112.5344553; 0.8812822; 1.7429091; 0.0068079; 36.3768190; -3.8178226
165.9329885; -114.5017629; 0.5254631; 1.7565711; 0.0068804; 36.1663909; -3.8151032
167.9321812; -116.4643217; 0.1425472; 1.7704146; 0.0068723; 35.9548826; -3.9091854
169.9313738; -118.4211799; -0.2671024; 1.7837753; 0.0065012; 35.7368599; -4.4776714
171.9305664; -120.3731353; -0.7021873; 1.7962724; 0.0059996; 35.4854857; -5.2154016
173.9297591; -122.3201228; -1.1607485; 1.8077582; 0.0054724; 35.1904321; -5.9808377
175.9289517; -124.2614248; -1.6404539; 1.8181456; 0.0048904; 34.8490003; -6.8042730
177.9281443; -126.1967944; -2.1388067; 1.8272753; 0.0042294; 34.4564466; -7.7062449
179.9273370; -128.1273039; -2.6533027; 1.8349737; 0.0034723; 34.0063844; -8.6950698
181.9265296; -130.0571320; -3.1819395; 1.8410746; 0.0026173; 33.4913114; -9.7570420
183.9257222; -131.9824567; -3.7201903; 1.8454361; 0.0017429; 32.9037312; -10.1046748
185.9249149; -133.9040253; -4.2649067; 1.8488597; 0.0024435; 32.2839456; -8.2136312
187.9241075; -135.8236290; -4.8193996; 1.8557974; 0.0043761; 31.7712430; -6.8245824
189.9233001; -137.7398798; -5.3910000; 1.8660786; 0.0058946; 31.3388668; -5.5687326
191.9224928; -139.6486957; -5.9849311; 1.8793027; 0.0073252; 30.9815854; -4.3490300
193.9216854; -141.5478511; -6.6064969; 1.8953583; 0.0087430; 30.6996667; -3.1816207
195.9208780; -143.4364609; -7.2613435; 1.9142145; 0.0101097; 30.4917725; -1.9437404
197.9200707; -145.3120624; -7.9544551; 1.9358014; 0.0115323; 30.3640637; -0.7712758
199.9192633; -147.1715598; -8.6908144; 1.9603767; 0.0128448; 30.3132398; -0.5728762
201.9184559; -149.0112388; -9.4740416; 1.9862949; 0.0130918; 30.2754344; -0.5728762
203.9176486; -150.8294766; -10.3045680; 2.0120951; 0.0126800; 30.2375817; -0.1648788
205.9168412; -152.6263036; -11.1810614; 2.0370646; 0.0123279; 30.2266786; 0.1655585
207.9160338; -154.4011021; -12.1016394; 2.0614005; 0.0119962; 30.2376267; 0.4602225
209.9152265; -156.1532759; -13.0644951; 2.0850226; 0.0116330; 30.2680395; 0.7697523
211.9144191; -157.8824372; -14.0677473; 2.1079088; 0.0112670; 30.3188387; 1.0685164
213.9136117; -159.5888102; -15.1098244; 2.1300505; 0.0108818; 30.3892139; 1.3733786
215.9128044; -161.2721413; -16.1887999; 2.1514216; 0.0104898; 30.4794294; 1.6744311
217.9119970; -162.9323310; -17.3027489; 2.1719995; 0.0100897; 30.5890608; 1.9743846
219.9111896; -164.5694358; -18.4497611; 2.1917611; 0.0096803; 30.7178285; 2.2760634
221.9103823; -166.1839679; -19.6281739; 2.2106887; 0.0092594; 30.8656049; 2.5832766
223.9095749; -167.7771624; -20.8368326; 2.2287729; 0.0088260; 31.0324749; 2.8985861
225.9087675; -169.3485551; -22.0732420; 2.2459824; 0.0083851; 31.2186509; 3.2187421
227.9079602; -170.8987040; -23.3355774; 2.2622994; 0.0079386; 31.4240980; 3.5436419
229.9071528; -172.4283782; -24.6221390; 2.2777147; 0.0074855; 31.6487406; 3.8762256
231.9063454; -173.9384706; -25.9312982; 2.2922184; 0.0070274; 31.8926547; 4.2164743
233.9055381; -175.4306722; -27.2621339; 2.3058229; 0.0065738; 32.1558784; 4.5564818
235.9047307; -176.9045966; -28.6122383; 2.3190225; 0.0067636; 32.4379266; 4.2256087
237.9039233; -178.3600979; -29.9820976; 2.3328687; 0.0070871; 32.6973194; 3.7548926
239.9031160; -179.7962907; -31.3726696; 2.3473531; 0.0074141; 32.9261021; 1.2020686
241.9023086; -181.2119356; -32.7846028; 2.3625263; 0.0077641; 32.9990081; -3.9497227
243.9015012; -182.6053918; -34.2182488; 2.3784133; 0.0081266; 32.7588465; -3.6655163
245.9006939; -183.9749639; -35.6739143; 2.3950274; 0.0084990; 32.5343799; -3.3799528
247.8998865; -185.3197930; -37.1528353; 2.4123898; 0.0088741; 32.3260193; -3.0925269
249.8990791; -186.6383882; -38.6556224; 2.4305083; 0.0092512; 32.1341938; -2.8023532
251.8982718; -187.9291442; -40.1827583; 2.4493860; 0.0096299; 31.9593730; -2.5088452
