# 55f7f7ff-ee38-41df-9f54-47b2d230520d
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.2183872; 0.4507418; 1.5857038; -0.0011203; 45.5988436; 3.5405816
1.9991133; -3.2173940; 0.4230897; 1.5835973; -0.0009873; 45.7538040; 3.5162380
3.9982266; -5.2164552; 0.3993829; 1.5817569; -0.0008534; 45.9071813; 3.4921136
5.9973399; -7.2154481; 0.3790875; 1.5801855; -0.0007189; 46.0590009; 3.4682052
7.9964532; -9.2144388; 0.3616652; 1.5788826; -0.0005845; 46.2092873; 3.4445099
9.9955665; -11.2133961; 0.3465787; 1.5778491; -0.0004496; 46.3580647; 3.4210247
11.9946798; -13.2125898; 0.3332871; 1.5770853; -0.0003144; 46.5053566; 3.3977467
13.9937931; -15.2117448; 0.3212524; 1.5765922; -0.0001789; 46.6511860; 3.3746732
15.9929064; -17.2108394; 0.3099327; 1.5763705; -0.0000428; 46.7955752; 3.3518013
17.9920197; -19.2098496; 0.2987846; 1.5764212; 0.0000937; 46.9385462; 3.3291284
19.9911330; -21.2087967; 0.2872621; 1.5767455; 0.0002309; 47.0801204; 3.3066519
21.9902463; -23.2080482; 0.2748146; 1.5773452; 0.0003691; 47.2203185; 3.2843691
23.9893596; -25.2072173; 0.2608921; 1.5782216; 0.0005077; 47.3591610; 3.2622776
25.9884729; -27.2062644; 0.2449412; 1.5793761; 0.0006481; 47.4966678; 3.2403748
27.9875862; -29.2051965; 0.2264006; 1.5808137; 0.0007889; 47.6328585; 3.2186584
29.9866995; -31.2040036; 0.2047108; 1.5825260; 0.0009245; 47.7677520; 3.1971260
31.9858128; -33.2031268; 0.1793042; 1.5845380; 0.0010886; 47.9013671; 3.1757752
33.9849261; -35.2018894; 0.1496090; 1.5867618; 0.0010954; 48.0337219; 3.1537607
35.9840394; -37.2005775; 0.1155449; 1.5888891; 0.0010202; 48.1647992; 3.1294952
37.9831527; -39.1993454; 0.0774057; 1.5908288; 0.0009227; 48.2945164; 3.1054602
39.9822660; -41.1980736; 0.0355753; 1.5925855; 0.0008346; 48.4228939; 3.0816529
41.9813793; -43.1966131; -0.0095852; 1.5941625; 0.0007431; 48.5499516; 3.0580699
43.9804926; -45.1950949; -0.0577150; 1.5955571; 0.0006524; 48.6757091; 3.0347085
45.9796059; -47.1935494; -0.1084521; 1.5967708; 0.0005618; 48.8001855; 3.0115655
47.9787192; -49.1919922; -0.1614349; 1.5978034; 0.0004713; 48.9233996; 2.9886382
49.9778325; -51.1904389; -0.2163024; 1.5986555; 0.0003823; 49.0453696; -10.4625728
51.9769458; -53.1886818; -0.2727181; 1.5993714; 0.0003340; 48.6170396; -12.4229876
53.9760591; -55.1868931; -0.3305324; 1.6001136; 0.0004422; 48.1034991; -11.8625112
55.9751725; -57.1850979; -0.3901336; 1.6011983; 0.0006857; 47.6079575; -11.1283068
57.9742858; -59.1832693; -0.4524868; 1.6028940; 0.0010173; 47.1383509; -10.3737863
59.9733991; -61.1813946; -0.5189138; 1.6052812; 0.0013708; 46.6963315; -9.6403275
61.9725124; -63.1791325; -0.5908107; 1.6083772; 0.0017266; 46.2817800; -8.9527931
63.9716257; -65.1764909; -0.6695934; 1.6121762; 0.0020718; 45.8934403; -8.6490210
65.9707390; -67.1734729; -0.7566108; 1.6165649; 0.0022426; 45.5151307; -8.6400215
67.9698523; -69.1704027; -0.8525764; 1.6210772; 0.0022744; 45.1340487; -8.6086926
69.9689656; -71.1671186; -0.9576390; 1.6256686; 0.0023184; 44.7511212; -8.5855530
71.9680789; -73.1627513; -1.0719199; 1.6303439; 0.0023597; 44.3659313; -8.5620874
73.9671922; -75.1579394; -1.1956205; 1.6351035; 0.0024025; 43.9784345; -8.5400028
75.9663055; -77.1526753; -1.3289138; 1.6399503; 0.0024461; 43.5885057; -8.5203416
77.9654188; -79.1468071; -1.4719657; 1.6448845; 0.0024899; 43.1959671; -8.5031475
79.9645321; -81.1401942; -1.6249418; 1.6499061; 0.0025339; 42.8006316; -8.4901221
81.9636454; -83.1325738; -1.7879957; 1.6550145; 0.0025772; 42.4022244; -8.4802358
83.9627587; -85.1241865; -1.9613206; 1.6602099; 0.0026203; 42.0005087; -8.4734873
85.9618720; -87.1148875; -2.1450783; 1.6654915; 0.0026633; 41.5952378; -8.4696521
87.9609853; -89.1045469; -2.3394291; 1.6708586; 0.0027062; 41.1861654; -8.4684484
89.9600986; -91.0930864; -2.5445370; 1.6763115; 0.0027493; 40.7730480; -8.4684250
91.9592119; -93.0805392; -2.7605783; 1.6818503; 0.0027918; 40.3557029; -8.4671756
93.9583252; -95.0667083; -2.9877053; 1.6874782; 0.0028403; 39.9340591; -8.4670630
95.9574385; -97.0515339; -3.2261020; 1.6932021; 0.0028803; 39.5079212; -8.4425033
97.9565518; -99.0349745; -3.4759243; 1.6989953; 0.0029545; 39.0783930; -8.0735172
99.9556651; -101.0168756; -3.7375548; 1.7051983; 0.0032517; 38.6631743; -7.6366099
101.9547784; -102.9971101; -4.0121050; 1.7120474; 0.0036048; 38.2662795; -7.2238749
103.9538917; -104.9752461; -4.3009057; 1.7196048; 0.0039523; 37.8870091; -6.8305647
105.9530050; -106.9510117; -4.6053221; 1.7278484; 0.0042962; 37.5248626; -6.4458700
107.9521183; -108.9240768; -4.9266944; 1.7367835; 0.0046429; 37.1798771; -6.0736362
109.9512316; -110.8941091; -5.2663715; 1.7464109; 0.0049888; 36.8518587; -5.7103937
111.9503449; -112.8606764; -5.6256831; 1.7567307; 0.0053355; 36.5407723; -5.3550149
113.9494582; -114.8232779; -6.0059459; 1.7677439; 0.0056828; 36.2466203; -5.0059068
115.9485715; -116.7814209; -6.4084775; 1.7794520; 0.0060308; 35.9694694; -4.6613391
