# bd07289f-676e-4cb1-84d1-0eb8b0e78198
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
376.0045938; 9.3378029; 7.1222638; 6.9700007; 0.2983332; -0.9544618; -4.6971686; 0.0000000; -1.2765706; 0.0028030; 40.4414532; 4.0667692
378.3824154; 10.0957710; 7.2566517; 6.9342323; 0.3090003; -0.9510619; -4.6706725; 2.4434138; -1.2707869; 0.0029781; 40.6420275; 4.0515903
380.7524178; 10.8799690; 7.3901107; 6.8958565; 0.3191863; -0.9476920; -4.6353301; 4.8901245; -1.2646797; 0.0031303; 40.8408738; 4.0364925
383.1147682; 11.6892419; 7.5215161; 6.8559008; 0.3288955; -0.9443663; -4.5934195; 7.3402533; -1.2515362; 0.0034429; 41.2334972; 4.0065368
385.4696338; 12.5224348; 7.6499617; 6.8152761; 0.3381324; -0.9410985; -4.5472441; 9.7938334; -1.2444969; 0.0035973; 41.4273302; 3.9916769
387.8171815; 13.3783926; 7.7746761; 6.7749954; 0.3469018; -0.9379014; -4.4991080; 12.2508205; -1.2371502; 0.0037512; 41.6195466; 3.9768947
390.1575785; 14.2559604; 7.8942319; 6.7361343; 0.3552088; -0.9347870; -4.4513197; 14.7111063; -1.2294977; 0.0039037; 41.8101724; 3.9621891
392.4909920; 15.1539832; 8.0076078; 6.6996474; 0.3630586; -0.9317663; -4.4061870; 17.1745308; -1.2132805; 0.0042059; 42.1771153; 3.4062643
394.8175889; 16.0713060; 8.1142820; 6.6665789; 0.3704564; -0.9288498; -4.3660159; 19.6408962; -1.2047202; 0.0043556; 42.3382915; 3.0721724
397.1375364; 17.0067738; 8.2125527; 6.6381268; 0.3774079; -0.9260471; -4.3331071; 22.1099765; -1.1958624; 0.0045039; 42.4831347; 2.7432064
399.4510017; 17.9592317; 8.2779129; 6.6149580; 0.3839170; -0.9233676; -4.3097540; 24.5815390; -1.1867096; 0.0046518; 42.6120522; 2.4183918
401.7581517; 18.9275246; 8.3336326; 6.5983787; 0.3899932; -0.9208178; -4.2982400; 27.0553243; -1.1675274; 0.0049449; 42.8237425; 1.7854514
404.0591536; 19.9104975; 8.3793493; 6.5893803; 0.3956254; -0.9184120; -4.3008361; 29.5311767; -1.1574866; 0.0050864; 42.9070281; 1.4851734
406.3541735; 20.9069984; 8.4140994; 6.5892215; 0.4008802; -0.9161305; -4.3197907; 32.0085989; -1.1472141; 0.0051909; 42.9761837; 1.2583126
408.6431658; 21.9164548; 8.4373757; 6.5986171; 0.4062095; -0.9137800; -4.3561190; 34.4853106; -1.1369831; 0.0050412; 43.0346887; 1.5063108
410.9256145; 22.9395827; 8.4500606; 6.6169526; 0.4119337; -0.9112138; -4.4081150; 36.9596529; -1.1270345; 0.0049133; 43.1046200; 1.7098082
413.2009404; 23.9772715; 8.4538461; 6.6427547; 0.4180185; -0.9084385; -4.4737062; 39.4316166; -1.1078956; 0.0046570; 43.2721797; 2.1095960
415.4685644; 25.0304105; 8.4486108; 6.6767281; 0.4244692; -0.9054424; -4.5508160; 41.9009814; -1.0987133; 0.0045283; 43.3695509; 2.3069808
417.7279071; 26.0998891; 8.4361382; 6.7169048; 0.4312804; -0.9022180; -4.6373697; 44.3675722; -1.0897873; 0.0043993; 43.4757830; 2.5034263
419.9783894; 27.1865966; 8.4170159; 6.7630220; 0.4384487; -0.8987562; -4.7312957; 46.8312027; -1.0811192; 0.0042701; 43.5907682; 2.6985397
422.2194321; 28.2914224; 8.3933367; 6.8134168; 0.4459696; -0.8950481; -4.8305281; 49.2917038; -1.0645595; 0.0040116; 43.8464880; 3.0860822
424.4504559; 29.4152559; 8.3657440; 6.8675222; 0.4538383; -0.8910840; -4.9330089; 51.7489284; -1.0566685; 0.0038821; 43.9869975; 3.2794175
426.6708816; 30.5589863; 8.3353852; 6.9245892; 0.4620489; -0.8868544; -5.0366908; 54.2027657; -1.0490350; 0.0037532; 44.1358193; 3.4714582
428.8801300; 31.7235030; 8.3030689; 6.9838467; 0.4705964; -0.8823486; -5.1395398; 56.6531405; -1.0416601; 0.0036224; 44.2928113; 3.6671917
431.0776219; 32.9096955; 8.2703219; 7.0441303; 0.4794690; -0.8775588; -5.2395367; 59.1000655; -1.0276828; 0.0033632; 44.6249982; 3.6928811
433.2627781; 34.1184530; 8.2380067; 7.1049022; 0.4886760; -0.8724654; -5.3346818; 61.5434900; -1.0210998; 0.0032344; 44.7901611; 3.6671348
435.4350237; 35.3506523; 8.2075034; 7.1649818; 0.4981323; -0.8671010; -5.4230220; 63.9840073; -1.0147095; 0.0031567; 44.9535720; 3.6416280
437.5939524; 36.6066887; 8.1788868; 7.2245111; 0.5075831; -0.8616028; -5.5035979; 66.4233298; -1.0083491; 0.0032046; 45.1152606; 3.6163572
439.7393748; 37.8863371; 8.1522311; 7.2837121; 0.5169062; -0.8560420; -5.5767135; 68.8623577; -1.0019054; 0.0032380; 45.2752557; 3.5913189
441.8711158; 39.1893314; 8.1276375; 7.3427493; 0.5261234; -0.8504082; -5.6427493; 71.3010812; -0.9888354; 0.0032942; 45.5902774; 3.5419264
443.9890005; 40.5154058; 8.1047870; 7.4021989; 0.5352301; -0.8447063; -5.7020524; 73.7396436; -0.9822330; 0.0033094; 45.7453580; 3.5175656
446.0928538; 41.8642943; 8.0837258; 7.4623278; 0.5442288; -0.8389368; -5.7548878; 76.1781286; -0.9756034; 0.0033217; 45.8988535; 3.4934242
448.1825006; 43.2357308; 8.0640971; 7.5233260; 0.5531201; -0.8331015; -5.8014842; 78.6166214; -0.9689491; 0.0033341; 46.0507891; 3.4694991
450.2577658; 44.6294493; 8.0458502; 7.5630389; 0.5619051; -0.8272017; -5.8420633; 81.0551936; -0.9555656; 0.0033592; 46.3500792; 3.4222859
452.3184745; 46.0451840; 8.0288433; 7.6039455; 0.5705850; -0.8212386; -5.8768444; 83.4939085; -0.9488361; 0.0033719; 46.4974815; 3.3586850
454.3644516; 47.4826687; 8.0131049; 7.6475580; 0.5791608; -0.8152133; -5.9060439; 85.9328200; -0.9420812; 0.0033846; 46.6416914; 3.2774328
456.3955220; 48.9416375; 7.9987937; 7.6938463; 0.5876336; -0.8091271; -5.9298752; 88.3719732; -0.9353010; 0.0033972; 46.7819842; 3.1971145
458.4115108; 50.4218244; 7.9846307; 7.7434393; 0.5960047; -0.8029810; -5.9485485; 90.8114051; -0.9284955; 0.0034099; 46.9184346; 3.1177965
460.4122427; 51.9229634; 7.9743321; 7.7911663; 0.6042751; -0.7967758; -5.9622701; 93.2511442; -0.9148085; 0.0034352; 47.1801115; 2.9622431
462.3975429; 53.4447886; 7.9645406; 7.8395043; 0.6124460; -0.7905124; -5.9712427; 95.6912114; -0.9079272; 0.0034477; 47.3054872; 2.8860455
464.3672362; 54.9870339; 7.9558499; 7.8867433; 0.6205187; -0.7841917; -5.9756650; 98.1316203; -0.9010209; 0.0034602; 47.4273192; 2.8109731
466.3211476; 56.5494334; 7.9496740; 7.9300728; 0.6284941; -0.7778143; -5.9757311; 100.5723771; -0.8940899; 0.0034725; 47.5456819; 2.7371283
468.2591020; 58.1317210; 7.9448814; 7.9696211; 0.6363737; -0.7713809; -5.9716309; 103.0134815; -0.8801540; 0.0034969; 47.7723047; 2.5929340
470.1809245; 59.7336308; 7.9419247; 8.0037873; 0.6441584; -0.7648921; -5.9635494; 105.4549266; -0.8731496; 0.0035090; 47.8807102; 2.5226056
472.0864400; 61.3548968; 7.9406382; 8.0315132; 0.6518495; -0.7583483; -5.9516666; 107.8966993; -0.8661213; 0.0035209; 47.9859403; 2.4534689
473.9754733; 62.9952530; 7.9307559; 8.0510970; 0.6594482; -0.7517500; -5.9361573; 110.3387809; -0.8590696; 0.0035326; 48.0880655; 2.3857646
475.8478496; 64.6544335; 7.9104447; 8.0616320; 0.6669556; -0.7450975; -5.9171912; 112.7811469; -0.8519946; 0.0035441; 48.1871650; 2.3193578
477.7033936; 66.3321721; 7.8911857; 8.0619411; 0.6743727; -0.7383911; -5.8949321; 115.2237677; -0.8377761; 0.0035666; 48.3765736; 2.1903300
479.5419304; 68.0282030; 7.8744563; 8.0506634; 0.6817009; -0.7316310; -5.8695383; 117.6666090; -0.8306334; 0.0035777; 48.4670212; 2.1276827
481.3632850; 69.7422601; 7.8607378; 8.0262096; 0.6889411; -0.7248173; -5.8411620; 120.1096311; -0.8234690; 0.0035884; 48.5547204; 2.0665946
483.1672822; 71.4740775; 7.8492088; 7.9883740; 0.6960943; -0.7179504; -5.8099494; 122.5527927; -0.8162832; 0.0035991; 48.6397504; 2.0064550
484.9537471; 73.2233892; 7.8407212; 7.9350974; 0.7031624; -0.7110293; -5.7760404; 124.9960386; -0.8018483; 0.0036236; 48.8020929; 1.8814383
486.7225185; 74.9899328; 7.8353140; 7.8652956; 0.7101368; -0.7040637; -5.7395829; 127.4394088; -0.7945830; 0.0036440; 48.8791189; 1.8006956
488.4735358; 76.7734719; 7.8330289; 7.7778031; 0.7170051; -0.6970680; -5.7008242; 129.8830597; -0.7872742; 0.0036664; 48.9527257; 1.7162096
490.2067830; 78.5737819; 7.8337863; 7.6716497; 0.7237659; -0.6900456; -5.6600609; 132.3270872; -0.7799206; 0.0036890; 49.0227762; 1.6324023
491.9222439; 80.3906379; 7.8380443; 7.5453879; 0.7304204; -0.6829979; -5.6175956; 134.7715614; -0.7725212; 0.0037124; 49.0893132; 1.5480050
493.6199027; 82.2238152; 7.8450790; 7.3981342; 0.7369691; -0.6759264; -5.5737367; 137.2165484; -0.7575800; 0.0037598; 49.2118277; 1.3809653
495.2997433; 84.0730890; 7.8554963; 7.2287952; 0.7434128; -0.6688328; -5.5287952; 139.6621052; -0.7500397; 0.0037812; 49.2679059; 1.3047333
496.9617496; 85.9382347; 7.8693404; 7.4626477; 0.7497522; -0.6617186; -5.4830663; 142.1082817; -0.7424643; 0.0037959; 49.3208299; 1.2458890
498.6059058; 87.8190274; 7.8865904; 8.3933723; 0.7559882; -0.6545853; -5.4368032; 144.5551214; -0.7348609; 0.0038093; 49.3713141; 1.1913871
500.2321959; 89.7152424; 7.9073011; 9.8638913; 0.7621214; -0.6474341; -5.3902427; 147.0026615; -0.7195729; 0.0038369; 49.4655229; 1.0823391
501.8406037; 91.6266549; 7.9315015; 11.6740661; 0.7681528; -0.6402666; -5.3436231; 149.4509329; -0.7118863; 0.0038514; 49.5092547; 1.0274888
503.4311134; 93.5530403; 7.9592659; 11.2677187; 0.7740833; -0.6330838; -5.2971866; 151.8999601; -0.7041701; 0.0038664; 49.5507345; 0.9724659
505.0037090; 95.4941736; 7.9907393; 9.5986740; 0.7799137; -0.6258871; -5.2511786; 154.3497618; -0.6964240; 0.0038817; 49.5899611; 0.9171782
506.5583744; 97.4498303; 8.0257757; 8.0932877; 0.7856449; -0.6186777; -5.2058481; 156.8003506; -0.6886468; 0.0038975; 49.6269291; 0.8618255
