# 840226e6-e74d-4017-ae07-5b68776edacf
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.3633136; 7.9541429; 1.5904018; -0.0003485; 46.2908037; 3.4316456
1.9961926; -3.3594325; 7.9156460; 1.5897837; -0.0002708; 46.4385503; 3.4083081
3.9923851; -5.3555574; 7.8782284; 1.5893206; -0.0001930; 46.5848284; 3.3851758
5.9885777; -7.3513620; 7.8415858; 1.5890138; -0.0001145; 46.7296604; 3.3622457
7.9847702; -9.3470313; 7.8054015; 1.5888639; -0.0000355; 46.8730684; 3.3395153
9.9809628; -11.3426557; 7.7693593; 1.5888727; 0.0000444; 47.0150739; 3.3169819
11.9771554; -13.3388889; 7.7331286; 1.5890419; 0.0001252; 47.1556978; 3.2946428
13.9733479; -15.3349251; 7.6964020; 1.5893733; 0.0002070; 47.2949609; 3.2724956
15.9695405; -17.3307361; 7.6588544; 1.5898689; 0.0002898; 47.4328829; 3.2505377
17.9657331; -19.3262979; 7.6201566; 1.5905307; 0.0003737; 47.5694837; 3.2287668
19.9619256; -21.3218549; 7.5799695; 1.5913613; 0.0004588; 47.7047824; 3.2071803
21.9581182; -23.3180103; 7.5379407; 1.5923637; 0.0005455; 47.8387977; 3.1857761
23.9543107; -25.3139185; 7.4937423; 1.5935400; 0.0006332; 47.9715479; 3.1645518
25.9505033; -27.3095147; 7.4470247; 1.5948990; 0.0007367; 48.1030510; 3.1409289
27.9466959; -29.3048516; 7.3973724; 1.5964979; 0.0008888; 48.2332180; 3.1168207
29.9428884; -31.2999474; 7.3441384; 1.5985351; 0.0011535; 48.3620395; 3.0929408
31.9390810; -33.2956521; 7.2862010; 1.6012392; 0.0015584; 48.4895357; 3.0692861
33.9352735; -35.2904011; 7.2221388; 1.6046383; 0.0018062; 48.6157263; 3.0458537
35.9314661; -37.2849450; 7.1508946; 1.6084177; 0.0019710; 48.7406306; 3.0226405
37.9276587; -39.2796542; 7.0717886; 1.6124981; 0.0021192; 48.8642672; 2.9996437
39.9238512; -41.2741470; 6.9842358; 1.6168845; 0.0022745; 48.9866548; 2.9768604
41.9200438; -43.2678046; 6.8876518; 1.6215733; 0.0024233; 49.1078112; 2.9542879
43.9162364; -45.2609201; 6.7814284; 1.6265585; 0.0025720; 49.2277541; 1.1365056
45.9124289; -47.2536030; 6.6649666; 1.6318397; 0.0027194; 49.2738180; -6.6202633
47.9086215; -49.2458162; 6.5376782; 1.6374138; 0.0028652; 49.0048824; -6.3328020
49.9048140; -51.2375219; 6.3989792; 1.6432791; 0.0030100; 48.7462359; -6.0511383
51.9010066; -53.2278678; 6.2483517; 1.6494316; 0.0031542; 48.4978045; -5.7748561
53.8971992; -55.2170018; 6.0852151; 1.6558704; 0.0032979; 48.2595233; -5.5023219
55.8933917; -57.2052482; 5.9089689; 1.6625959; 0.0034415; 48.0313877; -5.2352466
57.8895843; -59.1925147; 5.7190424; 1.6696089; 0.0035841; 47.8133149; -4.9752557
59.8857769; -61.1787332; 5.5148646; 1.6769050; 0.0037247; 47.6051462; -4.6869652
61.8819694; -63.1626501; 5.2959959; 1.6844933; 0.0038788; 47.4082037; -4.4925349
63.8781620; -65.1444590; 5.0618349; 1.6923555; 0.0039922; 47.2186599; -4.4921261
65.8743545; -67.1245682; 4.8118843; 1.7003735; 0.0040059; 47.0283696; -4.5205316
67.8705471; -69.1033838; 4.5460137; 1.7083216; 0.0039667; 46.8360956; -4.6687836
69.8667397; -71.0805817; 4.2643832; 1.7162477; 0.0039717; 46.6366837; -4.7200511
