# 08376ea0-84a5-4bba-85c6-ba87e062bb6c
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-1.1550421; -2.9987694; 5.7487714; 2.3200669; -0.0183604; 0.9998314; 3.4500928; 0.0000000; 1.5857038; -0.0011203; 45.5988436; 3.5405816
-3.6535274; -3.0489189; 5.7485626; 2.3195046; -0.0216895; 0.9997648; 3.4664060; 2.5105566; 1.5835973; -0.0009873; 45.7538040; 3.5162380
-6.1520952; -3.1067500; 5.7544144; 2.3129624; -0.0245037; 0.9996997; 3.4964213; 5.0197724; 1.5801855; -0.0007189; 46.0590009; 3.4682052
-8.6507183; -3.1709769; 5.7648047; 2.3017304; -0.0268034; 0.9996407; 3.5377703; 7.5276513; 1.5788826; -0.0005845; 46.2092873; 3.4445099
-11.1493693; -3.2403138; 5.7785894; 2.2870860; -0.0285890; 0.9995913; 3.5880875; 10.0341315; 1.5778491; -0.0004496; 46.3580647; 3.4210247
-13.6480208; -3.3134747; 5.7947634; 2.2701912; -0.0298606; 0.9995541; 3.6450090; 12.5390993; 1.5770853; -0.0003144; 46.5053566; 3.3977467
-16.1466453; -3.3891738; 5.8120557; 2.2522716; -0.0306186; 0.9995311; 3.7061728; 15.0424023; 1.5763705; -0.0000428; 46.7955752; 3.3518013
-18.6452155; -3.4661253; 5.8291988; 2.2345573; -0.0308630; 0.9995236; 3.7692187; 17.5438631; 1.5764212; 0.0000937; 46.9385462; 3.3291284
-21.1437041; -3.5430433; 5.8449404; 2.2182740; -0.0305939; 0.9995319; 3.8317886; 20.0432926; 1.5767455; 0.0002309; 47.0801204; 3.3066519
-23.6420835; -3.6186420; 5.8580570; 2.2046387; -0.0298109; 0.9995556; 3.8915262; 22.5405028; 1.5773452; 0.0003691; 47.2203185; 3.2843691
-26.1403265; -3.6916355; 5.8673501; 2.1948614; -0.0285145; 0.9995934; 3.9460772; 25.0353237; 1.5793761; 0.0006481; 47.4966678; 3.2403748
-28.6384057; -3.7607380; 5.8715047; 2.1902641; -0.0267023; 0.9996434; 3.9930898; 27.5276036; 1.5808137; 0.0007889; 47.6328585; 3.2186584
-31.1362936; -3.8246635; 5.8695166; 2.1918700; -0.0243816; 0.9997027; 4.0302136; 30.0172720; 1.5825260; 0.0009245; 47.7677520; 3.1971260
-33.6339628; -3.8821263; 5.8599174; 2.2011579; -0.0215231; 0.9997684; 4.0551016; 32.5041675; 1.5845380; 0.0010886; 47.9013671; 3.1757752
-36.1313939; -3.9319884; 5.8418317; 2.2190168; -0.0184112; 0.9998305; 4.0657017; 34.9894817; 1.5888891; 0.0010202; 48.1647992; 3.1294952
-38.6286262; -3.9742219; 5.8153733; 2.2453505; -0.0154450; 0.9998807; 4.0621695; 37.4750178; 1.5908288; 0.0009227; 48.2945164; 3.1054602
-41.1257259; -4.0093037; 5.7809649; 2.2797449; -0.0126806; 0.9999196; 4.0456627; 39.9612115; 1.5925855; 0.0008346; 48.4228939; 3.0816529
