# 754559a0-bf74-4d98-bf5c-ddee4b6770f7
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.2708667; 2.6681960; 1.5876806; -0.0008316; 46.2387160; 3.4398666
1.9997372; -3.2705321; 2.6360203; 1.5861265; -0.0007229; 46.3872452; 3.4164152
3.9994743; -5.2702117; 2.6067357; 1.5847900; -0.0006132; 46.5342925; 3.3931705
5.9992115; -7.2697339; 2.5799055; 1.5836746; -0.0005025; 46.6798809; 3.3701299
7.9989487; -9.2692110; 2.5550853; 1.5827804; -0.0003916; 46.8240326; 3.3472905
9.9986858; -11.2686311; 2.5318315; 1.5821090; -0.0002798; 46.9667694; 3.3246497
11.9984230; -13.2684562; 2.5096919; 1.5816617; -0.0001674; 47.1081127; 3.3022048
13.9981602; -15.2681861; 2.4882227; 1.5814398; -0.0000543; 47.2480832; 3.2799533
15.9978974; -17.2678088; 2.4669718; 1.5814449; 0.0000595; 47.3867012; 3.2578927
17.9976345; -19.2673121; 2.4454841; 1.5816782; 0.0001740; 47.5239867; 3.2360205
19.9973717; -21.2667285; 2.4233011; 1.5821414; 0.0002894; 47.6599590; 3.2143343
21.9971089; -23.2665591; 2.3999557; 1.5828365; 0.0004058; 47.7946371; 3.1928317
23.9968460; -25.2662620; 2.3749883; 1.5837648; 0.0005226; 47.9280397; 3.1715104
25.9965832; -27.2658023; 2.3479324; 1.5849279; 0.0006413; 48.0601848; 3.1488636
27.9963204; -29.2652114; 2.3183133; 1.5863303; 0.0007601; 48.1910278; 3.1246371
29.9960575; -31.2644371; 2.2856595; 1.5879638; 0.0008742; 48.3205139; 3.1006407
31.9957947; -33.2640231; 2.2494856; 1.5898532; 0.0010150; 48.4486635; 3.0768714
33.9955319; -35.2631565; 2.2093217; 1.5919036; 0.0009990; 48.5754966; 3.0533261
35.9952691; -37.2622302; 2.1651714; 1.5938221; 0.0009078; 48.7010325; 3.0300018
37.9950062; -39.2614538; 2.1173898; 1.5955245; 0.0007975; 48.8252904; 3.0068956
39.9947434; -41.2606476; 2.0664155; 1.5970182; 0.0006967; 48.9482889; 2.9840045
41.9944806; -43.2595848; 2.0126578; 1.5983161; 0.0006014; 49.0700462; 2.9613258
43.9942177; -45.2584489; 1.9564638; 1.5994840; 0.0005813; 49.1905802; 2.9388567
45.9939549; -47.2573052; 1.8979167; 1.6007173; 0.0007086; 49.3099083; -3.9534217
47.9936921; -49.2561388; 1.8365218; 1.6023668; 0.0009531; 49.1493179; -10.5539959
