# 6c7f5983-e155-47ed-bf91-1a025c65cdfe
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-304.1706024; -1859.9371098; 6.3991551; 7.7218973; -0.9998514; -0.0172394; 3.7667388; 0.0000000; -3.1265644; -0.0000384; 62.0011509; 0.1306482
-304.1188670; -1862.9366381; 6.3969529; 7.7240182; -0.9998512; -0.0172510; 3.7735653; 3.0000256; -3.1267177; -0.0000383; 62.0095563; 0.1292963
-304.0670987; -1865.9361664; 6.3948413; 7.7260639; -0.9998510; -0.0172614; 3.7807693; 6.0000486; -3.1267942; -0.0000382; 62.0137259; 0.1286256
-304.0153008; -1868.9356941; 6.3929137; 7.7279541; -0.9998509; -0.0172707; 3.7883470; 9.0000684; -3.1269469; -0.0000381; 62.0219995; 0.1272948
-303.9634766; -1871.9352209; 6.3911990; 7.7296740; -0.9998507; -0.0172789; 3.7962944; 12.0000846; -3.1270231; -0.0000381; 62.0261037; 0.1266346
-303.9116293; -1874.9347463; 6.3897685; 7.7311655; -0.9998506; -0.0172860; 3.8046075; 15.0000966; -3.1271752; -0.0000380; 62.0342476; 0.1253244
-303.8597623; -1877.9342699; 6.3888623; 7.7322121; -0.9998505; -0.0172921; 3.8132823; 18.0001042; -3.1272511; -0.0000379; 62.0382875; 0.1246745
-303.8078789; -1880.9337913; 6.3882112; 7.7330540; -0.9998504; -0.0172970; 3.8223148; 21.0001067; -3.1274025; -0.0000378; 62.0463037; 0.1233848
-303.7559823; -1883.9333099; 6.3877141; 7.7337069; -0.9998503; -0.0173009; 3.8317011; 24.0001037; -3.1274781; -0.0000378; 62.0502803; 0.1227450
-303.7040759; -1886.9328255; 6.3871442; 7.7342971; -0.9998503; -0.0173036; 3.8414372; 27.0000948; -3.1276289; -0.0000377; 62.0581710; 0.1214754
-303.6521628; -1889.9323375; 6.3862734; 7.7349526; -0.9998503; -0.0173053; 3.8515190; 30.0000794; -3.1277042; -0.0000376; 62.0620854; 0.1208455
-303.6002465; -1892.9318456; 6.3848496; 7.7358029; -0.9998502; -0.0173059; 3.8619428; 33.0000570; -3.1278544; -0.0000375; 62.0698525; 0.1195957
-303.5483302; -1895.9313492; 6.3832368; 7.7366900; -0.9998503; -0.0173054; 3.8727044; 36.0000272; -3.1279294; -0.0000375; 62.0737055; 0.1189756
-303.4964171; -1898.9308481; 6.3817772; 7.7375834; -0.9998503; -0.0173038; 3.8837998; 38.9999895; -3.1280790; -0.0000374; 62.0813510; 0.1177452
-303.4445106; -1901.9303417; 6.3806670; 7.7386021; -0.9998503; -0.0173011; 3.8952252; 41.9999434; -3.1281536; -0.0000373; 62.0851437; 0.1171349
-303.3926139; -1904.9298295; 6.3804500; 7.7395172; -0.9998504; -0.0172973; 3.9069765; 44.9998885; -3.1283026; -0.0000372; 62.0926696; 0.1159236
-303.3407304; -1907.9293113; 6.3817757; 7.7401456; -0.9998505; -0.0172924; 3.9190498; 47.9998241; -3.1283770; -0.0000371; 62.0964029; 0.1153227
-303.2888634; -1910.9287865; 6.3842214; 7.7405264; -0.9998506; -0.0172864; 3.9314410; 50.9997498; -3.1285253; -0.0000370; 62.1038110; 0.1141303
-303.2370160; -1913.9282548; 6.3865969; 7.7409584; -0.9998507; -0.0172793; 3.9441462; 53.9996652; -3.1285994; -0.0000370; 62.1074859; 0.1135388
-303.1851916; -1916.9277156; 6.3882987; 7.7410958; -0.9998508; -0.0172711; 3.9571615; 56.9995696; -3.1287471; -0.0000369; 62.1147781; 0.1123650
-303.1333936; -1919.9271686; 6.3878804; 7.7414338; -0.9998510; -0.0172619; 3.9704828; 59.9994627; -3.1288209; -0.0000368; 62.1183956; 0.1117826
-303.0816251; -1922.9266133; 6.3841908; 7.7416253; -0.9998512; -0.0172515; 3.9841061; 62.9993438; -3.1289680; -0.0000367; 62.1255737; 0.1106270
