# 983c176b-eac1-4ab8-b0bc-e408ec643fcc
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
376.0045938; 9.3378029; 7.1222638; 6.9700007; 0.2983330; -0.9544618; -4.7086052; 0.0000000; -1.2767161; 0.0027836; 40.4787287; 4.0639521
378.8559879; 10.2502061; 7.2832860; 6.9265781; 0.3110713; -0.9503866; -4.6751851; 2.9312616; -1.2709697; 0.0029612; 40.6789803; 4.0487883
381.6961787; 11.2000209; 7.4425615; 6.8799131; 0.3231183; -0.9463586; -4.6295580; 5.8673277; -1.2585032; 0.0032719; 41.0743442; 4.0187028
384.5254547; 12.1852537; 7.5984206; 6.8315815; 0.3344819; -0.9424022; -4.5756783; 8.8083605; -1.2518029; 0.0034308; 41.2695136; 4.0037792
387.3441043; 13.2039108; 7.7495195; 6.7831221; 0.3451698; -0.9385402; -4.5175451; 11.7543488; -1.2374584; 0.0037419; 41.6549641; 3.9741659
390.1524160; 14.2539988; 7.8939679; 6.7362201; 0.3551910; -0.9347938; -4.4591574; 14.7051359; -1.2298232; 0.0038961; 41.8452976; 3.9594745
392.9506782; 15.3335239; 8.0287369; 6.6930820; 0.3645541; -0.9311822; -4.4045182; 17.6604543; -1.2136300; 0.0042013; 42.2116825; 3.4003619
395.7391793; 16.4404926; 8.1533580; 6.6552467; 0.3732690; -0.9277232; -4.3576251; 20.6199510; -1.2050795; 0.0043518; 42.3724482; 3.0644635
398.5182078; 17.5729112; 8.2517646; 6.6242713; 0.3813421; -0.9244340; -4.3224643; 23.5832408; -1.1870740; 0.0046515; 42.6450864; 2.4040744
401.2880520; 18.7287862; 8.3222969; 6.6017391; 0.3887924; -0.9213254; -4.3030055; 26.5498585; -1.1776312; 0.0047937; 42.7576591; 2.0933961
404.0490004; 19.9061239; 8.3791480; 6.5894195; 0.3955904; -0.9184270; -4.3031932; 29.5195780; -1.1578280; 0.0050931; 42.9373091; 1.4580357
406.8013337; 21.1029520; 8.4187621; 6.5909545; 0.4019069; -0.9156805; -4.3268963; 32.4912699; -1.1475804; 0.0051590; 43.0051541; 1.3027650
409.5448577; 22.3185989; 8.4424595; 6.6057890; 0.4084195; -0.9127943; -4.3752190; 35.4614799; -1.1273541; 0.0049158; 43.1332914; 1.6915354
412.2786370; 23.5544234; 8.4523517; 6.6322508; 0.4155072; -0.9095899; -4.4449750; 38.4281536; -1.1176448; 0.0047957; 43.2116346; 1.8781334
415.0016717; 24.8119606; 8.4497151; 6.6697008; 0.4231090; -0.9060788; -4.5326039; 41.3912683; -1.0989758; 0.0045401; 43.3942566; 2.2737250
417.7129621; 26.0927455; 8.4362211; 6.7166383; 0.4312342; -0.9022400; -4.6345410; 44.3504350; -1.0900253; 0.0044129; 43.4988995; 2.4675257
420.4115084; 27.3983134; 8.4124785; 6.7727155; 0.4398723; -0.8980603; -4.7472293; 47.3053595; -1.0728878; 0.0041575; 43.7340000; 2.8527784
423.0963108; 28.7301993; 8.3825264; 6.8346341; 0.4490169; -0.8935233; -4.8671226; 50.2557478; -1.0647038; 0.0040294; 43.8642356; 3.0445740
425.7663695; 30.0899383; 8.3477818; 6.9012960; 0.4586583; -0.8886127; -4.9906926; 53.2013691; -1.0490985; 0.0037739; 44.1495389; 3.4257395
428.4206848; 31.4790656; 8.3098071; 6.9714937; 0.4687884; -0.8833105; -5.1144355; 56.1420527; -1.0416838; 0.0036436; 44.3044185; 3.6211717
431.0582569; 32.8991162; 8.2706113; 7.0435975; 0.4793875; -0.8776034; -5.2348757; 59.0777909; -1.0276030; 0.0033895; 44.6343904; 3.6914180
