x,y
-308.9899349391926,-1184.3110694242641
-308.83233378932346,-1189.3418426569551
-305.2853379683802,-1201.3773347390816
-301.40266119060107,-1212.3806774225086
-298.22804772667587,-1221.1313345907256
-294.6890528771328,-1232.2234130352736
-291.7618362510111,-1245.6366157233715
-292.46945892088115,-1256.9364187987521
-292.99081816675607,-1276.6406130231917
-293.2787735996535,-1291.7765123657882
-293.7477979683317,-1304.1322310883552
-294.04411570122465,-1316.5436846474186
-294.3428664399544,-1328.6692579956725
-294.77734727493953,-1341.7109622173011
-295.10092338267714,-1354.2942514540628
-295.4859014675021,-1365.2956004301086
-295.7345263987081,-1373.1891782646999
-296.13690969743766,-1383.2570692729205
-296.4560933277244,-1392.98116576951
-296.5217989698285,-1402.1312786052004
-296.3077705994947,-1410.4212378347293
-295.55078998359386,-1418.4206711100414
-294.89111717033666,-1428.4795963019133
-294.6147979940288,-1433.9669984569773
-294.1892607602058,-1440.430489354767
-293.97766689537093,-1451.808510591276
-293.68675700353924,-1459.011358788237
-293.6084596902365,-1468.2175034442917
-293.37181072926614,-1482.5404064077884
-293.0772841509897,-1496.9200060255826
-292.7285831333138,-1510.9177431631833
-292.37104478641413,-1525.9545058673248
-292.1959457070334,-1539.7919492106885
-291.959546746104,-1554.0863826116547
-291.5523785346886,-1568.2078323038295
-291.2799675242277,-1579.9858267195523
-291.1286972365342,-1591.021450029686
-290.8067368819611,-1601.121517312713
-290.5941658820957,-1612.6141395531595
-290.3932664835593,-1622.734405956231
-290.13009375857655,-1633.4260201351717
-289.8995276570786,-1647.0344382543117
-289.6081469345372,-1661.042669467628
-289.4057873066049,-1671.3345470111817
-289.25377413083334,-1679.082059408538
-289.101761052385,-1686.8295717164874
-288.97869585012086,-1694.5487524000928
-288.74081025249325,-1702.2669564606622
-288.50318988552317,-1716.704661485739
-288.1507490336662,-1731.1413896642625
-287.79756574577186,-1742.289894329384
-287.6740250636358,-1753.4403518969193
-287.42741461098194,-1768.9360425891355
-286.95649328723084,-1783.8007679665461
-286.9160889965715,-1791.9273878997192
-286.756477334653,-1800.5676874425262
-286.55144494608976,-1811.1742657385767
-286.2909350383561,-1821.55162554048
-286.13405983441044,-1829.87112411391
-285.9903072565794,-1836.6466651298106
-285.8730934995692,-1847.0538827646524
-285.6366676145699,-1857.9747814573348
-285.21270013973117,-1870.695542646572
-285.02128199453,-1883.0751551249996
-284.78871398523916,-1894.7786530293524
-284.53114397625905,-1908.187152184546
-284.2249009201769,-1920.5658474257216
-283.96318289416377,-1931.0863259481266
-283.70534360804595,-1941.1493313480169
-283.52780330053065,-1955.2734419219196
-283.1118593557039,-1970.424951069057
-282.9586359341629,-1981.6898717153817
-282.5368542923825,-1997.5276523595676
-282.3111407775432,-2010.5648612938821
-282.08541523537133,-2020.2279297541827
-281.86260796024,-2029.5478872181848
-281.65586133347824,-2040.3549234513193
-281.498865573667,-2049.217954860069
-281.18047400715295,-2063.026536545716
-280.9905085931532,-2075.2348953848705
-280.75360080378596,-2086.213313413784
-280.5234904510435,-2096.391136838123
-280.31499224936124,-2107.7524413820356
-280.0678709751228,-2119.9318117396906
-279.82851772545837,-2131.196210194379
-279.45195949834306,-2141.715993535705
-278.9833602445433,-2156.307637431659
-277.97884588630404,-2166.399233479053
-276.5145220961422,-2176.54411199037
-275.1056872274494,-2183.8840096024796
-273.2640826930292,-2191.131541912444
-271.0142532096943,-2199.1190862348303
-268.8291298156837,-2206.249328742735
-266.471273628762,-2213.435298707336
-264.7595631486038,-2218.9110484747216
-261.7049449424958,-2227.0061548464
-258.6527529816376,-2234.815334943123
-255.06563607347198,-2242.921489345841
-251.20816980744712,-2250.8954047663137
-247.06070371321402,-2259.210005494766
-242.8631135757314,-2266.666319930926
-238.84700555284508,-2273.0375517569482
-235.23912016744725,-2278.6687753610313
-232.62285323266406,-2282.4783212635666
-230.18272149702534,-2285.8318372340873
-227.8000023451168,-2289.1858425987884
-225.2351086405106,-2292.504614882171
-222.04371095017996,-2296.423651668243
-218.8523100069724,-2300.3426891770214
-214.96705971076153,-2304.827734809369
-212.06856813968625,-2308.0629703216255
-207.72545157768764,-2312.372544675134
-203.14877515961416,-2317.1376624517143
-198.11326039012056,-2321.8416820568964
-193.54144220578019,-2326.0349259888753
-188.33659276959952,-2330.3943533618003
-183.36383289389778,-2334.469798380509
-178.33715575945098,-2338.4647800112143
-173.88794110936578,-2341.7439991552383
-169.26842590561137,-2344.792999645695
-163.32153761864174,-2348.631374495104
-158.12688769900706,-2351.7898548804224
-152.64564472122584,-2354.888699355535
-145.2955504640704,-2359.0719103505835
-139.58756023587193,-2361.825665376149
-132.3809193475172,-2365.2529460387304
-125.98491104505956,-2367.8864453006536
-119.93534032336902,-2370.2941260496154
-113.02356044168118,-2372.808835597709
-107.20754402980674,-2374.760963796638
-100.35707252507564,-2376.8186506992206
-94.42963293381035,-2378.369476420805
-87.92754911701195,-2379.9725886601955
-80.90969942172524,-2381.456912262365
-74.00765346828848,-2382.8278337139636
-67.62575924315024,-2383.802843024954
-60.899370669038035,-2384.774907722138
-54.808942293631844,-2385.2376654157415
-47.16634379886091,-2385.915939553641
