x,y
-323.65570734487846,-1207.8316869633272
-323.40905004611704,-1216.5857981815934
-323.34190462878905,-1224.4836850576103
-323.15508468751796,-1232.9523882400244
-322.9575096144108,-1242.6861784812063
-322.7511845432455,-1253.4491975232959
-316.9181714541046,-1261.72084531188
-311.2048340960173,-1269.4216740867123
-310.67963925236836,-1278.854517311789
-309.98631502350327,-1289.4887360781431
-309.111448896816,-1304.5856322105974
-308.22244378959294,-1318.0372085971758
-307.6039946535602,-1329.1737892683595
-306.7174948910251,-1344.8256364101544
-306.02249652612954,-1357.3820676095784
-305.2576958651189,-1368.022254690528
-304.53522026364226,-1380.4355133874342
-303.77423502260353,-1392.344143917784
-303.2375945709646,-1401.686361849308
-302.83468205307145,-1409.0538938576356
-302.2307522018673,-1417.3818015884608
-301.6726047290722,-1427.0825059581548
-301.09533445734996,-1437.1101676300168
-300.50607585930265,-1444.7039678329602
-300.5681214109063,-1449.03695668187
-301.0493132265983,-1456.2191347526386
-300.9462510535959,-1467.6007923828438
-300.7395792186726,-1477.6662533832714
-300.44923368364107,-1490.8190002543852
-300.2733847880736,-1501.8074558423832
-300.16828309197444,-1508.2891714992002
-299.95074098405894,-1515.3623913843185
-299.6341779488139,-1530.8236723393202
-299.2792348245857,-1544.0543251847848
-299.0480261828052,-1554.7364218467847
-298.7549081319012,-1569.6971996342763
-298.52670315885916,-1584.5246689766645
-298.30845224601217,-1594.0534200584516
-298.0878142514266,-1603.8680389141664
-297.84597895946354,-1613.548562547192
-297.6074125546729,-1624.3337657330558
-297.37031812162604,-1634.9474159460515
-297.18472264916636,-1648.4721019007266
-296.90619302750565,-1659.4225000301376
-296.5537283155136,-1672.3166146036237
-296.35037854046095,-1683.3007516376674
-296.2013078095624,-1694.6569175021723
-295.84401741810143,-1710.2431382443756
-295.62200692947954,-1724.0061873607337
-295.1601365825627,-1738.9681209027767
-294.91892744018696,-1749.3968312079087
-294.6490222134162,-1763.1993456957862
-294.53292250202503,-1774.7381604900584
-294.18717692268547,-1786.2750203032047
-293.972216878552,-1799.2236104290932
-293.7684847500641,-1810.8569633904845
-293.56436177366413,-1823.71722311154
-293.2845082535641,-1834.341239022091
-293.0468535121763,-1844.7262847321108
-292.9042930685682,-1853.3753301398829
-292.5841114228824,-1861.2942540775985
-292.45751612912863,-1870.7313601449132
-292.5254036920378,-1878.8568879775703
-292.2524742768146,-1889.1568327713758
-292.05107347876765,-1903.0113458987325
-291.7066172916675,-1917.1099381782115
-291.2725981947733,-1928.8389178961515
-291.2790032461053,-1937.8867220105603
-290.77558000176214,-1952.8777961209416
-290.36129169608466,-1967.1952585754916
-290.268299104413,-1976.8497255071998
-290.29600480629597,-1985.7714436408132
-289.87726418918464,-1997.3957928102463
-289.5218474403955,-2015.0827096449211
-289.22061118041165,-2029.3000163724646
-288.98688549525104,-2041.3815999208018
-288.62910979765,-2053.8018210083246
-288.37405642401427,-2067.6526133920997
-288.1207889751531,-2078.6570052867755
-287.71444535430055,-2088.885540984571
-288.7690718093654,-2092.3159326808527
-288.56430079683196,-2101.215833423659
-288.3337890129769,-2111.4680530102924
-288.1635040305555,-2121.521058608778
-288.0157362354221,-2129.872669905424
-287.9457091620425,-2138.107451811433
-288.17346447880846,-2148.4608194632456
-287.9467731730547,-2158.238420344889
-287.44315180531703,-2166.7688302220777
-286.5693307920592,-2174.996816127561
-284.5087825736264,-2180.984290128574
-282.6853533255635,-2186.1143841268495
-280.802390982979,-2191.474280115217
-278.9735851903679,-2196.7159299738705
-277.028339991346,-2202.647209128365
-274.849915294908,-2208.925848986022
-272.7912949080346,-2214.684600160457
-271.0839664689265,-2219.645672528073
-269.19952891685534,-2225.177149244584
-266.82507414370775,-2231.481749569997
-264.3061545533128,-2237.350981956348
-262.2528702936834,-2242.4806970795617
-259.2113761336077,-2249.031782573089
-257.10748229024466,-2253.360399520956
-254.53843193338253,-2258.3713534744456
-251.78808631259017,-2263.62532865908
-248.9329295558855,-2268.519471095875
-245.43647669057827,-2274.551982237026
-241.8874700445449,-2280.0121373143047
-238.86297689878847,-2284.5616983044893
-235.55140668083914,-2289.108817793429
-232.4149969664868,-2293.3142814915627
-228.4090879460564,-2298.484598817304
-224.53656125243288,-2303.2930877255276
-220.0708361720899,-2308.51668530982
-215.72431619942654,-2313.226575587876
-211.43910064105876,-2317.479456354864
-206.3992088396335,-2322.6981680030003
-200.4941897498211,-2328.367046413943
-192.8693161943229,-2334.722119077109
-186.10499959113076,-2340.1549115832895
-178.41910866391845,-2345.923003008589
-171.0830558378948,-2351.064962158911
-165.0218204780249,-2354.8451757123694
-158.67252843722235,-2358.737315868959
-152.84581588278525,-2361.94757402502
-143.44521520403214,-2366.785996697843
