x_m,y_m
-308.9902787337778,-1184.3108637379482
-308.83267758390866,-1189.3416369706392
-308.49267703294754,-1202.3193261576816
-307.8161086027976,-1234.6221607392654
-307.22903591254726,-1263.1517682261765
-306.74057902628556,-1281.8264329135418
-306.4419354686979,-1296.6916984114796
-306.12335553462617,-1313.9013686133549
-305.829573230003,-1328.1948956446722
-305.56937219784595,-1345.2907639378682
-305.1209958435502,-1359.773259469308
-304.7605652209604,-1375.1528101218864
-304.4755328150932,-1388.4172020871192
-304.31601339159533,-1400.4246209068224
-304.0518887672806,-1411.2302886284888
-303.8597593064187,-1420.321038423106
-303.6710333499359,-1429.0115335471928
-303.362782795215,-1441.9379198187962
-303.2674781747628,-1453.1453767782077
-302.9756044992246,-1460.4625883866102
-302.8472035509767,-1468.8105305032805
-302.4682902689092,-1486.363183239475
-302.1536751987878,-1503.106092095375
-301.65799737442285,-1520.8865721840411
-301.35885806183796,-1535.8094794321805
-301.163321585278,-1545.3006472559646
-300.91478300699964,-1561.0246342290193
-300.6005373036023,-1570.9723111791536
-300.4984233849682,-1582.9805020429194
-300.1560526670655,-1595.4822025010362
-299.8685807607835,-1609.0328834019601
-299.6623447550228,-1619.7821490345523
-299.26248369773384,-1633.0459847971797
-299.08156351791695,-1647.569808469154
-298.7415423146449,-1660.5482677491382
-298.65061124973,-1671.2413989212364
-298.28676218923647,-1687.0218485975638
-297.7424148686696,-1703.7729734610766
-297.279851572006,-1731.161630474031
-296.8488944255514,-1754.833477139473
-296.15084981149994,-1782.9065630091354
-295.84964749380015,-1798.0713658398017
-295.54615193617065,-1820.2576186358929
-295.1827820847975,-1835.9811890162528
-294.7114274458727,-1857.6514306077734
-294.3232868006453,-1883.039676811546
-293.8941839269828,-1897.600921251811
-293.46759419422597,-1920.758618379943
-292.8945398571668,-1940.8841382516548
-292.70194179553073,-1956.7809728728607
-292.3512088016141,-1971.0180167984217
-292.0481618276099,-1986.3992729578167
-291.77040101669263,-1998.8069399753585
-291.4206385676516,-2012.9296911899
-291.0363490752643,-2031.112618042156
-290.746429346269,-2044.9499899111688
-290.3924356090138,-2063.476387371309
-290.02224602364004,-2080.001051054336
-289.60777217231225,-2094.9812479047105
-289.29519012756646,-2111.8318990133703
-288.9001970955869,-2131.273149827495
-288.77372999768704,-2139.3930729348212
-286.62699917773716,-2175.772048813291
