x_m,y_m
-323.1736594251124,-1230.8079094039276
-321.52538557420485,-1303.0898219300434
-319.831579464837,-1388.4973534941673
-317.68296401784755,-1489.3792094122618
-311.636951558874,-1773.3272474240512
-308.610304428963,-1915.6040078867227
-307.54574043198954,-1957.2090707654133
-307.27575277583674,-1974.1346812509
-306.27370944444556,-2020.6542631285265
-304.5712871378055,-2092.618867537938
-304.3689355143579,-2106.446109085344
-303.89283696818165,-2126.4044862072915
-303.2968675366137,-2135.7214050162584
-302.16331110312603,-2154.241392141208
-301.4616961242864,-2165.80120286718
-300.42881821258925,-2179.2321660462767
-299.54577207844704,-2188.546707746573
-298.7378130768193,-2195.8014949681237
-297.70829086122103,-2202.0837075728923
-296.5553351913113,-2208.8752628564835
-295.1813247856917,-2215.154556840658
-293.5196394409286,-2221.4376054638997
-291.3997256697621,-2227.6533759692684
-289.22288054495584,-2233.811476022005
-287.633791501401,-2238.3732333341613
-284.9051357154967,-2245.8186566112563
-281.74445397255477,-2252.8834587857127
-278.2962077500997,-2260.0030116811395
-275.31505361257587,-2266.2114847730845
-272.3956869246904,-2271.90576704219
-270.23778491746634,-2275.833602773957
-268.0129317454994,-2280.0626234207302
-265.10182426613756,-2284.784732516855
-262.13232557987794,-2289.620729329996
-258.2373762396164,-2295.2495335843414
-254.51855786226224,-2300.4223077101633
-250.45281273289584,-2305.8780889092013
-245.40273687511217,-2312.2977510560304
-242.90324022015557,-2315.879544899799
-240.01747426239308,-2319.438235730864
-235.61305908998474,-2324.204842637293
-233.00359095667955,-2327.213787499815
-228.42448826949112,-2332.2648666556925
-223.5042965010507,-2336.9127018610016
-219.45214030332863,-2340.7672424456105
-214.48102471011225,-2345.657951067202
-209.4493935991777,-2349.904494982213
-205.34224273695145,-2353.4726079842076
-198.8105015133042,-2358.564254422672
-193.03245481895283,-2362.8044395204633
-186.15669262828305,-2367.8359603853896
-176.28314612351824,-2374.271742815152
-168.32572640269063,-2378.207395239733
-157.6458990656538,-2384.922254622914
-147.9762273839442,-2389.2954953545704
-139.78960249689408,-2393.171981480904
-130.97432312939782,-2396.699950086884
-121.06814009346999,-2400.2186106815934
-110.4160328747239,-2403.6737082926556
-99.53961785836145,-2406.49776612781
-87.17477842175867,-2408.794384982437
-78.55219180614222,-2409.9218720905483
-68.32342849369161,-2410.864069812931
-58.78608996828552,-2411.5261928830296
-46.87122785532847,-2411.691989310086
-42.39036747766659,-2411.939707186073
-32.33921296230983,-2412.2542586494237
-20.969938772614114,-2412.2715819310397
-6.102216725237668,-2411.801475082524
7.3320669698296115,-2411.572352305986
18.355870484840125,-2411.478183625266
27.88735595170874,-2411.45394224301
39.65658560232259,-2411.2389892833307
54.63962449878454,-2410.824971324764
65.37537174695171,-2410.6188127472997
81.68092493282165,-2410.4222043938935
95.34389110200573,-2410.0765872858465
104.56319151853677,-2409.9977284232154
113.11763268325012,-2409.867354382761
120.92518111364916,-2409.686169292778
129.70977397973184,-2409.610999702476
137.2292650224408,-2409.317878553644
144.6923190128291,-2409.139617610723
153.41851682204287,-2408.950536161661
160.70883387536742,-2408.716546096839
169.5493727719877,-2408.469275086187
177.5846231962787,-2408.0573134943843
186.67220840789378,-2407.7726717786863
195.2821037248941,-2407.4129620287567
201.82454591977876,-2407.013762436807
208.76693700277247,-2406.382361581549
215.70687691343483,-2405.4650142528117
221.26933071471285,-2404.616657448001
226.37098819273524,-2403.60066909343
232.79222278867383,-2402.4589829901233
239.3827610927401,-2400.972687093541
246.71577731426805,-2399.022483023815
255.1328209565254,-2396.262287438847
261.31624394259416,-2394.1733094379306
