# x_m,y_m,w_tr_right_m,w_tr_left_m
85.2164,257.9086,8.0234,6.6636
85.1748,256.9596,7.9936,6.7189
85.1002,256.0093,7.9109,6.7926
85.0266,255.0554,7.8273,6.8638
84.9568,254.0969,7.7465,6.9306
84.8927,253.1386,7.6761,6.9951
84.8269,252.1770,7.5992,7.0574
84.7677,251.2113,7.5288,7.1131
84.7159,250.2413,7.4663,7.1617
84.6719,249.2672,7.4123,7.2031
84.6352,248.2888,7.3658,7.2373
84.6068,247.3060,7.3283,7.2699
84.5860,246.3193,7.3063,7.2968
84.5718,245.3291,7.3018,7.3175
84.5630,244.3357,7.3030,7.3332
84.5587,243.3398,7.3087,7.3446
84.5576,242.3418,7.3177,7.3529
84.5587,241.3422,7.3289,7.3591
84.5611,240.3414,7.3414,7.3640
84.5643,239.3397,7.3545,7.3682
84.5677,238.3375,7.3679,7.3722
84.5711,237.3349,7.3813,7.3762
84.5744,236.3321,7.3878,7.3803
84.5776,235.3292,7.3895,7.3845
84.5807,234.3262,7.3911,7.3887
84.5838,233.3232,7.3926,7.3930
84.5870,232.3202,7.3943,7.3972
84.5904,231.3171,7.3963,7.4011
84.5941,230.3141,7.3984,7.4022
84.5980,229.3111,7.4008,7.3967
84.6023,228.3080,7.4035,7.3910
84.6071,227.3050,7.4069,7.3847
84.6133,226.3019,7.4011,7.3770
84.6211,225.2987,7.3944,7.3678
84.6305,224.2955,7.3893,7.3571
84.6414,223.2923,7.3857,7.3620
84.6539,222.2894,7.3838,7.3696
84.6680,221.2864,7.3835,7.3755
84.6826,220.2834,7.3836,7.3811
84.6970,219.2803,7.3836,7.3869
84.7102,218.2771,7.3824,7.3939
84.7215,217.2738,7.3793,7.4028
84.7312,216.2706,7.3910,7.4134
84.7391,215.2673,7.4058,7.4259
84.7448,214.2641,7.4184,7.4296
84.7486,213.2607,7.4292,7.4332
84.7507,212.2574,7.4384,7.4386
84.7519,211.2539,7.4466,7.4448
84.7524,210.2509,7.4542,7.4517
84.7522,209.2482,7.4610,7.4594
84.7509,208.2458,7.4645,7.4681
84.7481,207.2436,7.4658,7.4784
84.7441,206.2417,7.4658,7.4899
84.7391,205.2401,7.4649,7.4835
84.7327,204.2385,7.4625,7.4738
84.7247,203.2371,7.4586,7.4657
84.7157,202.2362,7.4538,7.4586
84.7057,201.2351,7.4478,7.4526
84.6956,200.2337,7.4417,7.4467
84.6865,199.2321,7.4367,7.4399
84.6783,198.2303,7.4338,7.4322
84.6714,197.2284,7.4328,7.4231
84.6660,196.2262,7.4334,7.4127
84.6619,195.2238,7.4353,7.4234
84.6591,194.2214,7.4384,7.4335
84.6578,193.2187,7.4432,7.4421
84.6582,192.2159,7.4496,7.4489
84.6606,191.2133,7.4581,7.4539
84.6642,190.2109,7.4657,7.4576
84.6682,189.2085,7.4623,7.4610
84.6720,188.2061,7.4587,7.4646
84.6753,187.2038,7.4547,7.4687
84.6783,186.2016,7.4503,7.4711
84.6810,185.1991,7.4457,7.4580
84.6824,184.1965,7.4397,7.4463
84.6826,183.1940,7.4327,7.4356
84.6814,182.1915,7.4242,7.4264
84.6786,181.1888,7.4155,7.4189
84.6745,180.1859,7.4132,7.4127
84.6693,179.1829,7.4101,7.4075
84.6633,178.1798,7.4059,7.4033
84.6576,177.1767,7.4022,7.3987
84.6516,176.1738,7.3982,7.3928
84.6457,175.1712,7.3942,7.3847
84.6400,174.1686,7.3871,7.3764
84.6346,173.1660,7.3743,7.3677
84.6295,172.1633,7.3618,7.3589
84.6250,171.1610,7.3499,7.3494
84.6210,170.1588,7.3385,7.3393
84.6171,169.1565,7.3273,7.3292
84.6128,168.1543,7.3156,7.3186
84.6090,167.1516,7.3044,7.3060
84.6049,166.1490,7.2929,7.2937
84.6003,165.1462,7.2807,7.2821
84.5979,164.1434,7.2709,7.2709
84.6127,163.1419,7.2805,7.2452
84.6460,162.1418,7.3110,7.2027
84.6968,161.1433,7.3620,7.1461
84.7668,160.1467,7.4342,7.0867
84.8545,159.1513,7.3472,7.0252
84.9607,158.1579,7.1151,6.9525
85.0917,157.1666,6.9151,6.8577
85.2468,156.1782,6.7464,6.7393
85.4235,155.1918,6.6141,6.5840
85.6073,154.2072,6.4905,6.4201
85.7968,153.2238,6.3717,6.2694
85.9925,152.2414,6.2011,6.1415
86.1923,151.2595,6.0423,6.0034
86.3888,150.2770,5.8820,5.8672
86.5800,149.2937,5.7228,5.7325
86.7594,148.3088,5.5508,5.6115
86.9282,147.3221,5.3681,5.5021
87.0863,146.3341,5.2432,5.4042
87.2332,145.3441,5.1997,5.2880
87.3699,144.3523,5.1466,5.1801
87.4958,143.3586,5.0829,5.0841
87.6115,142.3636,5.0058,5.0021
87.7247,141.3685,4.9253,4.9236
87.8384,140.3735,4.8315,4.8443
87.9517,139.3784,4.7304,4.7402
88.0638,138.3830,4.6256,4.6369
88.1799,137.3884,4.5254,4.5292
88.2996,136.3938,4.4287,4.4179
88.4228,135.3998,4.3355,4.3034
88.5501,134.4064,4.2466,4.1848
88.6817,133.4134,4.1383,4.0636
88.8213,132.4214,3.9793,3.9339
88.9675,131.4306,3.8249,3.8002
89.1257,130.4415,3.6787,3.6615
89.3068,129.4570,3.5597,3.4979
89.5070,128.4769,3.4188,3.3164
89.7288,127.5023,3.2827,3.1164
89.9766,126.5348,3.1757,2.8924
90.2544,125.5760,3.1036,2.8535
90.5621,124.6262,3.0426,2.8211
90.8984,123.6856,2.9675,2.7605
91.2628,122.7541,2.9245,2.7594
91.6526,121.8313,2.9101,2.8024
92.0578,120.9153,2.9136,2.8291
92.4798,120.0065,2.8945,2.8386
92.9167,119.1044,2.8850,2.8323
93.3632,118.2072,2.8865,2.8151
93.8160,117.3131,2.8952,2.8122
94.2746,116.4218,2.8610,2.8051
94.7375,115.5325,2.8173,2.7933
95.2048,114.6453,2.7785,2.7767
95.6757,113.7602,2.7441,2.7558
96.1493,112.8764,2.7514,2.7453
96.6262,111.9943,2.7747,2.7615
97.1061,111.1139,2.8016,2.7741
97.5896,110.2350,2.8323,2.7831
98.0756,109.3579,2.8606,2.7890
98.5643,108.4822,2.8322,2.7919
99.0550,107.6075,2.8059,2.7946
99.5497,106.7349,2.7841,2.7928
100.0485,105.8645,2.7716,2.7864
100.5522,104.9967,2.7870,2.7744
101.0571,104.1300,2.8040,2.7625
101.5634,103.2645,2.8229,2.7846
102.0723,102.4011,2.8419,2.8032
102.5905,101.5430,2.8543,2.8113
103.1188,100.6914,2.8792,2.8079
103.6573,99.8467,2.9165,2.7925
104.2040,99.0076,2.9631,2.8114
104.7538,98.1705,2.9728,2.8981
105.3039,97.3340,2.9809,2.9833
105.8570,96.4992,2.9924,3.0655
106.4120,95.6656,3.0059,3.1482
106.9596,94.8274,3.1874,3.2475
107.4936,93.9813,3.3779,3.4898
108.0139,93.1271,3.5838,3.7511
108.5205,92.2643,3.9567,4.0196
109.0229,91.3986,4.3351,4.2858
109.5271,90.5342,4.7199,4.5471
110.0349,89.6718,5.0485,4.8159
110.5445,88.8105,5.2430,5.1147
111.0566,87.9509,5.4503,5.3964
111.5787,87.0974,5.6739,5.6616
112.1130,86.2507,5.9214,5.9046
112.6637,85.4139,6.1925,6.1288
113.2305,84.5871,6.4686,6.3522
113.8040,83.7652,6.7079,6.6308
114.3827,82.9469,6.9341,6.9004
114.9675,82.1330,7.1671,7.1641
115.5573,81.3228,7.4113,7.4164
116.1543,80.5174,7.6660,7.6594
116.7585,79.7169,7.9388,7.8860
117.3723,78.9243,8.1953,8.0835
117.9988,78.1435,8.4649,8.2643
118.6381,77.3743,8.7564,8.4291
119.2901,76.6167,8.8994,8.5722
119.9585,75.8734,8.9092,8.6955
120.6436,75.1456,8.9472,8.7987
121.3465,74.4342,9.0130,8.8843
122.0651,73.7378,9.0918,8.9517
122.7998,73.0571,9.0931,9.0036
123.5491,72.3917,9.1162,9.0533
124.3056,71.7344,9.1516,9.0929
125.0697,71.0861,9.2014,9.1215
125.8432,70.4488,9.2415,9.1376
126.6247,69.8222,9.2259,9.1418
127.4127,69.2043,9.2224,9.1363
128.2077,68.5959,9.2341,9.1233
129.0148,68.0050,9.2081,9.0940
129.8337,67.4314,9.1571,9.0537
130.6617,66.8715,9.1246,9.0047
131.5021,66.3315,9.1221,8.9453
132.3586,65.8184,9.0138,8.8679
133.2311,65.3363,8.8518,8.7628
134.1187,64.8841,8.7338,8.6335
135.0215,64.4621,8.6602,8.4751
135.9388,64.0691,8.5411,8.2724
136.8661,63.6995,8.4499,8.2690
137.8037,63.3543,8.3913,8.3009
138.7518,63.0340,8.3658,8.3111
139.7072,62.7328,8.3632,8.3027
140.6663,62.4434,8.3561,8.2828
141.6284,62.1644,8.3027,8.2526
142.5933,61.8953,8.2599,8.2141
143.5614,61.6380,8.2307,8.1642
144.5327,61.3920,8.2146,8.1025
145.5065,61.1562,8.2095,8.1121
146.4824,60.9284,8.2135,8.1424
147.4602,60.7086,8.2016,8.1652
148.4404,60.4971,8.1933,8.1798
149.4232,60.2963,8.1971,8.1842
150.4075,60.1056,8.2119,8.1795
151.3933,59.9255,8.2376,8.1643
152.3805,59.7531,8.2717,8.1482
153.3690,59.5887,8.3136,8.1785
154.3590,59.4325,8.2774,8.2009
155.3505,59.2861,8.2515,8.2141
156.3440,59.1546,8.2426,8.2144
157.3393,59.0405,8.2534,8.1993
158.3360,58.9422,8.2808,8.1686
